slug,column,before,after,reason,ratification,applied_at
smear,operational_notation,(null),TOE > SAME IN [DEX] >> OP IN [DEX] > OP TOE [DEL],§13 compound-layer authoring; mirage-family topology completer (FM-anchored),2026-05-15,2026-05-15
magellan,operational_notation,(null),TOE > SAME IN [DEX] >> SAME OUT [DEX] > SAME TOE [DEL],§13 compound-layer authoring; legover-family topology completer (FM-anchored),2026-05-15,2026-05-15
merkon,operational_notation,(null),CLIP >> (BACK) SPIN [BOD] >> OP OUT [DEX] > SAME TOE [DEL],§13 compound-layer authoring; legover-family topology completer (FM-anchored),2026-05-15,2026-05-15
reaper,operational_notation,(null),CLIP >> SAME OUT [DEX] >> SAME OUT [DEX] > SAME TOE [DEL],§13 compound-layer authoring; clipper-stall-family topology completer (FM-anchored),2026-05-15,2026-05-15
reverse-drifter,operational_notation,(null),CLIP >> OP OUT [DEX] > SAME CLIP [XBD] [DEL],§13 compound-layer authoring; drifter-family topology completer (FM-anchored),2026-05-15,2026-05-15
atomic-butterfly,operational_notation,(null),TOE > OP OUT [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; butterfly-family topology completer (FM-anchored),2026-05-15,2026-05-15
sidewalk,operational_notation,(null),CLIP > OP IN [DEX] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; butterfly-family topology completer (FM-anchored),2026-05-15,2026-05-15
tombstone,operational_notation,(null),CLIP > OP IN [DEX] >> SAME IN [DEX] > SAME CLIP [XBD] [DEL],§13 compound-layer authoring; drifter-family topology completer (FM-anchored),2026-05-15,2026-05-15
blurriest,operational_notation,(null),CLIP > OP IN [DEX] >> OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; barfly-family topology completer (FM-anchored),2026-05-15,2026-05-15
barraging-osis,operational_notation,(null),CLIP > OP IN [DEX] > SAME IN [DEX] >> (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; osis-family topology completer (FM-anchored),2026-05-15,2026-05-15
superfly,operational_notation,(null),CLIP >> (NO PLANT WHILE) SAME OUT [DEX] [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; barfly-family topology completer (FM-anchored),2026-05-15,2026-05-15
witchdoctor,operational_notation,(null),TOE > OP OUT [DEX] >> (NO PLANT WHILE) OP IN [DEX] [XDEX] [BOD] > OP TOE [DEL],§13 compound-layer authoring; mirage-family completer; XDEX scope flagged,2026-05-15,(pending)
food-processor,operational_notation,(null),CLIP > OP IN [DEX] >> OP FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],§13 compound-layer authoring; blender-family completer; PDX-independence flagged,2026-05-15,(pending)
sumo,operational_notation,(null),CLIP > SAME OUT [DEX] [PDX] >> OP IN [DEX] [XDEX] > OP TOE [DEL],§13 compound-layer authoring; mirage-family completer; XDEX+PDX flagged,2026-05-15,(pending)
tomahawk,operational_notation,(null),CLIP >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; whirl-family completer; FM typo `Fornt` corrected; PDX flagged,2026-05-15,(pending)
omelette,operational_notation,(null),TOE > OP OUT [DEX] >> OP OUT [DEX] [XDEX] > OP TOE [DEL],§13 compound-layer authoring (Wave-1B Tier-2 carryover); pickup-family completer; XDEX flagged,2026-05-15,(pending)
fury,operational_notation,(null),CLIP > OP IN [DEX] > SAME IN [DEX] >> OP IN [DEX] [PDX] [XDEX] > OP TOE [DEL],§13 compound-layer authoring (Wave-1B Tier-2 carryover); mirage-family completer; XDEX+PDX flagged,2026-05-15,(pending)
fusion,operational_notation,(null),TOE > OP OUT [DEX] >> OP OUT [DEX] [XDEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (Wave-1B Tier-2 carryover); XDEX flagged,2026-05-15,(pending)
plasma,operational_notation,(null),TOE > OP IN [DEX] >> OP OUT [DEX] [XDEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (Wave-1B Tier-2 carryover); XDEX flagged,2026-05-15,(pending)
nemesis,operational_notation,(null),CLIP > OP IN [DEX] > SAME IN [DEX] >> OP OUT [DEX] [XDEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (Wave-1B Tier-2 carryover); barfly-family completer; XDEX flagged,2026-05-15,(pending)
gauntlet,operational_notation,(null),CLIP > OP IN [DEX] >> DUCK [BOD] >> OP IN [DEX] [PDX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (Wave-1B Tier-2 carryover); torque-family flagship completer; PDX flagged,2026-05-15,(pending)
