"slug","short_description","execution_summary","learning_notes","prerequisite_notes"
"barfly","Two infinity loops drawn back-to-back -- the bag traces a continuous double-loop pattern across the body, the second loop mirroring the first across the supporting leg.","On the opening set, the kicking foot traces an arc that crosses the bag's rising path, then continues into the matching reverse arc to complete a single infinity loop. Before the bag drops, the foot initiates the second loop along the mirror trajectory, the body shifting weight to support the second arc.

The two loops compose into a continuous figure -- the bag's path crossing the supporting leg twice, the foot completing both arcs in one motion sequence. Recovery lands on the opposite-toe delay with the body re-centered.","The second loop must mirror the first across the supporting leg, not repeat it. A common miss is the foot drifting through a second arc that runs parallel to the first instead of mirroring; the bag stays on one side of the body and the double-infinity pattern collapses into a single elongated loop.

Watch the bag's path, not the foot's. The bag should cross the supporting leg's vertical line twice during the trick -- once outbound, once inbound. If the bag stays on one side, the second loop has drifted off-axis.","Infinity (the single-loop parent pattern) provides the foundational arc. Once barfly's double-loop discipline holds, the compound family opens: superfly (symposium frame across both loops), nemesis (furious rotational accounting on the double-loop), and venom (spinning + stepping body-shift on the double-loop pattern; SCALE-8 pilot)."
"superfly","Symposium frame held across both barfly loops -- the body line locked open through the first infinity arc and the mirrored second.","Set the symposium posture before the toe-set: hips squared open, supporting leg slightly externally rotated. The first barfly loop runs from this open frame; the kicking foot traces the infinity arc without the body closing back to neutral. The symposium frame stays locked.

The second loop mirrors the first with the same frame held -- the body does not reset between loops. Recovery lands on the opposite-toe delay with the open posture intact, the full double-infinity executed within one held body line.","The symposium frame fights barfly's natural body shift between loops. Barfly alone allows a small re-center between the two arcs; symposium removes that allowance. When the body closes toward neutral between the loops and re-opens for the second, the symposium degrades from a single sustained frame to a held-then-released gesture.

Set the symposium posture deliberately before the set, not as a correction during the trick.","Barfly (4 ADD, this batch) anchors the double-loop pattern. Symposium-mirage (3 ADD, SCALE-5b pilot) introduces the symposium frame on a single rotational base; symposium-whirl (4 ADD, SCALE-2 pilot) gives the body-frame discipline on whirl. Superfly applies the same frame across two consecutive infinity arcs -- the longest sustained-frame symposium compound at this pilot tier."
"nemesis","Furious shifts barfly into rotational accounting -- the +2 furious bonus on the double-infinity pattern composes to 6 ADD.","The furious set runs the same dex pattern as fury (the furious-paradox-mirage compound at 5 ADD) but anchors on barfly's double-loop instead of mirage's single rotation. The set initiates with the furious body line; the first barfly loop carries the furious arc; the second mirrors with the furious commitment held.

The math reflects this commitment: furious counts as a +2 rotational bonus on barfly here, raising the compound to 6 ADD. This is a row-specific accounting -- barfly does not generally classify as rotational across other set-modifier compounds; the furious + barfly pairing is its own named composition.","The error is to apply furious's +1 non-rotational commitment instead of its +2 rotational intensity. The execution sits closer to fury than to any single-modifier furious compound; the body commits as if running the full furious + paradox + mirage line, but anchored on barfly's double-loop instead of mirage's single rotation.

Sumo (this batch) carries the same shape -- a named compound where standard modifier-math produces one number and the asserted reading carries a different one. Nemesis and sumo are paired teaching cases for named-exception accounting.","Barfly (4 ADD, this batch) anchors the double-loop. Fury (5 ADD, SCALE-7 pilot) is the cross-family reference -- same furious set on mirage's rotational base, composed with paradox. The fury-to-nemesis progression substitutes barfly's double-infinity for mirage's single rotation while retaining the furious +2 accounting; the ADD increment reflects barfly's higher base value."
"sumo","Nuclear mirage hit with an extra dex -- the standard nuclear-mirage line escalates through an X-Dex flick at the moment of contact, raising the compound by one ADD.","The set runs the nuclear body line: paradox + atomic in a single composed motion (per the nuclear modifier's structural reading), the mirage's in-to-out dex carrying the body across the standard rotation. At the dex moment -- where a standard nuclear mirage would complete with a simple flick -- sumo inserts an X-Dex escalation: a tighter flick pattern that adds the +1 ADD increment.

Recovery lands on the opposite-toe delay with the full 5-ADD composition complete. Without the X-Dex insertion, the same body line produces a clean 4-ADD nuclear mirage.","The X-Dex moment is the load-bearing element. Without it, the trick stops at 4 ADD and is a different compound entirely. Execute a clean nuclear mirage with the body-line intensity correct but the dex flick at standard sharpness, and the trick stops at 4 ADD; the 5-ADD reading requires the dex to escalate specifically at the contact moment.

Nemesis (this batch) carries the same named-exception shape: a compound where the standard modifier-math gives one number and the asserted reading delivers another. Both rows are exceptions in the dictionary's catalog rather than examples of a general rule.","Mirage (2 ADD, SCALE-6 pilot) anchors the in-to-out rotational dex. Matador (5 ADD; nuclear + butterfly, existing pilot) gives the nuclear set on a non-rotational base; sumo applies the same nuclear set on rotational mirage with the X-Dex escalation. Atom-smasher (4 ADD, existing pilot) is the cleanest nuclear-mirage comparison point -- same base and modifier, no X-Dex, lower compound value."
"vortex","Body-axial rotation runs through drifter's miraging clipper line -- the gyro axis turns within the trick rather than carrying the whole body around.","The set runs the drifter motion: a miraging clipper, the bag arcing in mirage's in-to-out dex direction with a clipper recovery. Layered on this dex pattern is the gyro rotation -- a body-axial spin that runs internally to the body rather than rotating the body around its vertical axis.

Where spinning would rotate the whole body through a full turn, gyro turns within the upper body -- the shoulders and head spin while the hips track the dex pattern. The drifter line completes; the gyro rotation resolves on the recovery beat.","Gyro and spinning are different axes. Spinning is a whole-body rotation around the vertical; gyro is a body-internal rotation, primarily shoulder-and-head. Substituting one for the other changes the trick's character -- a spinning drifter (separate compound) executes the same dex pattern with a full-body spin instead of vortex's body-internal gyro.

The miss is recruiting the lower body into the gyro rotation; the hips must stay tracking the drifter line, the rotation isolated above.","Drifter (3 ADD, SCALE-5 pilot) carries the miraging-clipper line; mobius (5 ADD, SCALE-7 pilot) demonstrates gyro on torque (its deepest decomposition reads as gyro torque per the mobius showcase). Vortex is the structurally simplest gyro compound -- gyro on a single-modifier base -- and gives the cleanest isolation of the gyro axis before it composes into deeper compounds."
"whirling-swirl","Swirl's continuous rotation gets a whirling overlay -- a second rotation axis that runs alongside the swirl without breaking its continuity.","The swirl set runs its continuous rotation -- the bag traveling in a sustained arc with no clear pause-point. Whirling layers a second rotation axis onto this motion, the body initiating a whirling spin that runs in parallel rather than interrupting.

The two rotations resolve together at the recovery beat. The swirl's continuity must hold across the whirling overlay -- the bag's path through swirl does not pause for the whirling to complete; both rotations finish in the same recovery window.","Swirl's defining character is continuity -- the bag never sits still, the rotation never has a discrete kick moment. Whirling, as a body-spin modifier, naturally wants to anchor on a discrete contact point. The composition asks the whirling to run without that anchor -- the whirling rotation has to complete during the swirl's continuous arc, not as a separate beat.

The miss is the whirling overlay introducing a stutter into the swirl -- the body-spin briefly pausing the swirl rotation to anchor on a contact. Run both rotations together or the swirl's character is lost.","Swirl (3 ADD, SCALE-6 pilot) carries the continuous-rotation foundation. The whirling modifier behaves the same way it does in the established spinning / swirling / whirling rotational set -- a flat +1 modifier per the dictionary's modifier conventions. Whirling-swirl applies that modifier on a continuous-rotation base; the resulting compound is the cleanest whirling-on-rotational pairing."
"tapping-whirl","Tapping foot-pattern runs across the whirl rotation -- the rapid foot-tap cadence executed during whirl's full body turn.","The whirl initiates: a full body rotation through the bag's airtime. During the rotation, the kicking foot executes the tapping pattern -- multiple rapid contacts with the bag instead of whirl's single contact at the rotation peak. The tap cadence runs across the rotation, the body completing whirl's full turn while the foot executes the tapping sequence.

Recovery lands at the rotation's resolution with the tap cadence complete. The compound's character comes from running the tap pattern within the rotation rather than executing whirl and tapping as sequential moves.","Tap timing is the load-bearing skill. The tapping pattern must distribute across the rotation -- the taps complete during the body's turn, not bunched at the start or the recovery. Watch for taps rushing at the rotation's opening beat, leaving the back half of whirl's turn empty of contact.

Spinal-tap (tap with a backward body line) and tap (the standalone tap-family base) are the cross-references -- both establish the tap cadence on simpler bases. Tapping-whirl applies the same cadence to a rotational base where the contacts must distribute across the rotation rather than land in one window.","Whirl (3 ADD, SCALE-6 pilot) carries the full-rotation foundation. Tap (3 ADD, existing pilot) and spinal-tap (4 ADD, existing pilot) carry the tapping cadence on tap-family bases. Tapping-whirl is the first tapping compound on a non-tap-family base; it pairs naturally with the existing tap pilots for cross-family cadence comparison."
"plasma","Plasma compresses quantum's dex arc into a denser execution window -- the quantum compaction running on a base whose canonical decomposition is unsettled.","The set runs the quantum dex compaction: the dex pattern executed within a tighter window than the equivalent non-quantum variant, the bag's contact points pulled inward. The body anchors this compaction on plasma's base pattern, which community usage names as a double-over-down line -- a sequence of two dex moves with a downward bag trajectory.

The compaction discipline runs through both dex moves: the trick's signature comes from the inward pull, the bag's path tight against the body line.","Quantum compaction is the trick's character. Without it, the same base motion produces a different compound entirely. The common miss is letting the dex arc spread to its natural width -- the bag's path drifts outward and the quantum reading is lost.

The base trick's decomposition remains unsettled in the dictionary; the row activates on stated ADD with the modifier-and-base relationship named via the row's aliases rather than committed in its structural fields.","Tripwalk (4 ADD, SCALE-2 pilot) and legeater (4 ADD, SCALE-1 pilot) are the existing quantum pilots -- both single-modifier quantum compounds on named bases. Plasma is the third quantum compound at this pilot tier; its base remains less specified than the prior two, but the quantum compaction discipline is the same."
"surreal","Paradox commitment, spinning axis, and stepping cadence all run through whirl -- a triple-modifier compound that the folk vocabulary names with a single token, ""surging,"" collapsing the spinning + stepping pair.","The whirl initiates: a full body rotation through the bag's airtime. Onto this rotation, three modifiers compose. Paradox supplies a directional commitment -- the body's rotation runs with paradox's hard direction-lock rather than the looser natural turn. Spinning adds a second body-axis rotation on top of whirl's primary rotation. Stepping introduces a footwork cadence -- discrete weight-shifts that run alongside the rotation.

The three modifiers resolve together. Whirl's rotation completes at the recovery beat; the stepping cadence lands with the rotation; the spinning axis closes within the same window.","The folk reading of surreal -- ""surging paradox whirl"" -- treats surging as a single named modifier. In the IFPA decomposition, surging unpacks into spinning + stepping; surreal's true modifier count is three, not two. This matters for the compound's accounting (the ADD math reads three +1 modifiers on whirl's 3 ADD, totaling 6) and for the practice approach -- three concurrent body-coordination tasks rather than two.

The risk in a 3-modifier compound is one element dominating. The common pattern is paradox's directional commitment overriding the stepping cadence -- the body locks into rotation and the stepping pattern fades into a generic weight-shift. All three modifiers must hold visibly across the rotation; if any element fades, the compound reads as a simpler 2-modifier variant.

Cross-references for the surging idiom: surge (5 ADD, SCALE-8 pilot -- paradox + spinning + stepping on mirage; same modifier composition on a different base) and surgery (6 ADD, SCALE-8 pilot -- spinning + stepping + symposium on rev-whirl). Surge is surreal's direct cross-family pair on the mirage base.","Whirl (3 ADD, SCALE-6 pilot) carries the rotation. The three modifiers all have established pilots across multiple bases: paradox-whirl, spinning-whirl, and stepping-whirl (all existing pilots) give each modifier alone on whirl; surreal composes all three. Surge (this batch's cross-family pair on mirage; SCALE-8) and surgery (same three modifiers minus paradox plus symposium on rev-whirl; SCALE-8) establish the multi-modifier-on-rotational-base lineage."
"illusion","Out-to-in dex -- the kicking foot reaches across the body from outside the supporting leg back to the inside, the bag traveling along the reverse-direction dex arc.","The kicking foot opens outside the supporting leg; the bag's path passes outside the body line. The foot then reaches back across to the inside, the dex move running from the outside contact point inward across the supporting leg. Recovery lands on the opposite toe with the dex completed.

The compound's character is the direction. Mirage runs in-to-out -- the foot opens from inside the supporting leg and reaches outward; illusion reverses that motion. The two compounds are direction-mirrors on the same body mechanics.","Illusion's dex direction fights the natural body shift on a toe set. The set drives the body forward, and the natural dex direction follows the body's forward motion -- that's mirage. Illusion requires the foot to reach back across the body line, working against the forward shift.

What goes wrong: the foot reaches across without completing the out-to-in arc -- the dex starts outside but resolves on the same outside contact rather than crossing back to the inside. The full dex must complete on the opposite side.","Mirage (2 ADD, SCALE-6 pilot) is the direction-mirror foundation -- same body mechanics, opposite dex direction. Illusion anchors several compounds: smudge (pixie + illusion; SCALE-7), flail (symposium + illusion; SCALE-7), and the eggbeater family (illusion-modified legover). The illusion family completes the rotational-dex pair started by mirage."
