candidate,type,reason_safe,dependencies,proposed_action,ontology_risk,pedagogical_value
inspinning,operator-reference,Already locked at +0 directional per pt3+pt7 (RED_RESOLVED_CANON.md B.4); not yet present in freestyleOperatorReference.ts; pure documentation of resolved canon,none,Add NF-2A operator-reference entry: slug=inspinning displayName=Inspinning addBonus=+0 status=locked source=pt3+pt7 lineageNote=Spinning-direction-variant; reconcile NF2A_CANDIDATE_QUEUE.csv +1-by-analogy comment to +0,low,high
nf-2b-render-verify-blender,nf-2b-rendering-verification,pt11 canonical equivalence Blender = Whirling Osis; verify chain renders on /freestyle/tricks/blender,none,Visit blender trick page; confirm equivalence chain section shows Whirling Osis; if missing or shaped wrong file a render fix,low,high
nf-2b-render-verify-drifter,nf-2b-rendering-verification,pt11 canonical Drifter = Miraging Clipper,none,Verify chain renders on /freestyle/tricks/drifter,low,high
nf-2b-render-verify-torque,nf-2b-rendering-verification,pt11 canonical Torque = Miraging Osis,none,Verify chain renders on /freestyle/tricks/torque,low,high
nf-2b-render-verify-mobius,nf-2b-rendering-verification,pt11 canonical Mobius = Spinning Torque,none,Verify chain renders on /freestyle/tricks/mobius,low,high
nf-2b-render-verify-ripwalk,nf-2b-rendering-verification,pt11 canonical Ripwalk = Stepping Butterfly,none,Verify chain renders on /freestyle/tricks/ripwalk,low,high
nf-2b-render-verify-blur,nf-2b-rendering-verification,pt11 canonical Blur = Stepping Paradox Mirage (flat +1 model),none,Verify chain renders on /freestyle/tricks/blur,low,high
nf-2b-render-verify-atom-smasher,nf-2b-rendering-verification,pt1+pt2+pt10 canonical Atom Smasher = Atomic Mirage,none,Verify chain renders on /freestyle/tricks/atom-smasher,low,high
nf-2b-render-verify-sumo,nf-2b-rendering-verification,pt4+pt9 canonical Sumo = Nuclear Mirage,none,Verify chain renders on /freestyle/tricks/sumo,low,high
nf-2b-render-verify-fury,nf-2b-rendering-verification,pt6 canonical Fury = Furious Paradox Mirage,none,Verify chain renders on /freestyle/tricks/fury,low,high
nf-2b-render-verify-omelette,nf-2b-rendering-verification,pt2 + followup-2026-04 canonical Omelette = Atomic Illusion,none,Verify chain renders on /freestyle/tricks/omelette,low,high
nf-2b-render-verify-vortex,nf-2b-rendering-verification,pt1+pt2 canonical Vortex = Gyro Drifter,none,Verify chain renders on /freestyle/tricks/vortex,low,high
nf-2b-render-verify-royale,nf-2b-rendering-verification,pt5 canonical Royale = Paradox Reverse Drifter,none,Verify chain renders on /freestyle/tricks/royale,low,medium
nf-2b-render-verify-eggbeater,nf-2b-rendering-verification,pt4 canonical Eggbeater = Atomic Legover,none,Verify chain renders on /freestyle/tricks/eggbeater,low,high
nf-2b-render-verify-merkon,nf-2b-rendering-verification,pt4+followup canonical Merkon as standalone dex,none,Verify the standalone-dex framing renders on /freestyle/tricks/merkon,low,medium
nf-2a-pendingnote-reconcile-furious,nf-2a-reconciliation,Furious non-rotational reading is Wave 1 Q1c (pending); current pendingNote should clearly cite this dependency,wave-1,Verify freestyleOperatorReference.ts entry for 'furious' notes pt6 derivation requires +2 rotational AND non-rotational reading is Wave-1-pending,low,medium
sailing-equivalence-chain,equivalence-chain,Cross-source disagreement (legacy Move Sets = Pixie Illusion vs FM Sets-tab = Pixie Atomic); ADD weight Red-blocked,curator-triage-needed,DEFER: surface the conflict to curator for source-priority adjudication before any educational-layer surfacing,medium,medium
frantic-equivalence-chain,equivalence-chain,FM Sets-tab single source: Frantic = Pixie Quantum; both modifiers locked; thin recurrence (2 obs); decomposition deferred per semantic-macro M3,wave-2,DEFER: rolled into Wave 2 educational-layer equivalence-chain promotion (Theme 8),low,low
leaning-equivalence-chain,equivalence-chain,FM Sets-tab single source: Leaning = Stepping Inspinning; Inspinning already canon at +0; three FM obs,wave-2,DEFER: surface only after Inspinning is documented in NF-2A operator reference (S1) so the chain has a target,low,medium
hyper-equivalence-chain,equivalence-chain,FM Sets-tab + pt8 Rooted=0; thin recurrence (0 obs in technical names); semantic-macro M4 says premature,wave-2,DEFER: wait for additional corpus evidence,low,low
slaying-equivalence-chain,equivalence-chain,Singleton FM observation; depends on Sailing acceptance which is cross-source-conflicted,sailing-resolved,DEFER: chain-dependent on Sailing,low,low
inspin-vs-spyro-alias,alias,pt2 ruled Inspin = Spyro renamed; need to verify freestyle_trick_aliases has the row,verify,Verify alias row exists; if absent flag for curator since alias is pt2-canonical,low,medium
ec-chain-blender-aliases,alias,Whirling Osis as alias to Blender per pt11; check freestyle_trick_aliases coverage,verify,Verify alias row 'Whirling Osis' -> blender exists in DB,low,medium
reverse-as-operator-promotion,operator-reference,Semantic-macro M5 candidate; ADD weight Wave-1-Q3.b-pending (presumed +0 by analogy),wave-1,DEFER: do not formalize Reverse as locked operator until Q3.b ruling lands,low,high
bling-blang-equivalence-chain,equivalence-chain,FM-only equivalence Bling Blang = Whirling Reverse Whirl; Reverse weight unresolved,wave-1,DEFER: depends on Reverse operator weight (Q3.b),low,low
riffing-equivalence-chain,equivalence-chain,FM Sets-tab; cascades to Blurry pt12 math conflicts,pt12,DEFER: blocked on Blurry-rotational (Wave 1 Q1),low,low
phasing-equivalence-chain,equivalence-chain,FM Sets-tab; depends on Fairy Q4 resolution,wave-1,DEFER: blocked on Q4 batch (Wave 1 Q2),high,low
smiling-equivalence-chain,equivalence-chain,FM Sets-tab; depends on Swirling full decomposition,swirling-resolved,DEFER: chain-dependent,low,low
slicing-equivalence-chain,equivalence-chain,FM Sets-tab shows TWO competing decompositions (Gyro Rev Swirling OR Blurry Quasi); FM-side polysemy,fm-disambiguation,DEFER: blocked on FM source clarification,high,low
flailing-equivalence-chain,equivalence-chain,FM extract: Flailing = Symposium Atomic; both modifiers locked; promotion would be alias-form not new operator,wave-1,DEFER: per Q4 batch policy (Wave 1 Q2),medium,low
gyro-as-spinning-ss-alias,alias,FM Sets-tab alt: Gyro = Spinning ss; if accepted Gyro becomes alias not new operator,wave-1,DEFER: blocked on Q4 batch policy (Wave 1 Q2),medium,medium
quasi-equivalence-chain,equivalence-chain,FM Sets-tab: Quasi = Clipper far Miraging; depends on far weight,wave-1,DEFER: blocked on Q3.a (far weight) and Wave 1 Q4 (atomic polysemy),low,low
pogo-equivalence-chain,equivalence-chain,FM Sets-tab: Pogo = Uptime ATW; pt2+pt6 already settled Pogo as sui-generis set,redundant,DEFER: surfacing FM-side reading risks contradicting settled pt2+pt6 Pogo-as-set status,medium,low
fairy-as-modifier-promotion,operator-reference,29 FM obs; Q4 batch; load-bearing example of frequency-is-not-authority,wave-1,DEFER: blocked on Wave 1 Q2 + Q2a (Fairy specifically),high,low
barraging-as-modifier-promotion,operator-reference,Already in NF-2A as +1 flat per 2026-05-12 IFPA-modifier-table correction; pt12 open on rotational bases,wave-1,DEFER rotational policy: Wave 1 Q1 covers Barraging Osis (Baroque),low,medium
