example_name,normalized_name,ifpa_slug,ifpa_exists,ifpa_compact_notation,ifpa_chain_reading,ifpa_operational_notation,ifpa_adds,source_adds,agreement_status,discrepancy_type,curator_action,notes
Blizzard (Stepping Paradox Illusion),blizzard,blizzard,no,(none),(none),(none),—,4,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision: cross-references paradoxMoves audit MR queue","Same row as paradoxMoves audit; this is the second source-corpus confirmation"
Blur (Stepping Paradox Mirage),blur,blur,yes,STEPPING PARADOX MIRAGE,(implicit via notation),CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],4,4,partial_agreement,operational-token-difference,"reconcile token form between DB and source","Same token-grammar question as paradoxMoves audit PD-4"
Voodoo (Paradox Symposium Blur),voodoo,voodoo,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Cross-references paradoxMoves audit"
Blurrage (Stepping Paradox Barrage),blurrage,blurrage,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Cross-references paradoxMoves audit"
Fog (Stepping Paradox Double Leg Over),fog,fog,yes,(none),(none),(none),5,5,exact_agreement,missing-ifpa-compact-+-operational,"author IFPA compact + operational notation","Quick-win. Cross-references paradoxMoves audit"
Blurry Drifter (Stepping Paradox Drifter),blurry-drifter,blurry-drifter,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Cross-references paradoxMoves audit"
Bedwetter (Stepping Paradox Eggbeater),bedwetter,bedwetter,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Cross-references paradoxMoves audit"
Blurry Whirl (Stepping Paradox Whirl),blurry-whirl,blurry-whirl,yes,(none),"blurry whirl / stepping paradox whirl",(none),5,5,exact_agreement,missing-ifpa-operational,"author IFPA operational notation","Red pt11-locked. Quick-win. Cross-references paradoxMoves audit"
Paradox Blurry Whirl,paradox-blurry-whirl,paradox-blurry-whirl,no,(none),(none),(none),—,5,missing_canonical_row-structural-form,structural-form-derivable,"curator decision: structurally derivable","Source notation lacks [PDX] flag despite name. Cross-references paradoxMoves audit"
Symposium Blizzard,symposium-blizzard,symposium-blizzard,no,(none),(none),(none),—,5,missing_canonical_row-NEW-from-blurryMoves,missing-canonical-NEW,"curator decision: canonicalize symposium-blizzard? Math = symposium(+1)+blizzard(4)=5","UNIQUE TO blurryMoves source. Folk-name framing 'A blurry reverse symposium mirage'"
Symposium Blur,symposium-blur,symposium-blur,no,(none),(none),(none),—,5,missing_canonical_row-NEW-from-blurryMoves,missing-canonical-NEW,"curator decision: canonicalize symposium-blur? Math = symposium(+1)+blur(4)=5","UNIQUE TO blurryMoves source. Notable: operational form uses 'OP IN/OUT [DEX]' alternation marker — first appearance of in/out alternation token in reconciliation corpus"
Food Processor (Blurry Blender),food-processor,food-processor,yes,(none),"blurry blender / stepping paradox blender",(none),6,6,exact_agreement,missing-ifpa-compact-+-operational,"author IFPA compact + operational notation; both 'blurry blender' AND 'stepping paradox blender' chain readings already in modern registry","CRITICAL FINDING: Food Processor's modern chain registry has BOTH readings (Red pt15-locked 2026-05-15). Source provides only 'Blurry Blender'. Confirms Red pt15 doctrinal compression. UNIQUE TO blurryMoves source — not in paradoxMoves"
Blurry Symposium Whirl (Stepping Paradox Symposium Whirl),blurry-symposium-whirl,blurry-symposium-whirl,no,(none),(none),(none),—,6,missing_canonical_row,missing-canonical,"curator decision","Cross-references paradoxMoves audit"
Blurry Torque (Stepping Paradox Torque),blurry-torque,blurry-torque,yes,(none),"blurry torque / stepping paradox torque",(none),6,6,exact_agreement,missing-ifpa-operational,"author IFPA operational notation","Red pt11-locked. Quick-win. Cross-references paradoxMoves audit"
Blurry Whirling Swirl (Stepping Paradox Whirling Swirl),blurry-whirling-swirl,blurry-whirling-swirl,no,(none),(none),(none),—,6,missing_canonical_row,missing-canonical,"curator decision","Cross-references paradoxMoves audit"
Stepping Ducking Paradox Blender,stepping-ducking-paradox-blender,stepping-ducking-paradox-blender,no,(none),(none),(none),—,7,missing_canonical_row-structural-form,structural-form-derivable,"curator decision","Source operational lacks [PDX] flag. Cross-references paradoxMoves audit"
Gauntlet (Stepping Ducking Paradox Torque),gauntlet,gauntlet,yes,STEPPING DUCKING PARADOX TORQUE,"blurry ducking torque / stepping ducking paradox torque",(none),7,7,exact_agreement,missing-ifpa-operational,"author IFPA operational notation","Red pt11-locked. Quick-win. Cross-references paradoxMoves audit"
Stepping P.S. Whirling x-body Rake,stepping-ps-whirling-x-body-rake,stepping-ps-whirling-x-body-rake,no,(none),(none),(none),—,7,missing_canonical_row-NEW-from-blurryMoves,missing-canonical-NEW-with-rake-element,"surface as Red Wave 2: 'x-body Rake' element appearance in 2003 source. Cross-link to Sprint 6 rake doctrine","UNIQUE TO blurryMoves source. 'P.S.' = Paradox Symposium abbreviation. 'OP X-BODY RAKE [XBD] [DEL] [DEX]' is a single compound token. CRITICAL: First 2003-era 'rake' precedent in reconciliation corpus — direct historical-precedent for the Sprint 6 rake = swing > toe doctrine"
