chain_id,head,intermediate_links,base_resolution,depth,evidence_source,red_dependency,promotion_risk,recommended_disposition,notes
EC1,Slaying,Symp Sailing,Symp Pixie Atomic,3,FM Sets-tab,depends on Sailing acceptance,medium,defer-pending-sailing,"Cleanest recursive chain. All three intermediate operators decompose to locked + locked. Singleton observation."
EC2,Riffing,Symp Blurriest,Symp Blurry Blurry (pt12-blocked),3,FM Sets-tab,blocked by pt12 Blurry math,high,defer-pending-pt12,"Cascades into open math conflicts. Cannot promote."
EC3,Phasing,Fairy ss Spinning,(Fairy unresolved),2,FM Sets-tab,blocked by Fairy Q4,high,defer-pending-fairy,"Two-link chain but head depends on Q4 batch."
EC4,Smiling,Swirling ss Stepping,(Swirling decomposition unresolved),2,FM Sets-tab,depends on Swirling stable decomposition,medium,defer-pending-swirling,"Swirling is operator-inventory'd but its full semantics are still pending."
EC5,Slicing,Gyro Rev. Swirling OR Blurry Quasi,(two readings),2,FM Sets-tab,blocked by FM polysemy,high,reject-pending-fm-disambiguation,"Not a chain; two competing chains. IFPA cannot adopt until FM resolves which is canonical."
EC6,Atomsmasher,Atomic far Mirage,(locked + positional + base),2,PassBack + FM,low,low,document-as-educational-equivalence,"Already an IFPA alias. PassBack reading reinforces the decomposition. No new chain to promote."
EC7,Barfly,Clipper far Double Down,(surface + positional + quantifier + base),3,PassBack,low,low,document-as-educational-equivalence,"Already an IFPA canonical row. PassBack reading aligns with canonical."
EC8,Blender,Whirling Osis,(locked + base; pt11),2,IFPA pt11 + FM + PB,low (pt11 ruled),low,already-canonical,"Reference equivalence; not a promotion candidate. pt11 settled."
EC9,Drifter,Miraging Clipper,(locked + surface),2,IFPA + FM + PB,low,low,already-canonical-alias,"Already in freestyle_trick_aliases."
EC10,Bling Blang,Whirling Reverse Whirl,(locked + directional + base),3,PassBack,low,medium (Reverse ADD unclear),document-as-educational-equivalence,"Observed FM-side equivalence. Reverse ADD weight not formally adjudicated; +0 by pattern."
EC11,Sailing,Pixie Atomic,(locked + locked),2,FM Sets-tab + extract,low,low,advance-as-NF-2A-candidate,"Same as NF-2A queue head. Two-locked-modifier composition; clean recursion termination."
EC12,Flailing,Symposium Atomic,(locked + locked),2,FM extract,low,low,evaluate-as-alias,"Decomposes to two locked operators. If accepted, Flailing is alias for Symp + Atomic, not a new modifier."
EC13,Gyro,Spinning ss,(locked + positional),2,FM Sets-tab alt,low,low,evaluate-as-alias,"Same shape as EC12. If Gyro = Spinning ss is accepted, no new operator class needed."
EC14,Frantic,Pixie Quantum,(locked + locked),2,FM Sets-tab,low,low,advance-as-NF-2A-candidate,"Clean two-modifier decomposition."
EC15,Leaning,Stepping Inspinning,(locked + directional),2,FM Sets-tab,depends on Inspinning,low,advance-with-inspinning,"Once Inspinning is accepted, Leaning reads cleanly as Stepping + Front-Spin."
EC16,Hyper,Rooted Pixie,(pre-state + locked),2,FM Sets-tab,low (pt8 ruled),low,advance-as-NF-2A-candidate,"pt8 ruling makes rooted=0; remainder is locked."
EC17,Pogo,Uptime ATW,(temporal + base),2,FM Sets-tab,low (temporals by analogy),low,advance-with-caveat,"Uptime ADD-weight by analogy. ATW is canonical."
EC18,Quasi,Clipper far Miraging,(surface + positional + locked),3,FM Sets-tab,depends on far ADD weight,low-medium,defer-pending-far,"References unadjudicated far weight."
