candidate_slug,external_name,source,alternate_names,technical_name,dex_count,ifpa_match,slice_r_category,confidence,slice_r_action,proposed_base_trick,proposed_modifiers,rationale,pending_red,curator_action,notes
anonymous,Anonymous,passback,,Spinning far Miraging Symp. Miraging Refraction,3,,canonical-gap,pattern-derived,curator-decide,refraction,spinning|paradox|miraging|symposium|miraging,clean structural decomposition with base 'refraction'; curator decides whether to add as canonical row,false,,
archnemesis,Archnemesis,passback,,Barraging near Double Down,4,,folk-derived-unstable,speculative,defer,,,all reading tokens recognized but no IFPA base trick anchor; candidate may be a folk-named compound without canonical root,false,,
armaggedon,Armaggedon,passback,,Miraging Symp. Eggbeater,3,,canonical-gap,pattern-derived,curator-decide,eggbeater,miraging|symposium,clean structural decomposition with base 'eggbeater'; curator decides whether to add as canonical row,false,,
assassin,Assassin,passback,,Pixie Ducking far Mirage,2,,canonical-gap,pattern-derived,curator-decide,mirage,pixie|ducking|paradox,clean structural decomposition with base 'mirage'; curator decides whether to add as canonical row,false,,
atom-bomb,Atom Bomb,passback,,"Flailing far Symp. Mirage, Full Symp. Atomsmasher",2,,unsupported-symbolic-compression,pattern-derived,defer,mirage,flailing|far|symp|symp,"unknown tokens in reading: full,atomsmasher — external uses vocabulary IFPA doesn't recognize",true,,
badger,Badger,passback,,Symp. Butterfly Swirl,2,,canonical-gap,pattern-derived,curator-decide,swirl,symposium,clean structural decomposition with base 'swirl'; curator decides whether to add as canonical row,false,,
barfry,Barfry,passback,,Nuclear near Butterfly,2,,canonical-gap,pattern-derived,curator-decide,butterfly,nuclear|paradox,clean structural decomposition with base 'butterfly'; curator decides whether to add as canonical row,false,,
bedwetter,Bedwetter,passback,,Stepping far Eggbeater,3,,canonical-gap,pattern-derived,curator-decide,eggbeater,stepping|paradox,clean structural decomposition with base 'eggbeater'; curator decides whether to add as canonical row,false,,
big-apple,Big Apple,passback,,"Spinning near Symp. Torque, Symp. Mobius",1,,canonical-gap,pattern-derived,curator-decide,mobius,spinning|paradox|symposium|symposium,clean structural decomposition with base 'mobius'; curator decides whether to add as canonical row,false,,
big-applesauce,Big Applesauce,passback,,Spinning far Miraging Symp. Torque,2,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,torque,spinning|paradox|miraging|symposium,candidate descends from branch anchor 'torque'; reveals additional family member not yet in IFPA,true,,
big-orange,Big Orange,passback,,"Spinning near Symp. Flux, Rev. Big Apple",1,,unsupported-symbolic-compression,pattern-derived,defer,,spinning|near|symp|rev,"unknown tokens in reading: flux,big,apple — external uses vocabulary IFPA doesn't recognize",true,,
blackula,Blackula,passback,,"Toe near Symp. Double Down, Symp DOD",2,,unsupported-symbolic-compression,pattern-derived,defer,dod,near|symp|double|symp,unknown tokens in reading: toe — external uses vocabulary IFPA doesn't recognize,true,,
bladerunner,Bladerunner,passback,,Atomic far Eggbeater,3,,canonical-gap,pattern-derived,curator-decide,eggbeater,atomic|paradox,clean structural decomposition with base 'eggbeater'; curator decides whether to add as canonical row,false,,
blaze,Blaze,passback,,Whirling far Mirage,2,,canonical-gap,pattern-derived,curator-decide,mirage,whirling|paradox,clean structural decomposition with base 'mirage'; curator decides whether to add as canonical row,false,,
bling-blang,Bling Blang,passback,,(uptime) Whirling near Whip,2,,unsupported-symbolic-compression,pattern-derived,defer,,whirling|near,"unknown tokens in reading: uptime,whip — external uses vocabulary IFPA doesn't recognize",true,,
blink,Blink,passback,,(downtime) Twisting near Toe,1,,unsupported-symbolic-compression,pattern-derived,defer,,twisting|near,"unknown tokens in reading: downtime,toe — external uses vocabulary IFPA doesn't recognize",true,,
blizzard,Blizzard,passback,,Stepping far Illusion,2,,canonical-gap,pattern-derived,curator-decide,illusion,stepping|paradox,clean structural decomposition with base 'illusion'; curator decides whether to add as canonical row,false,,
blurrage,Blurrage,passback,,Stepping far Barrage,3,,canonical-gap,pattern-derived,curator-decide,barrage,stepping|paradox,clean structural decomposition with base 'barrage'; curator decides whether to add as canonical row,false,,
blurrier,Blurrier,passback,,Stepping near Double Down,3,,folk-derived-unstable,speculative,defer,,,all reading tokens recognized but no IFPA base trick anchor; candidate may be a folk-named compound without canonical root,false,,
blurtigo,Blurtigo,passback,,Stepping Ducking far Drifter,2,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,drifter,stepping|ducking|paradox,candidate descends from branch anchor 'drifter'; reveals additional family member not yet in IFPA,true,,
cardinal-swirl,Cardinal Swirl,passback,Tripstein,triple-dex Swirl,3,,unsupported-symbolic-compression,pattern-derived,defer,swirl,,unknown tokens in reading: triple-dex — external uses vocabulary IFPA doesn't recognize,true,,
catacomb,Catacomb,passback,,Pixie near Drifter,2,,hidden-branch-family,pattern-derived,curator-decide-post-wave2,drifter,pixie|paradox,candidate descends from branch anchor 'drifter'; reveals additional family member not yet in IFPA,true,,
chainsaw-massacre,Chainsaw Massacre,passback,,"(downtime) Illusioning Symp. Illusioning Legover, (downtime) Illusioning Symp. Eggbeater",3,,unsupported-symbolic-compression,pattern-derived,defer,eggbeater,illusioning|symp|illusioning|illusioning|symp,"unknown tokens in reading: downtime,downtime — external uses vocabulary IFPA doesn't recognize",true,,
