"symbolic_group_id","display_name","classification_axis","description","representative_examples","confidence_level","source_basis","review_status"
"spinning-family","Spinning modifier family","modifier","+1 flat per pt10; rotational body modifier.","spinning-whirl, spinning-osis, spinning-clipper, spinning-torque, spender, montage","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"paradox-family","Paradox modifier family","modifier","+1 universal body modifier; in-then-out dex pair structure.","paradox-mirage, paradox-whirl, paradox-blender, paradox-drifter, paradox-symposium-whirl","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"pixie-family","Pixie modifier family","modifier","+1 universal set modifier; compact dex variant.","smear, dimwalk, smoke, phoenix, paste, pigbeater, smudge, magellan, parkwalk","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"ducking-family","Ducking modifier family","modifier","+1 body modifier; duck head movement.","ducking-whirl, ducking-osis, ducking-butterfly, ducking-clipper, mind-bender, phoenix, montage","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"diving-family","Diving modifier family","modifier","+1 body modifier; dive head movement.","hatchet, red-ribbon","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"symposium-family","Symposium modifier family","modifier","+1 no-plant-while body modifier.","matador, mullet, montage, spinal-tap, symposium-whirl, symposium-mirage, superfly","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"stepping-family","Stepping modifier family","modifier","+1 body modifier; step action between dexes.","ripwalk, sidewalk, stepping-osis, stepping-whirl, surreal, blur, grave-digger, surge","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"tapping-family","Tapping modifier family","modifier","+1 foot-pattern modifier; distinct from stepping per pt3.","tap, spinal-tap, tapping-whirl","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"atomic-family","Atomic modifier family","modifier","+1 non-rotational / +2 rotational set modifier.","scrambled-eggbeater, atomic-butterfly, atom-smasher, atomic-torque, eggbeater","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"furious-family","Furious modifier family","modifier","+1 non-rotational / +2 rotational set primitive (parallel to atomic).","fury, nemesis","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"quantum-family","Quantum modifier family","modifier","+1 universal set modifier per pt10.","tripwalk, legeater, plasma","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"nuclear-family","Nuclear modifier family","modifier","+2 set modifier; paradox+atomic structure per pt10.","matador, sumo, hurl, barfry","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"gyro-family","Gyro modifier family","modifier","+1 body-axial rotation modifier.","mobius, vortex","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"whirling-family","Whirling modifier family","modifier","+1 rotation modifier; flat per pt10.","whirling-swirl, blender (whirling-osis)","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"barraging-family","Barraging modifier family","modifier","+1 universal body modifier.","jani-walker (barraging-butterfly), flurry (barraging-legover; data-debt), barraging-osis (deferred)","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"blurry-family","Blurry modifier family","modifier","+1 flat per pt11; set modifier.","blur, blurry-whirl, blurry-torque, blurriest, food-processor","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"miraging-family","Miraging modifier family","modifier","+1 body modifier; underlies torque/drifter/DLO canonical decompositions.","torque (miraging-osis), drifter (miraging-clipper), DLO (miraging-legover)","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
