id,subject,discrepancy_class,source_form,modern_doctrine,resolution_recommendation,risk,curator_action,notes
PXD-1,Pixie's dual identity (set modifier AND 2-ADD trick),doctrine-confirmation,Source has pixie at 2 ADD as a standalone trick (TOE > SAME IN [DEX] > OP TOE [DEL]),Modern: pixie has BOTH a 2-ADD trick row (category='set') AND a +1 set modifier in modifier table,document the dual identity as fully aligned doctrine,Low (doctrinally confirmed),document,"CRITICAL FINDING: User's 2026-05-19 doctrinal clarification ('pixie is a set AND a trick #pixie-->dex>toe similar to ATW but the dex is uptime') is FULLY SUPPORTED by 2003 source. Source provides the structural definition: TOE > SAME IN [DEX] > OP TOE [DEL]"
PXD-2,Terrage ADD divergence,ADD-disagreement,Source: Terrage = Double Pixie = 3 ADD,Modern DB: terrage row at 4 ADD AND terraging row at 3 ADD AND terraging modifier at +3,"surface as Red Wave 2: source confirms 'Terrage = Double Pixie = 3 ADD' = pixie(2) + pixie(+1). Resolve the terrage(4)/terraging(3)/terraging(+3) modern doctrinal tangle","HIGH",red-question,"Cross-references multiplier doctrine audit MR-2d. The terraging-as-+3-modifier is doctrinally exotic; the source supports unwinding to pixie+pixie composition"
PXD-3,Pixie operational notation gap,missing-ifpa-operational,Source provides authoritative 2-ADD operational form,Modern DB has pixie row with compact notation 'PIXIE' but operational_notation blank,"author IFPA operational notation: TOE > SAME IN [DEX] > OP TOE [DEL]",Low,quick-win-pending-token-grammar,"Direct quick-win. Source provides the canonical operational form"
PXD-4,Parkwalk vs Dimwalk chain-reading conflict,chain-reading-conflict,Source treats Dimwalk and Parkwalk as DISTINCT compounds (Opposite Side vs Same Side qualifier),Modern chain registry has BOTH reading 'pixie butterfly' (curatorConfirmPending: true),"surface as Red Wave 2: are dimwalk and parkwalk the same trick (alias) or distinct canonical rows distinguished by side?",Medium,red-question,"2 distinct DB rows at 4 ADD same base both reading 'pixie butterfly'. Source distinguishes via 'Opposite Side' (dimwalk) vs 'Same Side' (parkwalk) qualifiers"
PXD-5,Pixie Eclipse — NEW jump-land grammar,grammar-extension-question,Source uses (JUMP) [BOD] + SAME INSIDE [DEL] + (LAND) markers,Modern ATAM grammar §13 does not define jump-land timing markers,"surface as ATAM grammar question: should jump-land markers be valid notation?",Medium,review,"UNIQUE source convention. First occurrence in 7-audit corpus. Pedagogically valuable for body-flight tricks"
PXD-6,Pixie Eclipse — INTERMEDIATE [DEL] usage,grammar-extension-question,Source uses SAME INSIDE [DEL] as intermediate (not terminal) stall,Modern ATAM grammar §13 treats [DEL] as terminal-only,"surface as ATAM grammar question: should [DEL] be valid mid-compound for jump-land timing?",Medium,review,"Same source compound (Pixie Eclipse). Implies a moment of body-flight where the bag stalls briefly before resuming dex"
PXD-7,SAME/OP BACK SWIRL alternation token,grammar-question,Source uses SAME/OP BACK SWIRL [DEX] in Pixie Swirl,Modern ATAM grammar: no leg-anchor alternation marker,"surface as ATAM grammar question",Low,review,"Different alternation pattern from blurryMoves OP IN/OUT — this is leg-anchor (SAME vs OP) alternation"
PXD-8,(plant) marker (cross-audit pattern persistence),grammar-question,4 of 21 pixie compounds use explicit (plant) marker,"Modern ATAM grammar §13: no (plant) marker (paradoxMoves PD-6 raised this question)","cross-audit consolidation: 6 source-corpus occurrences across paradoxMoves + pixieMoves",Medium,review,"Pattern persists across audits. Confirms recurring source-corpus convention worth resolving"
PXD-9,Pixie-class folk-name-without-canonical-row,canonicalization-question,Source has 4 folk-named pixie compounds NOT in DB (Yoda Backside Symposium Smear Pixie Eclipse Pixie Swirl),Modern: NOT in DB,"surface as Red Wave 2: should the folk-named ones (Yoda Backside Symposium Smear) be canonicalized per Productive Multiplicity policy?",Medium,red-question,"Yoda has strong folk-name lineage. Backside Symposium Smear has a structurally-explicit reading"
PXD-10,Pixie-class structural-form names,canonicalization-question,Source has 10 structural-form pixie compounds NOT in DB (Pixie Opposite/Same Clipper Pixie Same Side Illusion Pixie Leg Over Symposium Pixie Pixie Whirl Pixie Double Over Down Pixie Paradon),Modern: NOT in DB,"document per multiplier doctrine — structural-form pixie compounds are derivable via pixie(+1) + base ADD",Low,document,"Per CANONICALIZATION_POLICY.md §10 most structural-form names should remain non-canonical"
