"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Weaving Butterfly","weaving-butterfly","3 Observationally represented","D","footbagmoves","weaving","","full","","none",""
"Weaving Clipper","weaving-clipper","3 Observationally represented","D","footbagmoves","weaving","","full","","none",""
"Weaving Legover","weaving-legover","3 Observationally represented","D","footbagmoves","weaving","","full","","none",""
"Weaving Magellan","weaving-magellan","3 Observationally represented","D","passback","weaving","","full","","none",""
"Weaving Osis","weaving-osis","3 Observationally represented","D","footbagmoves","weaving","","full","","none",""
"Weaving Pickup","weaving-pickup","3 Observationally represented","D","footbagmoves","weaving","","full","","none",""
"Weaving Pigbeater","weaving-pigbeater","3 Observationally represented","D","passback","weaving","","full","","none",""
"Weaving Whirl","weaving-whirl","3 Observationally represented","D","footbagmoves","whirl-swirl|weaving","","full","","none",""
"Double Blender","double-blender","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","blender-torque","","full","observational","","medium"
"Double Switch-Over","double-switch-over","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","","","full","observational","","medium"
"Dragon","dragon","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","dragon-rake","","full","observational","","medium"
"Fairy Butterfly","fairy-butterfly","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","fairy","","full","observational","","low"
"Fairy Drifter","fairy-drifter","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","fairy","","full","observational","","low"
"Fairy Leg Over","fairy-leg-over","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","fairy","","full","observational","","low"
"Fairy Merkon","fairy-merkon","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","fairy","","full","observational","","low"
"Fairy Same Side Mirage","fairy-same-side-mirage","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","fairy","","full","observational","","low"
"Fairy Same Side Whirl","fairy-same-side-whirl","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","fairy|whirl-swirl","","full","observational","","low"
"Fairy Spyro Mirage","fairy-spyro-mirage","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","fairy|gyro-spyro","","full","observational","","low"
"Fairy Whirl","fairy-whirl","4 Pending symbolic resolution","PENDING-SYMBOLIC","multi","fairy|whirl-swirl","","full","observational","none","low"
"Fear","fear","4 Pending symbolic resolution","PENDING-SYMBOLIC","footbagmoves","","","full","observational","high","low"
"Flog","flog","4 Pending symbolic resolution","PENDING-SYMBOLIC","footbagmoves","","","full","observational","high","low"
"Fudge","fudge","4 Pending symbolic resolution","PENDING-SYMBOLIC","footbagmoves","","","full","observational","high","low"
"Hop Over Swirl","hop-over-swirl","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","whirl-swirl|eclipse-hop-over","","full","observational","","medium"
"Leg-Over Flapper Stall","leg-over-flapper-stall","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","","","full","observational","","medium"
"Miraging Pincher","miraging-pincher","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","","","full","observational","","medium"
"Pandora","pandora","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","","","full","observational","","medium"
"Paralax","paralax","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","","","full","observational","","medium"
"Pogo Barfly","pogo-barfly","4 Pending symbolic resolution","PENDING-SYMBOLIC","fborg","pogo","","full","observational","","medium"
