"name","confirm_class","proposed_slug","source_corpus","provenance","proposed_job_semantic","proposed_add","add_accounting","decomposition","parser_confidence","doctrine_confidence","parent_family","ecosystem","promotion_tier","reason"
"Diving Smudge","2-confirm-add-divergence","diving-smudge","passback","passback","DIVING SMUDGE","4","diving(+1) + smudge(3) = 4","diving > smudge","high","stable","","(unclassified)","T4","Derived ADD 4 but source claims ['6'] — curator adjudicates the divergence"
"Atomic Drifter","2-confirm-add-divergence","atomic-drifter","footbagmoves","footbagmoves","ATOMIC DRIFTER","4","atomic(+1) + drifter(3) = 4","atomic > drifter","high","stable","","atomic","T2","Derived ADD 4 but source claims ['5'] — curator adjudicates the divergence"
"Spyro Gyro","2-confirm-add-divergence","spyro-gyro","footbagmoves","footbagmoves","SPYRO GYRO","2","gyro(+1) + spyro(1) = 2","gyro > spyro","high","stable","","spinning/gyro","T1","Derived ADD 2 but source claims ['5'] — curator adjudicates the divergence"
"Stepping Illusion (same side)","2-confirm-add-divergence","stepping-illusion","footbagmoves","footbagmoves","STEPPING ILLUSION","3","stepping(+1) + illusion(2) = 3","stepping > illusion","high","stable","","stepping","T2","Derived ADD 3 but source claims ['4'] — curator adjudicates the divergence"
"Stepping Mirage (same side)","2-confirm-add-divergence","stepping-mirage","footbagmoves","footbagmoves","STEPPING MIRAGE","3","stepping(+1) + mirage(2) = 3","stepping > mirage","high","stable","","stepping","T2","Derived ADD 3 but source claims ['4'] — curator adjudicates the divergence"
"Backside Symposium Smear","2-confirm-add-divergence","backside-symposium-smear","fborg","fborg","BACKSIDE SYMPOSIUM SMEAR","5","backside(+1) + symposium(+1) + smear(3) = 5","backside|symposium > smear","high","stable","","symposium/paradox","T1","Derived ADD 5 but source claims ['4'] — curator adjudicates the divergence"
"Backside Symposium Toe Blizzard","2-confirm-add-divergence","backside-symposium-toe-blizzard","fborg","fborg","BACKSIDE SYMPOSIUM TOE BLIZZARD","5","backside(+1) + symposium(+1) + blizzard(3) = 5","backside|symposium > blizzard","high","stable","","symposium/paradox","T1","Derived ADD 5 but source claims ['4'] — curator adjudicates the divergence"
"Paradox Blur","2-confirm-add-divergence","paradox-blur","fborg","fborg","PARADOX BLUR","5","paradox(+1) + blur(4) = 5","paradox > blur","high","stable","","symposium/paradox","T3","Derived ADD 5 but source claims ['4'] — curator adjudicates the divergence"
"Paradox Whirling Rake","2-confirm-add-divergence","paradox-whirling-rake","footbagmoves","footbagmoves","PARADOX WHIRLING RAKE","4","whirling(+1) + paradox(+1) + rake(2) = 4","whirling|paradox > rake","high","stable","","symposium/paradox","T2","Derived ADD 4 but source claims ['5'] — curator adjudicates the divergence"
"Symposium Blizzard","2-confirm-add-divergence","symposium-blizzard","fborg","fborg","SYMPOSIUM BLIZZARD","4","symposium(+1) + blizzard(3) = 4","symposium > blizzard","high","stable","","symposium/paradox","T3","Derived ADD 4 but source claims ['5'] — curator adjudicates the divergence"
"Reverse Whirling Rake","2-confirm-add-divergence","reverse-whirling-rake","footbagmoves","footbagmoves","REVERSE WHIRLING RAKE","3","whirling(+1) + rake(2) = 3","whirling > rake","high","stable","","whirl/osis/other","T2","Derived ADD 3 but source claims ['4'] — curator adjudicates the divergence"
"Symp Swirl (op)","2-confirm-add-divergence","symposium-swirl","passback","passback","SYMPOSIUM SWIRL","4","symposium(+1) + swirl(3) = 4","symposium > swirl","high","stable","","whirl/osis/other","T2","Derived ADD 4 but source claims ['3'] — curator adjudicates the divergence"
"Whirling Rake","2-confirm-add-divergence","whirling-rake","footbagmoves","footbagmoves","WHIRLING RAKE","3","whirling(+1) + rake(2) = 3","whirling > rake","high","stable","","whirl/osis/other","T2","Derived ADD 3 but source claims ['4'] — curator adjudicates the divergence"
"Far Reverse Guay","2-confirm-base-only","reverse-guay","stanford","stanford","REVERSE GUAY","2","guay(2) = 2","guay","high","stable","","(unclassified)","T4","Base resolves to 'guay' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Reverse Magellan","2-confirm-base-only","reverse-magellan","fborg","fborg","REVERSE MAGELLAN","3","magellan(3) = 3","magellan","high","stable","","(unclassified)","T3","Base resolves to 'magellan' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Sailing Clipper","2-confirm-base-only","sailing-clipper","stanford","stanford","SAILING CLIPPER","2","sailing(2) = 2","sailing","high","stable","","(unclassified)","T4","Base resolves to 'sailing' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Toe Flurry","2-confirm-base-only","toe-flurry","footbagmoves","footbagmoves","TOE FLURRY","4","flurry(4) = 4","flurry","high","stable","","(unclassified)","T4","Base resolves to 'flurry' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Toe Mobius","2-confirm-base-only","toe-mobius","passback","passback","TOE MOBIUS","5","mobius(5) = 5","mobius","high","stable","","(unclassified)","T4","Base resolves to 'mobius' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Toe near Barrage","2-confirm-base-only","toe-barrage","passback","passback","TOE BARRAGE","3","barrage(3) = 3","barrage","high","stable","","(unclassified)","T4","Base resolves to 'barrage' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Toe near Flurry","2-confirm-base-only","toe-flurry","passback","passback","TOE FLURRY","4","flurry(4) = 4","flurry","high","stable","","(unclassified)","T4","Base resolves to 'flurry' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Toe Ripwalk","2-confirm-base-only","toe-ripwalk","fborg","fborg","TOE RIPWALK","4","ripwalk(4) = 4","ripwalk","high","stable","","(unclassified)","T1","Base resolves to 'ripwalk' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
"Far Reverse Swirl","2-confirm-base-only","reverse-swirl","stanford","stanford","REVERSE SWIRL","3","swirl(3) = 3","swirl","high","stable","","whirl/osis/other","T2","Base resolves to 'swirl' but no modifier applied — surface/positional terminal not reflected in ADD; curator confirms reading"
