operator_or_primitive,fm_token_form,fm_usage_count,fm_class,modern_class,modern_db_slug,modern_add_bonus,doctrinal_alignment,red_question_candidate,notes
"set (initial bag-launch)",SET,11,grammar-prefix,grammar-prefix,(none),0,aligned,no,"Universal opening token; not an operator. Matches modern ATAM grammar"
"clip (initial cross-body anchor)",CLIP,11,grammar-prefix,surface-anchor,clipper,1,aligned,no,"CLIP as starting position in 11 of 18 examples; modern doctrine treats clipper as a 1-ADD body kick / 2-ADD stall surface"
"toe (initial sole-side anchor)",TOE,3,grammar-prefix,surface-anchor,toe-stall,1,aligned,no,"TOE as starting position in 3 examples (Mirage variant, Paradon, Spinning Osis alt-form). Modern doctrine treats toe-stall as a 1-ADD surface"
"same (leg-anchor: same as previous)",same / SAME,11,grammar-relator,structural-marker,(none),0,aligned,no,"Same/op grammar token from Job's notation; preserved in FM source. Encodes structural side-relationship. Modern operational notation uses identical SAME / OP convention"
"op (leg-anchor: opposite to previous)",op / OP,17,grammar-relator,structural-marker,(none),0,aligned,no,"Same as above"
"in (dex direction: inside)",IN,8,direction-token,structural-marker,(none),0,aligned,no,"In/out direction modifier on dex. Modern doctrine: IN dex vs OUT dex distinguishes mirage-family from legover-family etc."
"out (dex direction: outside)",OUT,11,direction-token,structural-marker,(none),0,aligned,no,"Same as above"
"dex (dexterity action; explicit bracketed flag)",[DEX],14,structural-flag,structural-flag,(none),0,aligned,no,"Bracketed flag indicating dex action. Universal modern convention"
"bod (body action; explicit bracketed flag)",[BOD],7,structural-flag,structural-flag,(none),0,aligned,no,"Bracketed flag indicating body action (typically SPIN). Universal modern convention"
"pdx (paradox; explicit bracketed flag)",[PDX],3,modifier-flag,modifier-flag,paradox,1,aligned,no,"Paradox flag on dex segments where side-change occurs. Modern doctrine: paradox is +1 body modifier registered in DB"
"xbd (cross-body; explicit bracketed flag)",[XBD],14,terminal-flag,structural-flag,(none),0,aligned,no,"Cross-body terminal flag — almost universal terminator on clipper-ending compounds. Encodes the cross-body position structurally rather than via a separate modifier"
"del (delay; explicit bracketed flag)",[DEL],18,terminal-flag,terminal-marker,(none),0,aligned,no,"Delay/stall terminal flag — present on every move (universal). Modern doctrine: stalls are surfaces, not modifiers"
"spin (body rotation; bracketed BOD + parenthesized direction)",SPIN [BOD] with (back) or (front) or (BACK),7,rotation-element,structural-marker,spinning / gyro,1 / 1,partially-aligned,yes,"FM uses (back) or (front) SPIN axis. Modern doctrine distinguishes spinning (+1; full turn) vs gyro (+1; half turn) on a full/half axis. FM's forward/backward axis is a DIFFERENT distinction. Doctrinal divergence — RP-6 in Job audit"
"(no plant while)",(no plant while) [BOD] [DEX],1,no-plant-element,structural-marker,symposium,1,aligned,no,"Parenthesized phrase indicating no-plant element. Modern doctrine: symposium operator (+1) encodes this. Matches Job's (no plant while) usage exactly"
