source_section,set_name,normalized_name,source_formula,compact_notation,add_count,timing_class,support_leg_semantics,operator_tokens,dual_identity,movement_class,notes
"Standard sets",Pixie,pixie,TOE > SAME IN [DEX] >,(prefix-form),(implicit +1 modifier; 2 ADD trick form),uptime,setting-leg-does-pixie-dex,"toe;same;in;dex",YES (+1 modifier AND 2-ADD trick),set-primitive,"Universal 21-compound segment per pixieMoves audit. User 2026-05-19: dual identity (set AND trick)"
"Standard sets",Fairy,fairy,TOE > SAME OUT [DEX] >,(prefix-form),(implicit +1 modifier; potentially 2-ADD trick),uptime,setting-leg-does-fairy-dex-out,"toe;same;out;dex",CANDIDATE dual identity,set-primitive,"Direction-reversed pixie (out-dex instead of in-dex). Modern DB has fairy at 2 ADD AND +1 modifier — same dual pattern as pixie"
"Standard sets",Nuclear,nuclear,CLIP > SAME OUT >,(prefix-form),(implicit +2 modifier),uptime,setting-leg-does-out-from-clip,"clip;same;out",NO,set-primitive,"Source operational lacks [DEX] flag — interesting. Modern DB: nuclear=+2/+2 set modifier"
"Standard sets",Miraging,miraging,SET > OP IN [DEX] >,(prefix-form),(implicit +1 modifier),uptime,opposite-leg-does-in-dex,"set;op;in;dex",NO,operator-modifier,"Modern: miraging=+1 body modifier. Used in chain readings like 'miraging legover' / 'miraging osis'"
"Standard sets",Stepping,stepping,CLIP > OP IN [DEX] >,(prefix-form),(implicit +1 modifier),uptime,opposite-leg-does-in-dex-from-clip,"clip;op;in;dex",NO,operator-modifier,"Modern: stepping=+1 body modifier. Cross-references Red pt11 'Blurry = Stepping Paradox'"
"Standard sets",Quantum,quantum,TOE > OP IN [DEX] >,(prefix-form; op side component),(implicit +1 modifier),uptime,opposite-leg-does-in-dex-from-toe-op-side-continuation,"toe;op;in;dex",CANDIDATE dual identity,set-primitive,"Direction-reversed of pixie (op-side instead of same-side). Modern DB: quantum=2 ADD set trick AND +1 modifier"
"Standard sets",Slapping,slapping,TOE > OP IN [DEX] >,(prefix-form; same side component),(unclear),uptime,opposite-leg-does-in-dex-from-toe-same-side-continuation,"toe;op;in;dex",NOT in modern doctrine,operator-modifier-candidate,"Same operational form as Quantum but with same-side continuation. Modern: NOT in modifier table"
"Standard sets",Bubba,bubba,CLIP > OP OUT [DEX] >,(prefix-form),(unclear),uptime,opposite-leg-does-out-dex-from-clip,"clip;op;out;dex",NOT in modern doctrine,operator-modifier-candidate,"Direction-reversed stepping. Modern: NOT in modifier table"
"Standard sets","Atomic (Toe set Illusion)",atomic,TOE > OP OUT [DEX] >,(prefix-form; op side component),(+1/+2 rotational),uptime,opposite-leg-does-out-dex-from-toe,"toe;op;out;dex",CANDIDATE dual identity,set-primitive,"Source: 'Toe set Illusion'. Modern DB: atomic=2 ADD set trick AND +1/+2 rotational modifier"
"Standard sets","Tapping (Atomic same side)",tapping,TOE > OP OUT [DEX] (plant) > (same side component),(prefix-form),(+1 modifier),uptime,opposite-leg-does-out-dex-with-explicit-plant,"toe;op;out;dex;plant;same-side",NO,operator-modifier,"Source: 'Atomic same side'. Modern DB: tapping=+1/+1 body modifier. Notable explicit (plant) marker"
"Standard sets","Terraging (Double Pixie)",terraging,TOE > SAME IN [DEX] > SAME IN [DEX] >,(prefix-form),(modern +3; source implies +2 = double pixie),uptime,setting-leg-does-2-pixie-dexes,"toe;same;in;dex",NO (modifier only in modern),operator-modifier-divergent,"CRITICAL: Source defines 'Double Pixie' = pixie + pixie segments. Modern DB has terraging as +3 modifier (vs source-implied +2 from doubling pixie's +1). Cross-references pixieMoves PXW2-2"
"Standard sets","Barraging (High Stepping)",barraging,CLIP > OP IN [DEX] > SAME IN [DEX] >,(prefix-form),(+1 modifier),uptime,stepping-then-same-leg-in-dex,"clip;op;in;dex;same",NO (modifier only in modern),operator-modifier,"Source: 'High Stepping' compact reading. Modern: barraging=+1 body modifier"
"Standard sets","Sailing (Pixie Illusion)",sailing,TOE > SAME IN [DEX] > OP OUT [DEX] >,(prefix-form),(2-ADD trick in DB),uptime,setting-leg-pixie-then-op-leg-out-dex,"toe;same;in;dex;op;out",NO (canonical trick in modern),set-primitive-trick,"Source: 'Pixie Illusion' compact reading. Modern DB: sailing=2 ADD canonical row (category=set)"
"Standard sets","Blurry (Stepping Paradox)",blurry,CLIP > OP IN [DEX] > OP OUT [DEX] > (op side component),(prefix-form),(+1 modifier),uptime,stepping-then-out-dex-then-op-side-continuation,"clip;op;in;dex;out",NO (modifier only in modern),operator-modifier,"Source: 'Stepping Paradox' compact reading — confirms Red pt11 doctrine. Modern DB: blurry=+1/+1 set modifier"
"Standard sets","Frantic (pixie-quantum)",frantic,TOE > SAME IN [DEX] > OP IN [DEX] >,(prefix-form),(unclear),uptime,pixie-segment-then-quantum-segment,"toe;same;in;dex;op",NOT in modern doctrine,operator-modifier-candidate,"Source: 'pixie-quantum' framing. NOT in modifier table"
