trick_name,source,proposed_formula,formula_status,add_status,topology_status,blocker_type,blocker_description,recommended_next_step,wave2_dependency,safe_to_publish_observationally,coverage_tier,notes
Atomic Illusion,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Atomic Illusion (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Atomic Legover (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Atomic Pickup (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Atomsmasher,footbagmoves,atomic mirage,exact_formula,divergent,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Barrage,footbagmoves,Clipper set Double Mirage,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Barrage (toe set),footbagmoves,Clipper set Double Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: clipper,set",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Bubba Beater,footbagmoves,Bubba Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: bubba,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Butterfly,footbagmoves,,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Butterfly (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Alex Zerbe is the greatest,footbagmoves,Spyro Symple Drifter,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: spyro,symple",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Arcwalk,footbagmoves,Arctic Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: arctic,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Assassin,footbagmoves,Pixie Ducking Mirage,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Atomic Butterfly (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Atomic Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Atomic ss Osis,footbagmoves,Tapping Osis,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Barfly,footbagmoves,Far Double Over Down,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Barfry,footbagmoves,nuclear butterfly | paradox atomic butterfly,exact_formula,divergent,structurally_placed,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
Blaze,footbagmoves,Blazing Mirage,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Blender,footbagmoves,whirling osis,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Blender (same side),footbagmoves,whirling osis,exact_formula,stable,unknown,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
Bling Blang,footbagmoves,Whirling Reverse Whirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Blister,footbagmoves,Whirling Gyro Mirage,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Blizzard,footbagmoves,Blurry Illusion,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Blur,footbagmoves,Blurry Mirage,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Butterfly Swirl,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Butterfly Swirl (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Buttersole,footbagmoves,Butterfly Flapper,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: flapper,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Cascade,footbagmoves,Ducking Double Legover,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Casket,footbagmoves,Fairy ss Drifter,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
