slug,current_label,primary,flags,next_action,rationale,add,job,base,family
blazing,Unknown (dex-count: notation pending),Doctrine Blocked,undefined_operator,Operator definition pending (Red): blazing,undefined folk operator in name,,,blazing,blazing
blazing_butterfly,Unknown (dex-count: notation pending),Doctrine Blocked,undefined_operator|notation_placeholder,Operator definition pending (Red): blazing,undefined folk operator in name,4,JOB,butterfly,butterfly
blazing_drifter,Unknown (dex-count: notation pending),Doctrine Blocked,undefined_operator|notation_placeholder,Operator definition pending (Red): blazing,undefined folk operator in name,4,JOB,drifter,drifter
blazing_illusion,Unknown (dex-count: notation pending),Doctrine Blocked,undefined_operator|notation_placeholder,Operator definition pending (Red): blazing,undefined folk operator in name,3,JOB,illusion,illusion
blazing_legover,Unknown (dex-count: notation pending),Doctrine Blocked,undefined_operator|notation_placeholder,Operator definition pending (Red): blazing,undefined folk operator in name,3,JOB,legover,legover
blazing_mirage,Unknown (dex-count: notation pending),Doctrine Blocked,undefined_operator|notation_placeholder,Operator definition pending (Red): blazing,undefined folk operator in name,3,JOB,mirage,mirage
blazing_paradox_whirl,Unknown (dex-count: notation pending),Doctrine Blocked,undefined_operator|notation_placeholder|operator_now_settled,Operator definition pending (Red): blazing,undefined folk operator in name,5,JOB,paradox-whirl,whirl
blazing_symposium_mirage,Unknown (dex-count: notation pending),Doctrine Blocked,undefined_operator|notation_placeholder|operator_now_settled,Operator definition pending (Red): blazing,undefined folk operator in name,4,JOB,symposium-mirage,mirage
blazing_torque,Unknown (dex-count: notation pending),Doctrine Blocked,undefined_operator|notation_placeholder,Operator definition pending (Red): blazing,undefined folk operator in name,5,JOB,torque,torque
barraging,Unknown (dex-count: notation pending),Needs Curator Review,operator_now_settled|operator_anchor,"Decide surfacing: operator-definition row, not a dex-trick","category=modifier; an operator anchor, not an authorable dex-trick",,,barraging,barraging
big_apple_sauce,Unknown (dex-count: notation pending),Needs Curator Review,notation_placeholder|verification_needed,Curator selects canonical reading (multiple plausible),documented but carries a genuine multi-reading canonical choice,8,JOB,torque,torque
down_double_down,Unknown (dex-count: notation pending),Needs Curator Review,notation_placeholder|verification_needed,Curator verifies down-family decomposition (DOD vs DDD),"down-family terminal; governance/verification, not a ruling",4,JOB,down-double-down,down_double_down
ducking,Unknown (dex-count: notation pending),Needs Curator Review,operator_now_settled|operator_anchor,"Decide surfacing: operator-definition row, not a dex-trick","category=modifier; an operator anchor, not an authorable dex-trick",,,ducking,ducking
gyro,Unknown (dex-count: notation pending),Needs Curator Review,operator_now_settled|operator_anchor,"Decide surfacing: operator-definition row, not a dex-trick","category=modifier; an operator anchor, not an authorable dex-trick",,,gyro,gyro
paradox,Unknown (dex-count: notation pending),Needs Curator Review,operator_now_settled|operator_anchor,"Decide surfacing: operator-definition row, not a dex-trick","category=modifier; an operator anchor, not an authorable dex-trick",,,paradox,paradox
spinning,Unknown (dex-count: notation pending),Needs Curator Review,operator_now_settled|operator_anchor,"Decide surfacing: operator-definition row, not a dex-trick","category=modifier; an operator anchor, not an authorable dex-trick",,,spinning,spinning
stepping,Unknown (dex-count: notation pending),Needs Curator Review,operator_now_settled|operator_anchor,"Decide surfacing: operator-definition row, not a dex-trick","category=modifier; an operator anchor, not an authorable dex-trick",,,stepping,stepping
symposium,Unknown (dex-count: notation pending),Needs Curator Review,operator_now_settled|operator_anchor,"Decide surfacing: operator-definition row, not a dex-trick","category=modifier; an operator anchor, not an authorable dex-trick",,,symposium,symposium
tapping,Unknown (dex-count: notation pending),Needs Curator Review,operator_now_settled|operator_anchor,"Decide surfacing: operator-definition row, not a dex-trick","category=modifier; an operator anchor, not an authorable dex-trick",,,tapping,tapping
terraging,Unknown (dex-count: notation pending),Needs Curator Review,operator_now_settled|operator_anchor,"Decide surfacing: operator-definition row, not a dex-trick","category=modifier; an operator anchor, not an authorable dex-trick",3,,terraging,terraging
atomic_torque,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder|operator_now_settled,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,5,JOB,torque,torque
bill_ted_s_excellent_adventure,Unknown (dex-count: notation pending),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",5,,eggbeater,eggbeater
blurry_torque,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder|operator_now_settled|verification_needed,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,6,JOB,torque,torque
blurry_whirl,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder|operator_now_settled|verification_needed,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,5,JOB,whirl,whirl
floatation,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,6,JOB,butterfly,butterfly
gyro_diving_clipper,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder|operator_now_settled,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,3,JOB,diving-clipper,clipper
liquifier,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,6,JOB,blender,blender
oh_wheely,Unknown (dex-count: notation pending),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",6,,nova,legover
paradox_blur,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder|operator_now_settled,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,5,JOB,blur,mirage
redwetter,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,6,JOB,eggbeater,eggbeater
sole_survivor,Unknown (dex-count: notation pending),Ready for Authoring,,Author operational notation + ADD,"settled operators; structure understood, notation not yet written",5,,whirl,whirl
spyro,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,1,JOB,spyro,spyro
terrage,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder|operator_now_settled,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,4,JOB,terrage,terrage
terraging_illusion,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder|operator_now_settled,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,5,JOB,illusion,illusion
terraging_legover,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder|operator_now_settled,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,5,JOB,legover,legover
terraging_mirage,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder|operator_now_settled,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,5,JOB,mirage,mirage
warp,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,5,JOB,mirage,mirage
witchdoctor,Unknown (dex-count: notation pending),Ready for Authoring,notation_placeholder,Write operational notation; movement JOB + ADD already present,settled operators; only symbolic operational_notation pending,5,JOB,mirage,mirage
