"ifpa_trick_family","ifpa_family_size","active_pilot_count","distinct_topology_groups_spanned","primary_topology_group","members_in_primary_topology","topology_coherence_score","cross_cutting_topologies","sample_members","diagnostic_notes"
"whirl","17","15","1","whirl-rotational-topology","17","1.0","","whirl, symposium-whirl, ducking-whirl, stepping-whirl, paradox-whirl","perfectly coherent (single topology)"
"butterfly","12","12","1","butterfly-wing-topology","12","1.0","","butterfly, dimwalk, parkwalk, ripwalk, ducking-butterfly","perfectly coherent (single topology); fully pilot"
"mirage","11","10","1","mirage-topology","11","1.0","","mirage, smear, blur, atom-smasher, paradox-mirage","perfectly coherent (single topology)"
"torque","8","7","1","torque-rotational-topology","8","1.0","","paradox-torque, mobius, blurry-torque, atomic-torque, spinning-torque","perfectly coherent (single topology)"
"legover","7","6","1","legover-topology","6","0.857","","legover, eggbeater, double-leg-over, flurry, merkon",""
"osis","7","6","2","osis-rotational-topology","7","1.0","double-dex-topology","osis, torque, blender, spinning-osis, ducking-osis","perfectly coherent (single topology)"
"clipper-stall","6","5","0","(none)","0","0.0","","drifter, ducking-clipper, spinning-clipper, clipper-stall, high-plains-drifter","scattered across multiple topologies"
"pickup","5","4","1","pickup-topology","5","1.0","","pickup, omelette, paste, scrambled-eggbeater, legeater","perfectly coherent (single topology)"
"barfly","4","3","1","barfly-double-loop-topology","4","1.0","","blurriest, superfly, venom, nemesis","perfectly coherent (single topology)"
"blender","4","3","1","blender-rotational-topology","4","1.0","","paradox-blender, food-processor, spender, mind-bender","perfectly coherent (single topology)"
"drifter","4","4","1","drifter-miraging-clipper-topology","4","1.0","","paradox-drifter, tombstone, vortex, smoke","perfectly coherent (single topology); fully pilot"
"atw","3","2","1","atw-leg-circle-topology","3","1.0","","around-the-world, reverse-around-the-world, double-around-the-world","perfectly coherent (single topology)"
"double-leg-over","3","3","0","(none)","0","0.0","","fog, smog, haze","scattered across multiple topologies; fully pilot"
"illusion","3","3","1","illusion-topology","3","1.0","","illusion, flail, smudge","perfectly coherent (single topology); fully pilot"
"clipper","2","0","1","stall-1add-topology","1","0.5","","clipper, flying-clipper","no pilot members"
"reverse-drifter","2","2","1","drifter-miraging-clipper-topology","2","1.0","","royale, reverse-drifter","perfectly coherent (single topology); fully pilot"
"swirl","2","2","1","swirl-rotational-topology","2","1.0","","swirl, whirling-swirl","perfectly coherent (single topology); fully pilot"
"barrage","1","1","1","double-dex-topology","1","1.0","","barrage","singleton family; fully pilot"
"bullwhip","1","1","0","(none)","0","0.0","","bullwhip","singleton family; fully pilot"
"cloud-kick","1","0","1","stall-1add-topology","1","1.0","","cloud-kick","singleton family; no pilot members"
"cloud-stall","1","0","0","(none)","0","0.0","","cloud-stall","singleton family; no pilot members"
"cross-body-sole-stall","1","0","0","(none)","0","0.0","","cross-body-sole-stall","singleton family; no pilot members"
"dada-curve","1","1","0","(none)","0","0.0","","dada-curve","singleton family; fully pilot"
"dod","1","0","0","(none)","0","0.0","","fusion","singleton family; no pilot members"
"double-spin","1","0","0","(none)","0","0.0","","double-spin","singleton family; no pilot members"
"dragonfly-kick","1","0","0","(none)","0","0.0","","dragonfly-kick","singleton family; no pilot members"
"dyno","1","1","0","(none)","0","0.0","","dyno","singleton family; fully pilot"
"eclipse","1","1","0","(none)","0","0.0","","eclipse","singleton family; fully pilot"
"flying-inside","1","0","1","stall-1add-topology","1","1.0","","flying-inside","singleton family; no pilot members"
"flying-outside","1","0","1","stall-1add-topology","1","1.0","","flying-outside","singleton family; no pilot members"
"forehead-stall","1","0","1","stall-1add-topology","1","1.0","","forehead-stall","singleton family; no pilot members"
"guay","1","0","0","(none)","0","0.0","","guay","singleton family; no pilot members"
"head-stall","1","0","1","stall-1add-topology","1","1.0","","head-stall","singleton family; no pilot members"
"heel-stall","1","0","1","stall-1add-topology","1","1.0","","heel-stall","singleton family; no pilot members"
"hop-over","1","0","0","(none)","0","0.0","","hop-over","singleton family; no pilot members"
"infinity","1","1","1","double-dex-topology","1","1.0","","barfly","singleton family; fully pilot"
"inside-stall","1","0","1","stall-1add-topology","1","1.0","","inside-stall","singleton family; no pilot members"
"jani-walker","1","1","0","(none)","0","0.0","","jani-walker","singleton family; fully pilot"
"knee-clipper","1","0","0","(none)","0","0.0","","knee-clipper","singleton family; no pilot members"
"knee-stall","1","0","1","stall-1add-topology","1","1.0","","knee-stall","singleton family; no pilot members"
"neck-stall","1","0","1","stall-1add-topology","1","1.0","","neck-stall","singleton family; no pilot members"
"outside-stall","1","0","1","stall-1add-topology","1","1.0","","outside-stall","singleton family; no pilot members"
"paradon","1","0","0","(none)","0","0.0","","paradon","singleton family; no pilot members"
"pendulum","1","0","0","(none)","0","0.0","","pendulum","singleton family; no pilot members"
"plasma","1","1","0","(none)","0","0.0","","plasma","singleton family; fully pilot"
"refraction","1","0","0","(none)","0","0.0","","refraction","singleton family; no pilot members"
"rev-whirl","1","1","0","(none)","0","0.0","","surgery","singleton family; fully pilot"
"ripstein","1","1","0","(none)","0","0.0","","ripstein","singleton family; fully pilot"
"sailing","1","0","0","(none)","0","0.0","","sailing","singleton family; no pilot members"
"shoulder-stall","1","0","1","stall-1add-topology","1","1.0","","shoulder-stall","singleton family; no pilot members"
"sole-kick","1","0","1","stall-1add-topology","1","1.0","","sole-kick","singleton family; no pilot members"
"sole-stall","1","0","0","(none)","0","0.0","","sole-stall","singleton family; no pilot members"
"spin","1","0","1","stall-1add-topology","1","1.0","","spin","singleton family; no pilot members"
"spyro","1","0","1","stall-1add-topology","1","1.0","","spyro","singleton family; no pilot members"
"squeeze","1","0","0","(none)","0","0.0","","squeeze","singleton family; no pilot members"
"surging","1","0","0","(none)","0","0.0","","surging","singleton family; no pilot members"
"terrage","1","1","0","(none)","0","0.0","","terrage","singleton family; fully pilot"
"toe-stall","1","0","1","stall-1add-topology","1","1.0","","toe-stall","singleton family; no pilot members"
"walk-over","1","0","0","(none)","0","0.0","","walk-over","singleton family; no pilot members"
