pattern_class,pattern_name,gyromoves_example,frequency,structural_role,modern_analog,notes
opening,CLIP-anchored,CLIP > ...,9 of 9 (primary form),initial cross-body clipper anchor,Modern: same convention,Universal opener
opening,TOE-anchored (alt-form),TOE > ...,7 of 9 (alt forms),initial toe-stall anchor,Modern: same convention,"Notable: TOE-start variants flip the leg-anchor of the subsequent dex (CLIP-start uses OP dex; TOE-start uses SAME dex). This is the 'Same Side' distinction encoded in 3 names"
spin-element,single-back-spin,(back) SPIN [BOD] or (BACK) SPIN [BOD],all 9 (at least one),structural rotation element,Modern: (back) SPIN [BOD] aligned,"Universal back-spin token in gyro-class compounds"
spin-element,single-front-spin,(front) SPIN [BOD],3 of 9 (Inspinning compounds),structural rotation element,Modern: (front) SPIN [BOD] — but 'inspinning' modifier not registered,"Front-spin token aligned; modifier-table gap"
spin-element,double-back-spin (gyro torque pattern),(back) SPIN [BOD] > ... > (back) SPIN [BOD],2 of 9 (Mobius Big Apple),"double rotation with intervening dex/symposium",Modern: same pattern,"This is the structural signature of 'gyro torque' family compounds — two back-spins surrounding a mirage/symposium-mirage element"
naming,compound-name-prefix,"Gyro X / Inspinning Same Side X / Spyro Gyro (Gyro Butterfly Swirl)",6 of 9,"name carries the compositional structure (Gyro = back-spin; Inspinning = front-spin)",Modern: chain registry preserves these,Source is the historical-precedent corpus for gyro-class compound naming
core-segment,single-dex-after-spin,> ... SPIN [BOD] > SAME or OP IN/OUT [DEX] > ...,9 of 9,"single dex action after the rotation",Modern: same pattern,Universal core-segment shape
core-segment,double-dex-after-spin-flurry-style,> (back) SPIN [BOD] > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > ...,1 of 9 (Flurricane),"three dex actions after rotation (flurry shape)",Modern: same pattern,"Flurry's structural signature extended with back-spin prefix"
core-segment,swirl-dex,> ... > SAME OUT [DEX] > OP BACK SWIRL [DEX] > ...,1 of 9 (Spyro Gyro),"butterfly dex followed by swirl dex",Modern: less common; OP BACK SWIRL is a compound token,"Same OP BACK SWIRL construct as 3 paradoxMoves compounds — surface as grammar question"
terminal,OP-CLIP whirl-class,> OP CLIP [XBD] [DEL],5 of 9,"opposite-leg clipper terminal",Modern: same pattern,Used for whirl-family endings
terminal,SAME-CLIP drifter-class,> SAME CLIP [XBD] [DEL],3 of 9 (Vortex Spyro Gyro Mobius Big Apple via alt forms),"same-leg clipper terminal",Modern: same pattern,Used for drifter-family + spyro-gyro endings
terminal,OP-TOE mirage-class,> OP TOE [DEL],2 of 9 (Inspinning Same Side Illusion Inspinning Same Side Mirage),"opposite-leg toe terminal",Modern: same pattern,Mirage/illusion endings
terminal,SAME-TOE legover-class,> SAME TOE [DEL],1 of 9 (Flurricane),"same-leg toe terminal (legover shape)",Modern: same pattern,Flurry-class ending
alternation,dual-operational-form,"CLIP-start AND TOE-start variants provided",7 of 9,"either-or operational choice; pedagogical learner-flexibility",Modern: typically picks canonical OR preserves both,"Source consistently provides both forms — useful pedagogical content for §7 reconciliation"
