name,slug,resolved_operator,folk_equiv,recommended_action
Furious Butterfly (Jani Walker),furious-butterfly-jani-walker,furious,Jani Walker,Alias-wire to jani-walker (folk canonical active) + remove doctrine flag
Furious Butterfly Swirl (Tsunami),furious-butterfly-swirl-tsunami,furious,Tsunami,"Re-triage to Authoring; verify folk ""Tsunami"" (slug tsunami) not yet canonical"
Furious DLO (Nebula),furious-dlo-nebula,furious,Nebula,Alias-wire to nebula (folk canonical active) + remove doctrine flag
Furious Drifter,furious-drifter,furious,,Re-triage to Authoring-ready (furious doctrine resolved)
Furious Eggbeater (Clown Face),furious-eggbeater-clown-face,furious,Clown Face,Alias-wire to clown-face (folk canonical active) + remove doctrine flag
Furious Illusion,furious-illusion,furious,,Re-triage to Authoring-ready (furious doctrine resolved)
Furious Illusion (Fission),furious-illusion-fission,furious,Fission,"Re-triage to Authoring; verify folk ""Fission"" (slug fission) not yet canonical"
Furious Mirage,furious-mirage,furious,,Re-triage to Authoring-ready (furious doctrine resolved)
Furious Mirage (Fury),furious-mirage-fury,furious,Fury,Alias-wire to fury (folk canonical active) + remove doctrine flag
Furious Symposium Eggbeater (Walrus),furious-symposium-eggbeater-walrus,furious,Walrus,"Re-triage to Authoring; verify folk ""Walrus"" (slug walrus) not yet canonical"
Furious Symposium Mirage (Rage),furious-symposium-mirage-rage,furious,Rage,Alias-wire to rage (folk canonical active) + remove doctrine flag
Furious Whirl (Genesis),furious-whirl-genesis,furious,Genesis,Alias-wire to genesis (folk canonical active) + remove doctrine flag
Illusioning Flail,illusioning-flail,illusioning,,Re-triage to Authoring-ready (illusioning doctrine resolved)
Illusioning Flail (Toe Massacre),illusioning-flail-toe-massacre,illusioning,Toe Massacre,"Re-triage to Authoring; verify folk ""Toe Massacre"" (slug toe-massacre) not yet canonical"
Illusioning Legover,illusioning-legover,illusioning,,Re-triage to Authoring-ready (illusioning doctrine resolved)
Illusioning Legover (Eggbeater),illusioning-legover-eggbeater,illusioning,Eggbeater,Alias-wire to eggbeater (folk canonical active) + remove doctrine flag
Illusioning Osis (Flux),illusioning-osis-flux,illusioning,Flux,Alias-wire to flux (folk canonical active) + remove doctrine flag
Illusioning Symp. Eggbeater,illusioning-symp-eggbeater,illusioning,,Re-triage to Authoring-ready (illusioning doctrine resolved)
Illusioning Symp. Illusioning Legover,illusioning-symp-illusioning-legover,illusioning,,Re-triage to Authoring-ready (illusioning doctrine resolved)
Illusioning Symposium Mirage (Slaughter),illusioning-symposium-mirage-slaughter,illusioning,Slaughter,"Re-triage to Authoring; verify folk ""Slaughter"" (slug slaughter) not yet canonical"
Illusioning far Osis,illusioning-far-osis,illusioning,,Re-triage to Authoring-ready (illusioning doctrine resolved)
Illusioning far Symp. Butterfly,illusioning-far-symp-butterfly,illusioning,,Re-triage to Authoring-ready (illusioning doctrine resolved)
Nuclear,nuclear,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear Butterfly,nuclear-butterfly,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear Butterfly (Matador),nuclear-butterfly-matador,nuclear,Matador,Alias-wire to matador (folk canonical active) + remove doctrine flag
Nuclear DLO (Terminator),nuclear-dlo-terminator,nuclear,Terminator,"Re-triage to Authoring; verify folk ""Terminator"" (slug terminator) not yet canonical"
Nuclear Double Legover,nuclear-double-legover,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear Drifter,nuclear-drifter,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear Drifter (69),nuclear-drifter-69,nuclear,69,"Re-triage to Authoring; verify folk ""69"" (slug 69) not yet canonical"
Nuclear Ducking Mirage,nuclear-ducking-mirage,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear Ducking Mirage (Sumo Thong),nuclear-ducking-mirage-sumo-thong,nuclear,Sumo Thong,"Re-triage to Authoring; verify folk ""Sumo Thong"" (slug sumo-thong) not yet canonical"
Nuclear Osis,nuclear-osis,nuclear,,Re-triage to Authoring-ready (nuclear doctrine resolved)
Nuclear Osis (Nucleosis) (Aeon Flux) (Paradox Flux),nuclear-osis-nucleosis-aeon-flux-paradox-flux,nuclear,Nucleosis,"Re-triage to Authoring; verify folk ""Nucleosis"" (slug nucleosis) not yet canonical"
