"pattern_id","pattern_template","example_alias","example_technical_name","operator_family","pattern_role","notes"
"P1","<mod> <base>","Dimwalk","Pixie Butterfly","set-modifier + base","compositional + additive","Most common pattern. Modifier directly prefixes base; positional slot omitted."
"P2","<mod> <positional> <base>","Ripwalk","Stepping Far Butterfly","body-modifier + positional + base","compositional + positional","Positional operator (far/near/ss/op/os) infix between modifier and base."
"P3","<set> ss","(Set alts in Sets tab)","Spinning ss = Gyro alt; Quantum ss = Slapping alt; Atomic ss = Tapping alt","set + positional → alias","descriptive/positional","Per Sets tab: <set> ss is an alternate name for a different (often simpler) set name."
"P4","Nuclear ss <base>","Barfry / Hurl / Godzilla","Nuclear ss Butterfly / Nuclear ss Whirl / Nuclear ss Dyno","nuclear + ss + base","federation_math_divergence","FM-ADD diverges from IFPA-additive by -1 per SS resolution. Pattern is the load-bearing federation evidence."
"P5","(<temporal>) <technical-name>","Dada Curve","(downtime) Miraging far Symp. Butterfly","temporal + technical-name","temporal + purely descriptive","Temporal qualifier parenthesized at start. Visible in screenshots; stripped from scraped inventory."
"P6","<surface> set <rest>","Barrage / Orpheus / Flipwalk","Clipper set Double Mirage / Toe set ss Triple Over Down / Dragon set Stepping op Firewalk","surface + set + rest","positional + compositional","Surface-as-set positional shorthand. Marks the trick's starting surface position."
"P7","<mod1> <mod2> [positional] <base>","Montage","Spinning Ducking far Symp. Whirl","modifier-stack + positional + base","compositional + additive","Multi-modifier stacking, left-to-right. Positional optional."
"P8","<recursive-set> = <mod1> <mod2>","Sailing","Sailing = Pixie Atomic","set-alias-name → composition","compositional (recursive)","Sets-tab entries expand to compositions of other operators. Recursion depth varies."
"P9","Symp. / Symple <X>","(many)","Symp. Whirl; Symple Butterfly","shorthand","purely descriptive (orthographic)","FM orthographic shorthand for Symposium. Same canonical referent."
"P10","<X> (same side) [display-name suffix]","(54-row cohort)","Butterfly (same side); Nuclear Mirage (same side)","display-name + same-side suffix","positional + purely descriptive","Distinct from technical-name ss infix. Display-only marker. Per SS ruling: no ADD weight."
"P11","Reverse <base>","Rev Whirl / Flux","Reverse Whirl / Reverse Torque","directional + base","directional + purely descriptive","Flips rotational direction. ADD weight not formally adjudicated; observed neutral."
"P12","Pogo / Hyper / Phasing / etc. (Sets def references temporal/pre-state)","Pogo / Hyper","Pogo = Uptime ATW; Hyper = Rooted Pixie","recursive-set + temporal/pre-state","compositional + (temporal | pre-state)","Sets-tab entry incorporates a temporal flag or pre-state flag in its definition."
"P13","Slicing [polysemous]","Slicing","Slicing = Gyro Rev. Swirling OR Slicing = Blurry Quasi","FM data inconsistency","compositional (polysemous)","Sets tab shows two distinct compositions. Either FM data conflict or genuine polysemy. Flag for FM curation."
"P14","<modifier1> <modifier2> with no positional","(many)","Spinning Torque (Marius); Pixie Quantum (Frantic)","modifier-stack no positional","compositional + additive","Modifier-stacking without an explicit positional slot. Implicit position semantics unresolved."
"P15","FM display name decomposes to different FM technical_name than curated extract","Barfry","authoritative inventory: 'Nuclear ss Butterfly'; curated extract: 'Nuclear far Butterfly'","curation discrepancy","data inconsistency","Curation review needed; one or the other is canonically FM-correct."
