slug,source_bucket,ADD,family_operator_group,flags,missing_parent_slug,recommended_wave,rationale,next_action
bs-blurriest,frontier,,(unclassified),,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
butterfly-down,frontier,,(unclassified),,,wave_1_no_dependency_no_verification,every token resolves to a settled operator; flag is stale,Author operational notation; tokens now settled
miraging-legover,frontier,3,(unclassified),positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-guay,frontier,2,(unclassified),positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
reverse-magellan,frontier,3,(unclassified),decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
surging-legover,frontier,4,(unclassified),decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
surging-osis,frontier,5,(unclassified),positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
terraging-clipper,frontier,,(unclassified),positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
toe-barrage,frontier,3,(unclassified),positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
toe-flurry,frontier,4,(unclassified),decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
toe-mobius,frontier,5,(unclassified),decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
toe-ripwalk,frontier,4,(unclassified),decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
atomic-gyro-torque,frontier,6,atomic,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
atomic-reverse-swirl,frontier,4,atomic,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
atomic-swirl,frontier,4,atomic,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
liquifier,unknown-notation,6,blender,notation_placeholder|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; only symbolic operational_notation pending,Write operational notation; movement JOB + ADD already present
blurry-barrage,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-barrage-blurrage,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-butterfly-ripwalk,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-clipper,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-da-da-curve,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-double-legover,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-drifter,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-dyno-grab-your-balls-and-squeeze,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-eggbeater,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-eggbeater-bed-wetter,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-flail-backside-blizzard,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-flurry,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-guay,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-illusion,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-illusion-blizzard,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-legover,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-mirage,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-mirage-blur,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-pickup,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
