source_section,example_name,normalized_name,source_formula,compact_notation,add_count,operator_tokens,movement_class,pixie_role,notes
"2 adds",Pixie,pixie,TOE > SAME IN [DEX] > OP TOE [DEL],,2,"toe;same;in;dex;op;toe;del",pixie-base-trick,base-trick-form,"CRITICAL: Confirms user's doctrinal clarification — pixie is BOTH a set modifier AND a 2-ADD trick. Source structure ATW-like but with UPTIME dex (SAME IN [DEX] happens immediately after toe set, while bag rises). Terminal: OP TOE (opposite-leg). Distinct from ATW's MIDTIME ss-toe-terminal structure"
"3 adds","Terrage (Double Pixie)",terrage,TOE > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL].,double pixie,3,"toe;same;in;dex;op;toe;del",pixie-doubled-as-base,double-pixie-form,"Two pixie-segments stacked. Source ADD=3 = pixie(2) + pixie(+1). Modern DB has terrage at 4 ADD AND terraging at 3 ADD — doctrinal divergence (see TD-1 in discrepancy queue)"
"3 adds","Smudge (Pixie Illusion)",smudge,TOE > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],pixie illusion,3,"toe;same;in;dex;op;out;toe;del",pixie-illusion-modifier-form,modifier-applied-to-illusion,"Source: 'the reverse dexterity version of Smear (pixie mirage)'. Modern chain reading 'pixie illusion' Red pt7-locked"
"3 adds","Smear (Pixie Mirage)",smear,TOE > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],pixie mirage,3,"toe;same;in;dex;op;toe;del",pixie-mirage-modifier-form,modifier-applied-to-mirage,"Source: 'Pixie the footbag straight to a mirage'. Modern chain reading 'pixie mirage' confirmed; notation PIXIE MIRAGE in DB"
"3 adds",Pixie Opposite Clipper,pixie-opposite-clipper,TOE > SAME IN [DEX] > OP CLIP [XBD] [DEL],,3,"toe;same;in;dex;op;clip;xbd;del",pixie-with-clip-terminal,clipper-terminal-variant,"Source: pixie ending on opposite-leg clipper instead of toe. NOT in modern DB"
"3 adds",Pixie Same Clipper,pixie-same-clipper,TOE > SAME IN [DEX] > SAME CLIP [XBD] [DEL],,3,"toe;same;in;dex;same;clip;xbd;del",pixie-with-same-clip-terminal,same-leg-clipper-terminal-variant,"Source: pixie ending on same-leg clipper. NOT in modern DB. Together with Pixie Opposite Clipper forms a 2-clipper-terminal variant set"
"3 adds","Magellan (Pixie Same Legover)",magellan,TOE > SAME IN [DEX] (plant) > SAME OUT [DEX] > SAME TOE [DEL],pixie legover,3,"toe;same;in;dex;plant;same;out;toe;del",pixie-legover-modifier-form,modifier-applied-to-legover-same-side,"Modern chain reading 'pixie legover' (Red pt2026-05-15 ratified near/same-side=+0). Notable: explicit (plant) marker after first dex"
"3 adds",Pixie Same Side Illusion,pixie-same-side-illusion,TOE > SAME IN [DEX] (plant) > SAME OUT [DEX] > OP TOE [DEL],,3,"toe;same;in;dex;plant;same;out;op;toe;del",pixie-illusion-same-side-variant,same-side-variant-of-smudge,"Source: 'come back around the bag from out to in ending on a left toe delay'. NOT in modern DB. Note: this would compose differently from Smudge (Pixie Illusion) because of the (plant) marker + SAME OUT vs OP OUT"
"3 adds",Pixie Leg Over,pixie-leg-over,TOE > SAME IN [DEX] > OP IN/OUT [DEX] > SAME TOE [DEL],,3,"toe;same;in;dex;op;in-out-alternation;same;toe;del",pixie-legover-modifier-form,opposite-leg-variant-of-magellan,"NOTABLE: uses 'OP IN/OUT [DEX]' alternation marker (in/out alternation seen in blurryMoves audit). NOT in modern DB"
"3 adds",Symposium Pixie,symposium-pixie,TOE (plant) > (no plant while) SAME IN [BOD] [DEX] > OP TOE [DEL],,3,"toe;plant;no-plant;same;in;bod;dex;op;toe;del",pixie-with-symposium-element,symposium-applied-to-pixie,"Source: pixie with no-plant symposium element. NOT in modern DB. ADD math: symposium(+1) + pixie(2) = 3"
"4 adds","Smog (Pixie Double Legover)",smog,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],pixie double legover,4,"toe;same;in;dex;op;in;out;same;toe;del",pixie-double-legover-form,modifier-applied-to-double-legover,"Modern chain reading 'pixie double legover' Red pt7-locked"
"4 adds",Pixie Eclipse,pixie-eclipse,TOE > SAME IN [DEX] (JUMP) [BOD] > SAME INSIDE [DEL] > OP OUT [DEX] > (LAND),,4,"toe;same;in;dex;jump;bod;inside;del;op;out;land",pixie-eclipse-with-jump-land,jump-land-timing-variant,"UNIQUE OPERATIONAL FORM — uses (JUMP) and (LAND) timing markers; uses 'SAME INSIDE [DEL]' intermediate (not terminal) stall. FIRST source-corpus example of jump-land notation. NOT in modern DB"
"4 adds","Dimwalk (Pixie Opposite Side Butterfly)",dimwalk,TOE > SAME IN [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL].,pixie opposite side butterfly,4,"toe;same;in;dex;plant;op;out;clip;xbd;del",pixie-butterfly-opposite-side,modifier-applied-to-butterfly,"Modern chain reading 'pixie butterfly' curatorConfirmPending. Source qualifier 'Opposite Side' distinguishes from Parkwalk"
"4 adds","Parkwalk (Pixie Same Side Butterfly)",parkwalk,TOE > SAME IN [DEX] (plant) > SAME OUT [DEX] > OP CLIP [XBD] [DEL],pixie same side butterfly,4,"toe;same;in;dex;plant;same;out;op;clip;xbd;del",pixie-butterfly-same-side,modifier-applied-to-butterfly-same-side,"Same chain reading as Dimwalk ('pixie butterfly') — modern doctrine ambiguity: parkwalk and dimwalk read identically per chain registry but are distinct rows in DB. CURATOR REVIEW PENDING"
"4 adds",Pixie Swirl,pixie-swirl,TOE > SAME IN [DEX] > SAME/OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],,4,"toe;same;in;dex;same-op-alternation;back;swirl;same;clip;xbd;del",pixie-with-back-swirl-element,swirl-applied-to-pixie,"Uses 'SAME/OP BACK SWIRL' alternation marker. NOT in modern DB. 5th cross-audit occurrence of OP BACK SWIRL-style token"
"4 adds","Backside Symposium Smear (Pixie Symposium Mirage)",backside-symposium-smear,TOE > SAME IN [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],pixie symposium mirage,4,"toe;same;in;dex;no-plant;op;bod;toe;del",pixie-symposium-mirage,double-modifier-stack,"Folk name 'Backside Symposium Smear'. NOT in modern DB. Math: pixie(+1) + symposium(+1) + mirage(2) = 4"
