"slug","short_description","execution_summary","learning_notes","prerequisite_notes"
"haze","Stepping's foot-relocation on the double-leg-over base -- the supporting foot taps to a new position between the bag's two leg-crossings.","Open with a toe set; the body initiates the double-legover sequence as the second leg lifts and passes over the supporting leg. Between the two leg-crossings, the supporting foot steps to a new position; the body continues through the second crossing with the planted leg relocated. Recovery lands on a same-toe delay after both crossings.","The step must arrive between the leg-crossings, not before the first or after the second. Stepping too early disrupts the first leg-pass; stepping too late lands after the dex window. The step is a beat mid-sequence, sandwiched between the crossings.","Double-legover (3 ADD; not yet pilot) is the parent compound. Stepping-whirl (4 ADD; SCALE-2 pilot) gives the foot-relocation feel on a rotational base; haze is the leg-pass-base appearance. Smog (4 ADD, pixie + DLO; SCALE-7 pilot) is the sibling pixie-on-DLO compound."
"sidewalk","Stepping butterfly with same-side body direction -- butterfly's two-kick wing pattern with the supporting foot relocating mid-flight.","From the toe set, the first kick reaches same-side outside in butterfly's wing motion. Between the two kicks, the supporting foot steps to a new position with the body holding same-side direction. The second kick reaches opposite-side outside, completing the wing on the relocated stance; recovery lands in an opposite clipper cross-body delay.","Sidewalk's same-side framing tightens the wing geometry -- the body stays on the same direction across both kicks rather than naturally drifting opposite-side. The stepping mid-wing keeps the support under the wing's apex; the kick must connect before the body releases same-side commitment.","Butterfly (3 ADD; SCALE-6 pilot) is the wing foundation. Stepping-whirl (4 ADD; SCALE-2 pilot) anchors the stepping mechanic on a rotational base; ripwalk (4 ADD, stepping + butterfly; SCALE-5 pilot) is the natural-direction sibling -- sidewalk is the same-side variant."
"stepping-osis","Mid-rotation foot-step through osis's two-stall sequence -- the supporting foot relocates as the body transitions from inside-stall to outside-stall.","Osis's stall sequence initiates from the toe set -- inside-stall first; as the body rotates toward the outside-stall, the supporting foot taps or steps to a new position. The body completes the rotation with the planted leg relocated; the outside-stall accepts the bag at the new position. Recovery holds the stall as the rotation resolves.","The step must arrive at osis's stall transition (the quarter-rotation between inside and outside). Stepping too early kills the rotation's anchor; stepping too late lands after the outside-stall. The step is the transition itself, not a separate beat.","Osis (3 ADD; SCALE-6 pilot) is the two-stall rotational frame. Stepping-whirl + ripwalk + tombstone (SCALE-2 / SCALE-5 / SCALE-5b pilots) extend the stepping bridge to other family bases. Stepping-osis brings the stepping bridge to the rotational-stall family -- the 4th base for stepping after whirl/butterfly/drifter."
"witchdoctor","Atomic and symposium compose on the mirage base -- a 4-ADD compound where both set modifiers commit through the mirage rotation.","The body sets the atomic angle from the toe set; the first kick drives outside in mirage's standard pattern. The symposium body line holds through the rotation; the second kick comes inside, completing the in-to-out mirage motion. Both modifier commitments persist through recovery onto the opposite-toe delay.","Witchdoctor is a 2-modifier compound where atomic and symposium share the body's posture commitment. Both modifiers operate on the same body across the same rotation -- the body must hold the atomic angle AND the symposium line simultaneously. The miss is choosing one and dropping the other; both modifiers must commit through both kicks.","Mirage (2 ADD; SCALE-6 pilot) is the rotational base. Atom-smasher (4 ADD, atomic + mirage; SCALE-5b pilot) demonstrates atomic on mirage alone; symposium-mirage (3 ADD, symposium + mirage; SCALE-5b pilot) demonstrates symposium on the same base. Witchdoctor combines both modifiers on mirage at the same 4-ADD tier as atom-smasher."
"grave-digger","Stepping inside torque's rotational frame -- the supporting foot relocates as the body executes the miraging-osis sequence.","Torque's rotation begins through the kick sequence (the miraging-osis frame: outside-stall to inside-stall through the rotational dex). Mid-rotation, the supporting foot taps to a new position; the body continues through the rotational frame with the planted leg relocated. Same-side direction holds across the relocation; recovery lands on the outside-stall as the rotation resolves.","Grave-digger's stepping interrupts torque's rotation at the stall transition (analogous to stepping-osis's transition timing). The same-side direction must hold across the foot-relocation -- the body commits one side through the rotation. Stepping in the wrong rotation half lands the step at the wrong moment in torque's two-stall transition.","Torque (4 ADD; SCALE-6 pilot) is the rotational base. Spinning-torque + paradox-torque (5 ADD; SCALE-5 / SCALE-5b pilots) cover other body modifiers on torque; grave-digger adds stepping. Stepping-osis (4 ADD; this batch) gives stepping on the osis foundation that torque is built on."
"bigwalk","Surging on butterfly -- folk shorthand for spinning + stepping, layered onto the butterfly wing pattern at 5 ADD.","The body initiates a spinning axis from the toe set as the first kick reaches same-side outside in butterfly's wing motion. Between the two kicks, the supporting foot steps to a new position with the body-spin still resolving. The second kick reaches opposite-side outside; recovery lands in an opposite clipper cross-body delay with both modifiers resolved.","Surging is FM-folk shorthand: spinning + stepping = surging set. Bigwalk's prose treats them as two distinct modifiers per the IFPA additive decomposition. Rushing the body-spin to fit within the stepping window steals the spin's resolution; the spin must complete through both kicks, not just the first.","Butterfly (3 ADD; SCALE-6 pilot) is the wing foundation. Spinning-butterfly (4 ADD; SCALE-5 pilot) and ripwalk (4 ADD, stepping + butterfly; SCALE-5 pilot) cover each modifier separately. Bigwalk combines both on the same base at 5 ADD; surging compounds appear across families (surge / venom / surgery; this batch)."
"fog","Paradox direction with mid-sequence stepping on the double-legover base -- folk-named blurry-DLO; canonically a 3-component decomposition reaching 5 ADD.","The body initiates the double-legover sequence with paradox direction commitment from the toe set -- same-side body-weight reset across both leg-crossings. Between the crossings, the supporting foot steps to a new position; the paradox commitment holds through the relocation. Recovery lands on a same-toe delay after the second crossing.","Fog is in the expanded-decomposition class: the folk name 'blurry-DLO' suggests blurry on DLO (would be 4 ADD via flat blurry+1), but the canonical reading decomposes the folk 'blurry' as paradox + stepping (reaching 5 ADD). Both names refer to the same trick; the dictionary preserves 'blurry-DLO' as an alias for traceability.","Double-legover (3 ADD; not yet pilot) is the parent compound. Paradox + stepping appear together as 'surging' in other compounds (bigwalk + venom + surge + surgery; this batch). Smog (4 ADD, pixie + DLO; SCALE-7 pilot) is the same-base sibling."
"surge","Three modifiers ride mirage -- paradox direction commitment plus surging (= spinning + stepping) on the rotational base. Flagship-density compound at 5 ADD.","Three rotations layer onto mirage -- the body initiates the spinning axis with paradox direction commitment as the first kick drives outside in mirage's rotational pattern. Mid-sequence the supporting foot steps to a new position; the spinning axis continues through the relocation. The second kick comes inside, completing the in-to-out mirage motion with all three modifiers resolved at recovery.","Surge is a flagship-density compound -- three modifiers (paradox + spinning + stepping) commit through the mirage rotation. Surging is FM-folk shorthand for spinning + stepping; surge layers paradox on top. The integration challenge: paradox direction, body-spin axis, and stepping foot-relocation all operate on the same body across the same rotation. Each constituent must be solo before attempting surge.","Mirage (2 ADD; SCALE-6 pilot) is the rotational base. Paradox-mirage + atom-smasher + symposium-mirage + smear + tap + witchdoctor + fury (this batch / prior SCALEs) cover mirage compounds at lower density. Bigwalk + fog + venom + surgery (this batch) are spinning + stepping + base combinations on other families. Surge's 3-modifier-on-mirage density makes it analogous to Mullet (3-mod whirl)."
"venom","Surging on the barfly base -- spinning + stepping (= surging) bring barfly's double-infinity from 4 ADD to 6 ADD.","Open with a clipper set; the body initiates the barfly double-infinity sequence with a spinning axis from the start. Mid-sequence the supporting foot steps to a new position; the spinning axis continues through the relocation as the body completes the double-infinity pattern. Recovery lands in an opposite clipper cross-body delay with both modifiers resolved.","Venom is the dictionary's first barfly-family pilot. Surging (spinning + stepping) layers two body modifiers onto barfly's complex double-infinity base. The miss: rushing either modifier to fit barfly's busy footwork -- both modifiers must integrate with the double-infinity's natural beat structure, not compete with it.","Barfly (4 ADD; not yet pilot -- federation-blocked) is the base trick (double infinity). Bigwalk (5 ADD, spinning + stepping + butterfly; this batch) and surge (5 ADD; this batch) cover spinning + stepping on other bases. Venom is the barfly-family entry for the spinning + stepping (surging) combination."
"surgery","Three modifiers ride rev-whirl -- surging (spinning + stepping) plus symposium on the reverse-direction whirl base. Flagship-density at 6 ADD.","Reverse-direction whirl initiates from the toe set; the body adds a spinning axis as the rotation begins. The symposium body line holds across the rotation while the supporting foot steps to a new position mid-rotation. The kick lands as all three modifiers resolve; recovery lands on the opposite-side delay with the body unwound.","Surgery is the dictionary's first rev-whirl-family pilot. Three modifiers compose on the reverse-direction rotational base -- surging (spinning + stepping) plus symposium body line. The integration is dense: reverse-direction rotation + body-spin axis + stepping foot-relocation + symposium posture. Collapsing any one modifier reads the trick as a clean rev-whirl rather than the 6-ADD compound.","Rev-whirl (3 ADD; not yet pilot) is the reverse-direction whirl base. Spinning + stepping (surging) compounds appear in bigwalk + fog + surge + venom (this batch). Symposium compounds appear in symposium-mirage / symposium-whirl / paradox-symposium-whirl / spinning-symposium-whirl / mullet / montage (prior SCALEs). Surgery composes all three modifier classes on rev-whirl at flagship density."
