set_name,normalized_name,ifpa_modifier_exists,ifpa_modifier_type,ifpa_modifier_add_bonus,ifpa_trick_row_exists,ifpa_trick_adds,ifpa_trick_category,source_implied_add,agreement_status,discrepancy_type,curator_action,notes
Pixie,pixie,yes,set,1,yes,2,set,(2 trick / 1 modifier),exact_agreement-dual-identity,none,none,"User 2026-05-19 doctrine confirmed by source. Dual identity aligned"
Fairy,fairy,yes,set,1,yes,2,set,(2 trick / 1 modifier),exact_agreement-dual-identity,none,none,"Modern DB has fairy at 2 ADD canonical row AND +1 modifier — same dual pattern as pixie"
Nuclear,nuclear,yes,set,2,no,—,—,(+2 modifier; not a trick form),partial_agreement-no-trick-row,no-trick-form,"curator decision: should nuclear have a 2-ADD trick form? Source notation 'CLIP > SAME OUT >' is incomplete (no [DEX] flag) — possibly intentional",Notable
Miraging,miraging,yes,body,1,no (but modifier-as-trick row at adds=blank exists),blank,modifier,(+1 modifier),partial_agreement,modifier-no-trick-form,document,"Modifier-only; no canonical trick form"
Stepping,stepping,yes,body,1,no (but modifier-as-trick row exists),blank,modifier,(+1 modifier),partial_agreement,modifier-no-trick-form,document,"Same pattern as miraging"
Quantum,quantum,yes,set,1,yes,2,set,(2 trick / 1 modifier),exact_agreement-dual-identity,none,none,"Same dual pattern as pixie. CONFIRMS dual identity for quantum too"
Slapping,slapping,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-modifier-and-trick,"curator decision: canonicalize slapping?","NOT in modern doctrine. Source: 'Slapping = TOE > OP IN [DEX] > (same side component)' — same form as Quantum but with same-side continuation"
Bubba,bubba,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-modifier-and-trick,"curator decision","NOT in modern doctrine. Source: 'Bubba = CLIP > OP OUT [DEX] >'"
Atomic,atomic,yes,set,1/2 rotational,yes,2,set,(2 trick / 1-2 modifier),exact_agreement-dual-identity,none,none,"Same dual pattern as pixie/fairy/quantum. CONFIRMS dual identity for atomic"
Tapping,tapping,yes,body,1,no (modifier-as-trick row exists),blank,modifier,(+1 modifier),partial_agreement,modifier-no-trick-form,document,"Modern: tapping=+1/+1 body modifier (registered)"
Terraging,terraging,yes,body,3,yes,3,modifier,(+2 source-implied = 2x pixie; vs +3 modern),ADD_disagreement-from-pixie-doctrine-divergence,terrage-tangle,"surface as Red Wave 2","CRITICAL: Source 'Double Pixie' = 2*+1=+2 expected; modern doctrine = +3. Plus separate terrage row at 4 ADD per pixieMoves audit PXW2-2"
Barraging,barraging,yes,body,1,no (modifier-as-trick row exists),blank,modifier,(+1 modifier),partial_agreement,modifier-no-trick-form,document,"Modern: barraging=+1/+1 body modifier (registered)"
Sailing,sailing,no,—,—,yes,2,set,(2 ADD compound),partial_agreement-trick-only,trick-not-modifier,document,"Modern DB: sailing at 2 ADD canonical row but NOT in modifier table. Source labels it as a SET (prefix form). Sailing's dual-identity status is partial — exists as trick but not registered as modifier"
Blurry,blurry,yes,set,1,no,—,—,(+1 modifier),partial_agreement,modifier-only,document,"Modern: blurry=+1/+1 set modifier (registered). Cross-references Red pt11 'Blurry = Stepping Paradox'"
Frantic,frantic,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-modifier-and-trick,"curator decision","NOT in modern doctrine. Source: 'pixie-quantum'"
Flailing,flailing,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-modifier-and-trick,"curator decision","NOT in modern doctrine. Source: 'Symposium Reverse Miraging'"
Fairy Atomic,fairy-atomic,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-modifier-and-trick,"document as compound operator","Source: compound of fairy + atomic"
Shooting,shooting,yes,set,3,no,—,—,(+3 modifier),partial_agreement,modifier-only,document,"Modern: shooting=+3/+3 set modifier (highest single-modifier ADD bonus). Source: 'Stepping Paradox Illusion' compact reading"
Furious,furious,yes,set,1/2 rotational,yes,2,set,(2 trick / 1-2 modifier),exact_agreement-partial-dual-identity,modifier-and-trick,document,"Modern: furious at +1/+2 rotational set modifier AND canonical at 2 ADD"
Infracting,infracting,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing-modifier-and-trick,"curator decision","NOT in modern doctrine. Source provides NO operational form ('opposite of Refraction')"
Fairy Spinning,fairy-spinning,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","Compound: fairy + spinning"
Pixie Inspinning,pixie-inspinning,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","Compound: pixie + inspinning"
Sonic,sonic,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Double spinning' from clip"
Peeking,peeking,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Double spinning' from set (any anchor)"
Leaning,leaning,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Stepping inspinning' compound"
Go-Go,go-go,no,—,—,no,—,—,(unclear),missing-from-modern-doctrine,missing,"curator decision","'Stepping backspinning' compound"
Surging,surging,no,—,—,yes,2,compound,(2 ADD compound trick),partial_agreement-trick-only,not-modifier,"DOCTRINAL DIVERGENCE: source says spinning+miraging; Red pt2 says spinning+stepping","Modern: surging=2 ADD compound trick. NOT in modifier table (per Surging Modeling Rule unpack to spinning+stepping). Source defines surging = spinning + miraging — DIFFERENT decomposition"
