operator_or_primitive,gyromoves_token_form,gyromoves_usage_count,doctrinal_class,modern_class,modern_db_slug,modern_add_bonus,doctrinal_alignment,key_finding
"gyro (compact-reading prefix)","'Gyro X' as compound name",6 of 9 (Gyro Butterfly Vortex (Gyro Drifter) Spyro Gyro (Gyro Butterfly Swirl) Flurricane (Gyro Flurry) Mobius (Gyro Torque) Big Apple (Gyro Symposium Torque)),compound-name-prefix,operator-modifier,gyro,1,partially-aligned,"Gyro is treated as a compound-name prefix in source; operationally encoded as (back) SPIN [BOD] — identical token used for both ''Spinning'' AND ''Gyro'' compounds across the paradoxMoves + gyroMoves corpora"
"spinning (paradoxMoves precedent)","'Spinning X' as compound name",NOT in gyroMoves (precedent from paradoxMoves),compound-name-prefix,operator-modifier,spinning,1,partially-aligned,"paradoxMoves uses 'Spinning X' compounds; gyroMoves uses 'Gyro X' compounds. Both prefixes share the (back) SPIN [BOD] operational token. THIS IS THE LONG-STANDING WAVE 2 QUESTION: how do spinning and gyro differ if operational notation is identical?"
"inspinning (gyroMoves precedent)","'Inspinning Same Side X' as compound name",3 of 9 (Inspinning Same Side Illusion Inspinning Same Side Mirage Inspinning Same Side Butterfly),compound-name-prefix,operator-modifier,(NOT in modifier table),(implicit +1),unsettled-doctrine,"Inspinning = front-spin per source operational notation: (front) SPIN [BOD]. Three source compounds confirm. Modern doctrine does NOT have 'inspinning' registered as a modifier — gap"
"(back) SPIN [BOD]","(back) SPIN [BOD] or (BACK) SPIN [BOD]",9 of 9 moves contain at least one back-spin segment; 2 moves (Mobius Big Apple) contain TWO,structural-rotation-element,rotation-element,(implicit via spinning + gyro),1 (each occurrence),aligned-by-token,"Back-spin is the universal rotation operator in gyroMoves source. Casing inconsistency (lowercase + uppercase) within source"
"(front) SPIN [BOD]",(front) SPIN [BOD],3 of 9 (Inspinning compounds),structural-rotation-element,rotation-element,(NOT explicitly in modifier table — implicit via 'inspinning'),(implicit +1),partially-aligned,"Front-spin is the inspinning operator. Modern doctrine gap: inspinning is not in modifier table"
"(no plant while) — symposium element",(no plant while) [BOD],1 of 9 (Big Apple),no-plant-symposium-element,operator-modifier,symposium,1,aligned,"Single symposium element in Big Apple. Cross-references paradox-tutorial.txt + paradoxMoves + Job + FM symposium doctrine"
"same-side (compact-reading naming)","'Same Side' prefix in compound names",3 of 9 (Inspinning Same Side Illusion Inspinning Same Side Mirage Inspinning Same Side Butterfly),structural-leg-anchor-qualifier,structural-marker,(none),0,aligned,"'Same Side' in name refers to the TOE-start operational variant where dex is on SAME leg as the spin (vs CLIP-start variant where dex is OP leg). Pedagogical naming distinction; modern dictionary typically does not preserve"
"OP BACK SWIRL [DEX]",OP BACK SWIRL [DEX],1 of 9 (Spyro Gyro),compound-swirl-token,structural-marker,(swirl atom; swirling modifier),(implicit),unsettled-grammar,"Source uses 'OP BACK SWIRL [DEX]' as single compound token (same as 3 paradoxMoves examples). Cross-references PD-10 grammar question"
"in/out dex direction",IN / OUT,8 of 9,direction-token,structural-marker,(none),0,aligned,"Universal direction-marker convention"
"same/op leg-anchor relator",SAME / OP,9 of 9,leg-anchor-relator,structural-marker,(none),0,aligned,"Universal leg-anchor convention"
"[DEX] flag",[DEX],14+ in 9 moves,structural-flag,structural-flag,(none),0,aligned,"Universal dex-action marker"
"[BOD] flag",[BOD],11+ in 9 moves,structural-flag,structural-flag,(none),0,aligned,"Universal body-action marker"
"[XBD] cross-body flag",[XBD],6 of 9 (most clipper-terminal compounds),terminal-flag,structural-flag,(none),0,aligned,"Universal cross-body terminal marker"
"[DEL] terminal flag",[DEL],9 of 9,terminal-flag,terminal-marker,(none),0,aligned,"Universal stall/delay terminal"
