id,subject,discrepancy_class,source_form,modern_doctrine,resolution_recommendation,risk,curator_action,notes
SD-1,Dual identity confirmed for 4 set primitives,doctrine-confirmation,Source defines pixie/fairy/quantum/atomic each as TOE + leg-quadrant-dex set prefix,"Modern DB has all 4 as both modifier (+1 set) AND canonical trick row (2 ADD category='set')",document strong 4-primitive dual identity pattern,Low (doctrinally settled),document,"User 2026-05-19 doctrinal clarification extends to 4 primitives: pixie/fairy/quantum/atomic. Direction-quadrant pattern (same-in same-out op-in op-out)"
SD-2,Terraging = Double Pixie source vs modern +3 modifier,ADD-doctrinal-divergence,Source: 'Terraging (Double Pixie) = TOE > SAME IN [DEX] > SAME IN [DEX] >' — implies +2 ADD (2 pixie's),Modern: terraging=+3 body modifier + 3-ADD trick row + 4-ADD terrage row (separate),"surface as Red Wave 2: cross-references multiplier doctrine MR-2d + pixieMoves PXW2-2","HIGH",red-question,"3-row terraging/terrage tangle with 4 possible ADD values (+2 source / +3 modifier / 3 trick / 4 terrage)"
SD-3,Surging decomposition divergence,doctrinal-divergence,Source: 'Surging (spinning miraging) = SET > (BACK/FRONT) SPIN [BOD] > OP IN [DEX] >' — surging = spinning + MIRAGING,Modern Red pt2: surging = spinning + STEPPING,"surface as Red Wave 2: which decomposition is canonical?",Medium,red-question,"Cross-references Surging Modeling Rule. Source and modern differ on what 'surging' unpacks to"
SD-4,Spinning vs Gyro structural distinction (RESOLUTION CANDIDATE),new-axis-finding,"Source: Spinning = SET > (BACK) SPIN [BOD] > (anchor-agnostic; no continuation marker)","Gyro = CLIP > (BACK) SPIN [BOD] > (same dex component) (clip-anchored + same-dex continuation)",resolution candidate for 5-audit Wave 2 question,"surface as Red Wave 2: source distinguishes spinning vs gyro by ANCHOR + CONTINUATION, not by direction or magnitude. NEW evidence for the long-standing axis question",HIGH,red-question,"5-audit cross-cutting question. Source provides NEW evidence: distinction is structural (anchor + continuation) not magnitude (full vs half) or direction (back vs front)"
SD-5,Pogo = Symposium Whirling source framing,doctrinal-divergence,Source: 'Pogo (Symposium Whirling) = CLIP > (no plant while) OP IN [DEX] >' — pogo IS symposium whirling structurally,"Modern: pogo=+0/+0 set modifier with no structural composition framing","surface as Red Wave 2: should pogo's structural identity be documented as 'symposium whirling' historically?",Medium,red-question,"Cross-references 4-audit no-plant ambiguity. Source provides clear structural framing for pogo as compound concept"
SD-6,Inspinning operator gap (5-audit confirmation),modifier-table-gap,"Source: 'Inspinning = SET > (FRONT) SPIN [BOD] >' — defined as component-of-sets",Modern: NOT in modifier table,"surface as Red Wave 2: 5th audit confirmation of inspinning gap. Add to modifier table as front-spin variant?","HIGH",red-question,"5-audit cross-cutting question (multiplier + Job + FM + paradoxMoves + footbag-sets). Doctrinally settled across sources; modern doctrine gap"
SD-7,(plant) marker persistence (7-audit cross-cutting),grammar-question,Source uses '(plant)' marker in Tapping definition,"Modern ATAM grammar §13: no (plant) marker",7-audit cross-cutting question; consolidate for Red Wave 2,Medium,review,"7th cross-audit confirmation of (plant) marker convention"
SD-8,Direction-reversed set variants (Scattered Shattered Broken),canonicalization-question,Source defines 'Reverse Whirling' variants (scattered=same-side shattered=op-side; broken=clipper-reverse-whirl),Modern: NOT in DB,"surface as Red Wave 2: should these 'Reverse X' variants be canonicalized? Cross-references rev(+0) doctrine but specifically for whirling family",Medium,red-question,"Cross-references the rev(+0) doctrine but expands to whirling-class direction variants"
SD-9,UNS (unusual surface) set primitives,canonicalization-question,Source defines 5 UNS sets (finchy pixie-pinching twisted snapping arctic) with NEW PINCH/DRAGON/FRIGIDOSIS tokens,Modern: NOT in DB,"surface as Red Wave 2: should UNS sets be canonicalized? PINCH DRAGON FRIGIDOSIS are unusual-surface anchor tokens",Low,red-question,"Out-of-scope for current ontology but historically named. Pedagogical interest"
SD-10,Source set-primitives NOT in modifier table,modifier-table-gap-bulk,Source has 50+ set definitions; modern modifier table has ~27 entries,"30+ source primitives NOT in modifier table","catalog the gap; curator decision on which to add",Low (mostly compounds),document,"Most missing sets are compounds (e.g. fairy-spinning peeking sonic leaning go-go twinspinning neutron blistering flailing frantic). Compound operators may legitimately not belong in modifier table"
SD-11,Sailing as set+trick (partial dual identity),doctrinal-pattern,"Source: 'Sailing (Pixie Illusion) = TOE > SAME IN [DEX] > OP OUT [DEX] >' — defined as a SET","Modern DB: sailing=2 ADD canonical row (category='set') but NOT in modifier table",surface as curator decision: should sailing also be added to modifier table?,Low,review,"Partial dual identity — trick row exists but modifier registration missing. Cross-references the 4-primitive dual identity pattern (pixie/fairy/quantum/atomic)"
SD-12,Modifiers-with-tricks-rows pattern,doctrinal-pattern,"Modern DB has 8 modifier-only operators with category='modifier' tricks rows: barraging blazing ducking gyro spinning stepping tapping terraging",no operational formulas in their tricks rows,"document the modifier-as-trick storage pattern; pedagogical layer convention",Low,document,"8 modifiers have BOTH modifier-table entry AND tricks-table row at category='modifier'. The dual storage serves operator-layer surfaces (glossary modifier feel cards)"
