token,layer,role,short_label,plain_english,weight,example_in_context,glossary_anchor_id
WHIRL,semantic,core_family,Whirl (base trick),"Whirl base family: a 3-ADD rotational trick used as the foundation for many compounds.",base=3,SPINNING SYMPOSIUM WHIRL,notation-base-whirl
MIRAGE,semantic,core_family,Mirage (base trick),"Mirage base family: a 2-ADD foundational rotational trick.",base=2,STEPPING PARADOX MIRAGE,notation-base-mirage
OSIS,semantic,core_family,Osis (base trick),"Osis base family: a 3-ADD compound that anchors torque + blender sub-families.",base=3,WHIRLING OSIS,notation-base-osis
TORQUE,semantic,core_family,Torque (base trick),"Torque base family: a 4-ADD compound; canonically miraging osis.",base=4,SPINNING TORQUE,notation-base-torque
BUTTERFLY,semantic,core_family,Butterfly (base trick),"Butterfly base family: a 3-ADD intersection of dexterity and compound technique.",base=3,STEPPING BUTTERFLY,notation-base-butterfly
EGGBEATER,semantic,core_family,Eggbeater (base trick),"Eggbeater (canonically atomic legover): a 3-ADD compound.",base=3,PIXIE EGGBEATER,notation-base-eggbeater
LEGOVER,semantic,core_family,Legover (base trick),"Legover base family: a 2-ADD body trick anchoring eggbeater + flurry.",base=2,BARRAGING LEGOVER,notation-base-legover
PICKUP,semantic,core_family,Pickup (base trick),"Pickup base family: a 2-ADD foundational trick (a core entry).",base=2,PIXIE PICKUP,notation-base-pickup
BLENDER,semantic,core_family,Blender (base trick),"Blender (canonically whirling osis): a 4-ADD compound.",base=4,SPINNING PARADOX BLENDER,notation-base-blender
DRIFTER,semantic,core_family,Drifter (base trick),"Drifter (canonically miraging clipper): a 3-ADD compound.",base=3,PARADOX DRIFTER,notation-base-drifter
BARFLY,semantic,core_family,Barfly (base trick),"Barfly: a 4-ADD named compound (infinity family).",base=4,BLURRY BARFLY,notation-base-barfly
SWIRL,semantic,core_family,Swirl (base trick),"Swirl base family: a 3-ADD rotational trick.",base=3,STEPPING PARADOX SWIRL,notation-base-swirl
WHIRL,operational,rotation_variant,Whirl (here: rotational dex step),"Within operational notation: a rotational dex-component step (NOT the base trick). Fuses with FRONT/BACK as a 2-token rotation variant.",,OP FRONT WHIRL [DEX] [PDX],operational-notation-rotation-variants
SWIRL,operational,rotation_variant,Swirl (here: rotational dex step),"Within operational notation: a rotational dex-component step (NOT the base trick). Fuses with FRONT/BACK.",,SAME BACK SWIRL [DEX],operational-notation-rotation-variants
PARADOX,semantic,modifier,Paradox (body modifier; +1),"Body modifier adding +1 ADD. Structurally an in-then-out dex pair.",+1,PARADOX MIRAGE = 3,notation-modifier-paradox
SYMPOSIUM,semantic,modifier,Symposium (body modifier; +1),"Body modifier adding +1 ADD. Structurally a forward-then-back paradox.",+1,SYMPOSIUM WHIRL = 4,notation-modifier-symposium
DUCKING,semantic,modifier,Ducking (body modifier; +1),"Body modifier adding +1 ADD. Duck body action interleaved between dexes.",+1,DUCKING WHIRL = 4,notation-modifier-ducking
STEPPING,semantic,modifier,Stepping (body modifier; +1),"Body modifier adding +1 ADD. A step action interleaved into the trick.",+1,STEPPING BUTTERFLY = 4,notation-modifier-stepping
TAPPING,semantic,modifier,Tapping (body modifier; +1),"Body modifier adding +1 ADD. Distinct from Stepping per Red pt3.",+1,TAPPING MIRAGE = 3,notation-modifier-tapping
DIVING,semantic,modifier,Diving (body modifier; +1),"Body modifier adding +1 ADD. Dive body action interleaved.",+1,DIVING WHIRL = 4,notation-modifier-diving
BLAZING,semantic,modifier,Blazing (body modifier; +1),"Body modifier adding +1 ADD.",+1,BLAZING LEGOVER = 3,notation-modifier-blazing
BARRAGING,semantic,modifier,Barraging (body modifier; +1),"Body modifier adding +1 ADD. The Flurry name decomposes as Barraging Legover.",+1,BARRAGING LEGOVER = 3,notation-modifier-barraging
WEAVING,semantic,modifier,Weaving (body modifier; +1),"Body modifier adding +1 ADD.",+1,WEAVING CLIPPER = 3,notation-modifier-weaving
MIRAGING,semantic,modifier,Miraging (body modifier; +1),"Body modifier adding +1 ADD. Underlies named tricks: drifter (miraging clipper), torque (miraging osis), DLO (miraging legover).",+1,MIRAGING OSIS = 4,notation-modifier-miraging
BACKSIDE,semantic,modifier,Backside (body modifier; +1),"Body modifier adding +1 ADD (Symposium-equivalent per Red pt9). NOT a direction term.",+1,BACKSIDE BLUR,notation-modifier-backside
TERRAGING,semantic,modifier,Terraging (body modifier; +3),"Body modifier adding +3 ADD per Red pt8.",+3,TERRAGING LEGOVER,notation-modifier-terraging
SPINNING,semantic,rotation,Spinning (rotation modifier; +1),"Rotation modifier adding +1 ADD (flat per pt10; was +2 on rotational base).",+1,SPINNING WHIRL = 4,notation-rotation-spinning
WHIRLING,semantic,rotation,Whirling (rotation modifier; +1),"Rotation modifier adding +1 ADD (flat per pt10). Underlies blender (whirling osis).",+1,WHIRLING OSIS = blender = 4,notation-rotation-whirling
SWIRLING,semantic,rotation,Swirling (rotation modifier; +1),"Rotation modifier adding +1 ADD (flat per pt10).",+1,SWIRLING WHIRL = 4,notation-rotation-swirling
INSPINNING,semantic,rotation,Inspinning (rotation modifier),"Rotation modifier distinct from Spinning per Red pt3.",+1,INSPINNING WHIRL,notation-rotation-inspinning
GYRO,semantic,rotation,Gyro (rotation modifier; +1),"Rotation modifier adding +1 ADD. Underlies mobius (gyro torque).",+1,GYRO TORQUE = mobius = 5,notation-rotation-gyro
BLURRY,semantic,set,Blurry (set modifier; +1),"Set modifier adding +1 ADD (flat per pt11; was +2 on rotational base).",+1,BLURRY MIRAGE = blur = 4,notation-set-blurry
ATOMIC,semantic,set,Atomic (set modifier; +1/+2 rot),"Set modifier adding +1 non-rotational / +2 on rotational base.",+1/+2,ATOMIC BUTTERFLY = legbeater = 4,notation-set-atomic
NUCLEAR,semantic,set,Nuclear (set modifier; +2),"Set modifier adding +2 ADD. Structurally Paradox + Atomic per Red pt10.",+2,NUCLEAR MIRAGE = sumo = 5,notation-set-nuclear
QUANTUM,semantic,set,Quantum (set modifier; +1),"Set modifier adding +1 ADD universally per Red pt10.",+1,QUANTUM MIRAGE = 3,notation-set-quantum
PIXIE,semantic,set,Pixie (set modifier; +1),"Set modifier adding +1 ADD universally.",+1,PIXIE MIRAGE = smear = 3,notation-set-pixie
FAIRY,semantic,set,Fairy (set modifier; +1),"Set modifier adding +1 ADD universally.",+1,FAIRY BUTTERFLY = 4,notation-set-fairy
