id,topic,target_glossary_section,opportunity,source_evidence,risk,priority
PG-1,Paradox as side-change operator,§3 (dex direction) or §6 (modifier feel cards),"Document paradox semantics: the setting leg circles the support leg AND the bag forming a 'tight S shape'. Source provides explicit kinematic description for Paradox Mirage","paradoxMoves Paradox Mirage description (line 26-29)",Low,High
PG-2,Same-leg vs opposite-leg paradox,§3 or §7,"Document the SAME-PDX (setting leg does paradox) vs OP-PDX (opposite leg does paradox) distinction. Source has both patterns (26 + 10 of 57 occurrences)",paradoxMoves operational notations across 36 moves,Low,Medium
PG-3,Symposium / (no plant while) doctrine,§3 (dex direction) or §6,"Document the 'no plant while' kinematic: jumping support leg + completing dex on non-supporting leg without landing","paradoxMoves Symposium Mirage description (line 41-43) + 12 source compounds using (no plant while)",Low,High
PG-4,Pogo vs Symposium distinction,§6 (modifier feel cards) or §7,"Document the curator-paced pogo (+0) vs symposium (+1) doctrinal question. paradoxMoves uses (no plant while) for BOTH","paradoxMoves 12 source compounds use (no plant while); source mixes Pogo + Symposium labels for same structural element",Medium,High (gated on Red Wave 2 answer)
PG-5,Folk name lineage table for paradox-family,§5 (family trees) or §7,"Document the 26 folk-named-with-structural-reading patterns from paradoxMoves: Blur=Stepping Paradox Mirage; Royale=Paradox Reverse Drifter; Fury=Barraging Paradox Mirage; Tomahawk=Ducking Paradox Whirl; Voodoo=Paradox Symposium Blur; PS Whirl=Paradox Symposium Whirl; Lotus=Spinning Paradox Drifter; Avalanche=Stepping Ducking Paradox Illusion; Spike Hammer=Stepping Ducking Paradox Mirage; Blurrage=Stepping Paradox Barrage; Fog=Stepping Paradox Double Leg Over; Blurry Drifter=Stepping Paradox Drifter; Bedwetter=Stepping Paradox Eggbeater; Blurry Whirl=Stepping Paradox Whirl; Surge=Surging Paradox Mirage; Symposium Tomahawk=Ducking Paradox Symposium Whirl; Paratoxic=Paradox Miraging Symposium Whirl; Whirlwind=Spinning Paradox Symposium Whirl; Marius=Spinning Paradox Torque; Blurry Symposium Whirl=Stepping Paradox Symposium Whirl; Blurry Torque=Stepping Paradox Torque; Blurry Whirling Swirl=Stepping Paradox Whirling Swirl; Surreal=Surging Paradox Whirl; Gauntlet=Stepping Ducking Paradox Torque",paradoxMoves source — 26 folk-name/structural-reading pairs,Low,High
PG-6,Blurry = Stepping Paradox equivalence,§3 or §6,"Document Red pt11 doctrine 'Blurry = Stepping Paradox' with paradoxMoves source as historical precedent (the equivalence is explicit in the source via Blurry-X/Stepping-X compact readings)",paradoxMoves 6+ Blurry/Stepping equivalences,Low,High
PG-7,Surging = Spinning + Stepping equivalence,§3 or §6,"Document the 'Surging Modeling Rule' with paradoxMoves source as precedent (Surge=Surging Paradox Mirage; Surreal=Surging Paradox Whirl)",paradoxMoves 2 source compounds,Low,Medium
PG-8,(plant) marker grammar,§7 (operational notation reference),"Document the source's use of explicit (plant) marker in 3 moves to indicate support-leg-plant timing. Cross-link to ATAM §13 question",paradoxMoves 3 source compounds,Medium,Medium (gated on curator grammar decision)
PG-9,OP BACK SWIRL token,§7,"Document the source's 'OP BACK SWIRL [DEX]' construct as historical-precedent for swirl handling. Cross-link to swirl atom decomposition discussion",paradoxMoves 3 source compounds,Medium,Low (gated on PD-10 resolution)
PG-10,Tomahawk doctrinal divergence,§6 or trick-detail page,"Document the paradoxMoves 'Ducking Paradox Whirl' reading for Tomahawk and the Red pt11 'Blurry Ducking Torque' modern reading as alternate framings. Educational opportunity: same trick two structural readings",paradoxMoves Tomahawk vs modern chain registry,Medium,Medium
PG-11,Paradox family compositional depth,§7 or §8,"Document the operator-stacking depth observed in paradoxMoves: up to 4 stacked operators (Gauntlet = Stepping + Ducking + Paradox + Torque). Useful pedagogy for showing modular composition",paradoxMoves 9 compounds with 3-4 operators,Low,Medium
PG-12,Source attribution + community contributors,(trick detail pages),"paradoxMoves source mentions Tuan Vu (Pogo Paradox Torque description) + Kenny Shults (Pogo Paradox Whirling Swirl description). Community-historical attribution",paradoxMoves source descriptions,Low,Low
PG-13,Paradox naming-without-PDX-flag inconsistency,§7,"Document the source's 11-move inconsistency where paradox-named compounds lack explicit [PDX] flag (structurally encoded). Useful pedagogy for explaining flag-vs-structure encoding choices",paradoxMoves 11 source compounds,Low,Medium
