"slug","in_db","adds","family","modifier_links","records","operator_bridge","risk","disposition","scale5_batch","rationale"
"smear","Y","3","mirage","1","1","pixie","LOW","enrich","1","completes pixie bridge to 6 rows — mirage base joins butterfly/drifter/pickup/legover"
"magellan","Y","3","legover","1","1","pixie","LOW","enrich","1","demonstrates 'near' positional in IFPA-adjacent prose; pixie+legover bridge"
"plasma","Y","4","?","1","0","quantum","MEDIUM","defer-Red-dependency","","completes quantum bridge to 3 rows"
"ducking-butterfly","Y","4","butterfly","1","1","ducking","LOW","enrich","1","ducking bridge: butterfly family entry; pairs with hatchet (diving body modifier on whirl)"
"ducking-osis","Y","4","osis","1","1","ducking","LOW","enrich","1","ducking bridge: osis family entry; teaches ducking on a rotational stall"
"ducking-clipper","Y","3","clipper-stall","1","1","ducking","LOW","enrich","1","ducking bridge: simplest entry; foundation for all higher ducking compounds"
"spinning-butterfly","Y","4","butterfly","1","1","spinning","LOW","enrich","1","spinning bridge: butterfly family entry; pairs with spinning-whirl on rotational base"
"spinning-torque","Y","5","torque","1","0","spinning","LOW","enrich","1","spinning bridge: torque family entry; rotational-base behavior"
"marius","N","5","torque","0","0","spinning + alias","LOW","defer-not-in-dict","","alias-rich entry; FM evidence"
"symposium-mirage","Y","3","mirage","1","1","symposium","LOW","enrich","1","symposium bridge: mirage family entry; teaches symposium on simpler rotational base than whirl"
"atomic-butterfly","Y","4","butterfly","1","0","atomic","LOW","enrich","1","atomic bridge: butterfly entry; pairs with scrambled-eggbeater (atomic+pickup pilot)"
"atom-smasher","Y","4","mirage","0","1","atomic","LOW","enrich","1","atomic bridge: mirage entry; demonstrates pt10 rotational bonus"
"atomic-illusion","N","3","illusion","0","0","atomic","MEDIUM-HIGH (conflict C2)","defer-not-in-dict","","atomic bridge: illusion entry — BUT pt12 question pending on FM=4 vs IFPA=3 delta (omelette)"
"ripwalk","Y","4","butterfly","1","1","stepping","LOW","enrich","1","stepping bridge: butterfly entry; pairs with stepping-whirl pilot from SCALE-2"
"paradox-torque","Y","5","torque","1","2","paradox","LOW","enrich","1","paradox bridge: torque entry; pairs with paradox-whirl + paradox-blender + paradox-mirage"
"paradox-drifter","Y","4","drifter","1","2","paradox","LOW","enrich","1","paradox bridge: drifter entry; cross-family with paradox-whirl"
"paradox-mirage","Y","3","mirage","1","0","paradox","LOW","enrich","1","paradox bridge: mirage entry; foundational paradox compound"
"blurry-whirl","Y","5","whirl","1","1","blurry","HIGH (pt12)","defer-Red-or-pt12","","ADD-math conflict prevents safe enrichment"
"food-processor","Y","6","blender","1","3","blurry recursive","HIGH (pt12 item 5b)","defer-Red-or-pt12","","would demonstrate blurry-recursive decomposition"
"drifter","Y","3","clipper-stall","0","3","miraging + clipper","LOW","enrich","1","drifter family root; completes drifter line with smoke (SCALE-4 pilot)"
"tombstone","Y","4","drifter","1","1","stepping cross-family","LOW","enrich","1","drifter family stepping entry"
