structural_variable,representation_status,notation_signal,corpus_fidelity,collapse_role,evidence,notes
launch_surface,partially represented,"launch token (TOE, CLIP, and the generic SET)",medium,one-to-many source (generic SET),"TOE and CLIP name a surface; the generic SET launch names none","a SET-launched movement leaves its entry surface unspecified, so one SET notation covers several entry surfaces"
landing_surface,explicitly represented,"terminal surface token plus [DEL]",high,none,"[DEL] present in 97.0% of the active corpus; every terminal names its surface","the endpoint is the best-represented single coordinate"
dex_side,partially represented,"SAME / OP prefix on each dex; SAME/OP for an either-side reading",medium,"one-to-many source (SAME/OP), and absolute value not recoverable","SAME/OP written on every dex, but the reference foot it is measured against is never named; 40 rows write an explicit SAME/OP ambiguity","the relative side is kept; the absolute (left/right) frame is dropped, so the side is recoverable only relative to an unrecorded frame"
dex_direction,explicitly represented,"IN / OUT, plus rotational SWIRL / WHIRL and BACK",high,none,"IN and OUT dominate; SWIRL 8.7%, WHIRL 4.8%, BACK 7.5% of the corpus","direction is richer than binary and is fully written"
body_operators,explicitly represented,"[BOD] plus a named body event (SPIN, DUCK, DIVE)",high,none,"[BOD] in 59.0% of the corpus; SPIN 30.5%, DUCK 18.9%, DIVE 4.2%","body events are explicitly written where present; WEAVE and ZULU tokens do not exist (0 rows), a known token gap"
paradox,explicitly represented,[PDX],medium,none,"[PDX] in 15.8% of the corpus","the paradox modifier is written where present; its scoring is a separate, unresolved question outside representation"
posture_stance,partially represented,"posture markers ((no plant while), (plant))",low-medium,many-to-one source (where omitted),"(no plant while) 19.4%, (plant) 1.6%; most rows carry no stance marker and default","stance is written for the marked minority; elsewhere it is a default, so distinct stances can collapse"
intermediate_carriage,represented indirectly,"none; inferable only from the dex tokens under a transition rule",none-direct,many-to-one source,"no token exists; the validation found carriage inferable in 100% of two-dex rows but explicit in 0%","the state the movement passes through is not written; two movements differing only in carriage share one notation"
reference_frame,intentionally omitted,"none",none,many-to-one source,"the reference foot is absent from 100% of rows (validation)","the absolute (left/right) frame is dropped as laterality (see compression); the frame-transport relation between dexes is also lost, which does affect composition"
support_leg,impossible to recover,"none",none,many-to-one source,"absent from 100% of rows","which leg supports is never named; dropped as laterality"
free_leg,impossible to recover,"none",none,many-to-one source,"absent from 100% of rows","which leg circles is never named; dropped as laterality"
orientation_facing,partially represented,"(back) / (front) markers",low-medium,many-to-one source (phase),"(back) 27.9%, (front) 3.5%; continuous rotational phase is not written","coarse facing is written; fine phase between events is not"
repeated_dexterity,explicitly represented,"two literal [DEX] events",high,one-to-many source (count reading),"107 of 395 two-dex rows are repeated dexes, all written as two literal events (85 sequential, 22 co-articulated)","at the operational layer a repeat is two events; a count-operator reading exists only at the naming layer, a controlled one-to-many"
simultaneity,explicitly represented,">> (overlap) versus > (sequence)",high,none,">> in 25.9% of the corpus","the sequence-versus-layer distinction is written; the scoring of the layered case is unresolved, but that is scoring, not representation"
scoring,represented indirectly,"the count of scored brackets ([DEX] [BOD] [XBD] [UNS] [PDX] [XDEX], with [KICK] non-scoring)",high,none,"ADD equals the scored-bracket count; stored separately as adds / computed_adds","scoring is not a token but is directly derivable from the bracket structure; it is the notation's organizing principle"
far_receiver,explicitly represented,[XDEX],low,none,"[XDEX] in 1.1% of the corpus","the far-receiver scoring condition has its own rare token"
bag_height_trajectory,outside the design goals,"none",none,many-to-one source,"no token exists in the notation","vertical phase and trajectory are physical detail the notation does not attempt to carry"
