pt,date,topic_type,subject,claim,disposition
pt8,2026-05-06,NEW_TRICK,smoke,"Smoke = Pixie Drifter, 4 ADDs. Math: pixie(+1) + drifter(3) = 4. Activated as compound with base_trick=drifter, modifier_links=pixie, alias 'pixie drifter'.",applied
pt8,2026-05-06,DEFER,scrambled-eggbeater,"Hold off — Red says it may overlap with another move (one move with two names). Red will look into. No row created.",deferred
pt8,2026-05-06,DEFER,cloud-stall,"Verdict still out per Red. Current dictionary keeps Cloud Stall=2 ADD active per FB.org confirmation 2026-05-04. No change pending Red's final word.",deferred
pt8,2026-05-06,MODIFIER_RULE,rooted,"Rooted is a unique set with one initial dexterity attached. No ADD value (non-scoring like pogo). Added to trick_modifiers (0,0,set) and to red_additions as a 0-ADD set primitive.",applied
pt8,2026-05-06,MODIFIER_RULE,terraging,"Terraging is 3 ADDs. NOT 'parallel barraging' per Red (corrects pt6 phrasing). red_additions row activated; trick_modifiers row added (3,3,body).",applied
pt8,2026-05-06,STRUCTURE,bullwhip,"Red says 'base trick is Gyro' but gyro is modeled as a modifier in the schema. Note appended; structural decomposition still deferred pending glossary alignment with Red.",partial
pt8,2026-05-06,STRUCTURE,nemesis,"Nemesis = Furious Barfly. Decomposed: base_trick=barfly, modifier_links=furious, description='Furious-modified barfly.', alias 'furious barfly'. Math: furious(+2 rot) + barfly(4) = 6 (barfly inferred rotational). Red asked clarification on 'base' — flagged.",applied
pt8,2026-05-06,DEFER,gauntlet,"Red asked clarification on what 'base' means. No new structure given. Existing decomposition (stepping|ducking|paradox + torque = 7) preserved.",deferred
pt8,2026-05-06,NEW_TRICK,plasma,"Plasma = Quantum Double Down, 5 ADDs. fb.org name 'Quantum Double Over Down' (showmove/249). 'double-down' not canonical so base_trick deferred. Activated as compound with modifier_links=quantum and aliases 'quantum double down|quantum double over down'. Red asked structural clarification.",applied
pt8,2026-05-06,NEW_TRICK,grave-digger,"Grave Digger = Stepping Same-Side Torque, 5 ADDs. Math: stepping(+1) + torque(4) = 5. Activated as compound with base_trick=torque, modifier_links=stepping, aliases 'stepping same-side torque|stepping torque'. fb.org name 'Stepping Torque' (showmove/280).",applied
pt8,2026-05-06,NEW_TRICK,jani-walker,"Jani Walker is 5 ADDs. Red did NOT endorse fb.org 'Barraging Butterfly' (showmove/151); structure unresolved — base_trick + modifier_links deferred. Activated on Red's ADD authority. Stale trick_aliases.csv mappings 'jani walker → furious butterfly' and 'jani-walker → furious butterfly' removed (were inferred without Red confirmation).",applied
