"term","primary_axis","high_value","existing_ifpa_definition","passback_definition","symbolic_definition","operational_usage","canonical_status","educational_value","symbolic_value","overlap_type","recommended_action","notes"
"ADD","concept","true","A scoring system assigning difficulty values to tricks based on their components. ---","ADDs        9","","","canonical_glossary","low","absent","complementary","SYNTHESIZE — both sources contribute; merge complementary aspects","aliases: ADDs, Additional Degree of Difficulty"
"beastly","concept","false","","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: ADD Groupings"
"BOP","concept","false","","Within the guiltless tier are BOPs, which stand for the tricks “Butterfly”, “Osis”, and “Pdx Mirage”, which are the most basic guiltless tricks and the foundation for traditional guiltless play. Genuine Guiltless or just Genuine is a combo or string of Guiltless tricks that do not use BOPs, which is generally much more difficult.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: ADD Groupings"
"BSOS","concept","false","","A trick that’s done on both sides within a single string is called BSOS, which stands for “both sides one string” and is sometimes jokingly written as “bee sauce.” BSOR is sometimes used in place of BSOS, meaning “both sides one run.”","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Combining multiple tricks; aliases: bee sauce, BSOR"
"CLIMP","concept","false","","LIMP tricks are the collection of basic toe tricks: Legover, Illusion, Mirage, and Pickup. CLIMP is an extension of LIMP which includes Clipper. An Everything drill is a drill which uses a single uptime set + each LIMP trick both sides. Ex: Pixie Everything = a drill of Pixie Legover, Pixie ss Legover, Pixie Illusion, Pixie ss Illusion, Pixie Mirage, Pixie ss Mirage, Pixie Pickup, and Pixie ss Pickup, each on both sides. An Everything drill has no set order, and just requires every unique trick be done once.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Combining multiple tricks"
"combo","concept","false","","A combo is any number of tricks linked in a group, usually with some sort of theme or aspect that joins them together. A string could technically be described as a combo, but combos are usually shorter and more purposefully thought-out than strings. A link is specifically a two-trick combo.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Combining multiple tricks"
"component","concept","false","","Components        3","","","non_canonical","low","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer",""
"contact","concept","false","","","","","non_canonical","absent","absent","absent_all","FIELD GAP — needs definition from scratch",""
"dex","concept","true","A motion where the foot circles around the bag. **Example:** * Mirage = one dex * Double Around the World = two dexes ---","As much as possible, the terms in this document are defined from simple to complex. Terms defined later in the document often build upon ones from earlier in the document. The first use of a term is bolded, while further uses of it are in normal text. Alphabetical index of all terms can be found at the end of the document.","","","canonical_glossary","medium","absent","complementary","SYNTHESIZE — both sources contribute; merge complementary aspects","aliases: dexterity"
"downtime","concept","false","","Trick phases A single trick can be broken down into three phases depending on which direction the bag is moving at a given time. The uptime of a trick is in the time when the bag is moving up, the downtime is when the bag is moving down, and the midtime is the brief moment in between uptime and midtime when the bag is peaking.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Trick phases"
"drill","concept","false","","A drill is a combo that is done using one side of the body, which then repeats exactly but with the other side of the body. A drill can be notated in string notation with just the unique half and then “rpt” at the repeat point. Ex: Mirage>Legover rpt = Mirage>Legover>Mirage>Legover. To notate more or less contacts of a drill either “[N] contacts of [drill]” or “[drill] x[N]” can be used. Ex: 3 contacts of Mirage>Legover rpt = Mirage>Legover>Mirage; Mirage>Legover rpt x3 = 12 total contacts.","","","non_canonical","medium","absent","community_passback_only","REVIEW — community vocabulary candidate for educational layer","PB section: Combining multiple tricks"
