external_name,passback_formula,passback_add,staging_priority,formula_readable,wave2_blocker,observational_safe,notes
Anonymous,Spinning far Miraging Symp. Miraging Refraction,3,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Archnemesis,Barraging near Double Down,4,medium,y,y,n,folk-derived; no mechanical decomposition
Armaggedon,Miraging Symp. Eggbeater,3,low,n,n,n,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Assassin,Pixie Ducking far Mirage,2,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Atom Bomb,"Flailing far Symp. Mirage, Full Symp. Atomsmasher",2,low,n,n,n,uses external vocabulary IFPA does not recognize
Badger,Symp. Butterfly Swirl,2,low,n,n,n,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Bedwetter,Stepping far Eggbeater,3,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Big Apple,"Spinning near Symp. Torque, Symp. Mobius",1,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Big Applesauce,Spinning far Miraging Symp. Torque,2,medium,y,y,n,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Big Orange,"Spinning near Symp. Flux, Rev. Big Apple",1,high,y,n,y,uses external vocabulary IFPA does not recognize
Blackula,"Toe near Symp. Double Down, Symp DOD",2,low,n,n,n,uses external vocabulary IFPA does not recognize
Bladerunner,Atomic far Eggbeater,3,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Blaze,Whirling far Mirage,2,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Bling Blang,(uptime) Whirling near Whip,2,high,y,n,y,uses external vocabulary IFPA does not recognize
Blink,(downtime) Twisting near Toe,1,low,n,n,n,uses external vocabulary IFPA does not recognize
Blizzard,Stepping far Illusion,2,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Blurrage,Stepping far Barrage,3,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Blurrier,Stepping near Double Down,3,high,y,n,y,folk-derived; no mechanical decomposition
Blurtigo,Stepping Ducking far Drifter,2,medium,y,y,n,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Cardinal Swirl,triple-dex Swirl,3,low,n,n,n,uses external vocabulary IFPA does not recognize
Chainsaw Massacre,"(downtime) Illusioning Symp. Illusioning Legover, (downtime) Illusioning Symp. Eggbeater",3,low,n,n,n,uses external vocabulary IFPA does not recognize
Cheese Processor,Surging Ducking far Blender,2,medium,y,y,n,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Cloud,"Calf Stall w/ leg in ""Whirl"" position",,low,n,n,n,uses external vocabulary IFPA does not recognize
Clownface,Barraging far Eggbeater,4,medium,y,y,n,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Cold Fusion,"Nuclear far Double Down, Pdx. Fusion",3,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Colossus,Spinning Diving near Symp. Whirl,1,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Creature,(downtime) Miraging Symp. Illusion,2,low,n,n,n,uses external vocabulary IFPA does not recognize
Darkwalk,Pixie Diving near Butterfly,2,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
DATW/Double ATW,double-dex ATW,2,low,n,n,n,uses external vocabulary IFPA does not recognize
DDD/Down Double Down,Clipper near Double Down,2,low,n,n,n,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Delusion,double-dex Illusion,2,low,n,n,n,uses external vocabulary IFPA does not recognize
Dimmier,Pixie near Double Down,3,high,y,n,y,folk-derived; no mechanical decomposition
Dimmiest,Pixie far Double Down,3,high,y,n,y,folk-derived; no mechanical decomposition
"DLO (""dee-ell-oh"")",(downtime) Miraging far Legover,2,low,n,n,n,uses external vocabulary IFPA does not recognize
DOD/Double Over Down,Toe near Double Down,2,low,n,n,n,uses external vocabulary IFPA does not recognize
Dolomite,Toe far Symp. Double Down,2,low,n,n,n,uses external vocabulary IFPA does not recognize
Double Down,double-dex Butterfly,2,low,n,n,n,uses external vocabulary IFPA does not recognize
Dragon,Xbd Outside Stall,,low,n,n,n,uses external vocabulary IFPA does not recognize
DSO,double-dex Legover,2,low,n,n,n,uses external vocabulary IFPA does not recognize
E-Walk,Frantic op Butterfly,,low,n,n,n,uses external vocabulary IFPA does not recognize
Ego,Atomic far Blender,2,medium,y,y,n,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Enterrage,"Terraging Legover, (midtime) Toe near Flurry",3,low,n,n,n,uses external vocabulary IFPA does not recognize
Fairy (archaic),Midtime Toe near Illusion,,low,n,n,n,uses external vocabulary IFPA does not recognize
Fairy Beater,Fairy far Butterfly,2,medium,y,y,n,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Fear,Fairy far Mirage,2,medium,y,y,n,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Fission,Barraging far Illusion,3,medium,y,y,n,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Flare,Symp. Whirling far Mirage,2,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Flurricane,Gyro Flurry,3,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Flux,(downtime) Illusioning far Osis,1,low,n,n,n,uses external vocabulary IFPA does not recognize
Frankenstein,"Fairy near Swirling near Swirl, Phasing near Swirl, Fairy Ripstein",3,medium,y,y,n,uses external vocabulary IFPA does not recognize
Fudge,Fairy far Illusion,2,medium,y,y,n,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Gangsta Party,Spinning Ducking far Blender,1,medium,y,y,n,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Gary Coleman,"BS Reactor, Atomic far Symp. Whirl",2,high,y,n,y,uses external vocabulary IFPA does not recognize
"GDLO (""gee-dee-ell-oh"")",Gyro DLO,2,high,y,n,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
