kind,key,value,reason
token,cross-body,,compound adjective whose hyphen is genuine English orthography; the display keeps it while the slug folds it to an underscore
token,x-body,,compound adjective whose hyphen is genuine English orthography; the display keeps it while the slug folds it to an underscore
row,big_apple_sauce,spinning paradox miraging symposium torque,curator ruling binds the Big Apple Sauce folk name to the paradox-free reading; this row keeps its structure under its structural display name with the slug unchanged
row,stepping_p_s_whirling_x_body_rake,Stepping P.S. Whirling x-body Rake,the abbreviation periods and the x-body compound are genuine orthography that cannot mechanically reproduce the slug
row,rev_whirl,reverse whirl,"curator ruling normalizes the abbreviated display name to the full reverse whirl form while the stable rev_whirl slug is preserved; the name therefore no longer folds back to its slug by design"
row,fairy_rev_whirl,fairy reverse whirl,"the reverse whirl family reads in one spelling while every slug stays stable; the display name no longer folds back to its abbreviated slug by design"
row,nuclear_rev_whirl,nuclear reverse whirl,"the reverse whirl family reads in one spelling while every slug stays stable; the display name no longer folds back to its abbreviated slug by design"
row,pixie_rev_whirl,pixie reverse whirl,"the reverse whirl family reads in one spelling while every slug stays stable; the display name no longer folds back to its abbreviated slug by design"
row,pixie_symposium_rev_whirl,pixie symposium reverse whirl,"the reverse whirl family reads in one spelling while every slug stays stable; the display name no longer folds back to its abbreviated slug by design"
row,spinning_rev_whirl,spinning reverse whirl,"the reverse whirl family reads in one spelling while every slug stays stable; the display name no longer folds back to its abbreviated slug by design"
row,stepping_rev_whirl,stepping reverse whirl,"the reverse whirl family reads in one spelling while every slug stays stable; the display name no longer folds back to its abbreviated slug by design"
row,whirling_rev_whirl,whirling reverse whirl,"the reverse whirl family reads in one spelling while every slug stays stable; the display name no longer folds back to its abbreviated slug by design"
