id,wave2_area,pixie_moves_finding,evidence_count,modern_doctrine_state,recommended_action,priority
PXW2-1,Pixie dual identity confirmation,Source provides 2003-era authoritative definition of pixie as 2-ADD trick form (TOE > SAME IN [DEX] > OP TOE [DEL]) AND implicit set-modifier usage in 20 other compounds,21 of 21,User 2026-05-19 doctrinal clarification confirmed by source,"document strong source precedent for dual identity (no further action needed)",Low (doctrinally settled by source)
PXW2-2,Terrage ADD divergence (CRITICAL),Source: Terrage = Double Pixie = 3 ADD (pixie(2) + pixie(+1) = 3),1 (Terrage),"Modern DB: terrage row at 4 ADD; terraging row at 3 ADD; terraging modifier at +3 — three separate entries","surface as Red Wave 2: resolve the terrage/terraging tangle. Source-supported decomposition: 'Terrage = Double Pixie = 3 ADD'",HIGH
PXW2-3,Parkwalk vs Dimwalk distinction,Source distinguishes via Opposite Side vs Same Side qualifier in compact reading,2 (Dimwalk Parkwalk),"Modern: both DB rows; both read 'pixie butterfly' chain reading (curatorConfirmPending)","surface as Red Wave 2: are parkwalk and dimwalk the same trick or distinct rows?",Medium
PXW2-4,Pixie Eclipse jump-land grammar (NEW),"Source uses (JUMP) [BOD] + SAME INSIDE [DEL] + (LAND) markers — NEW operational tokens not in modern ATAM grammar §13",1 (Pixie Eclipse),Modern ATAM: no jump-land markers; [DEL] is terminal-only,"surface as Red Wave 2 / ATAM grammar question: should jump-land markers be valid notation? Should [DEL] be valid mid-compound?",Medium-High
PXW2-5,SAME/OP BACK SWIRL alternation token,Source uses leg-anchor alternation marker in operational notation,1 (Pixie Swirl),"Modern ATAM: no leg-anchor alternation marker",surface as ATAM grammar question,Low-Medium
PXW2-6,OP IN/OUT alternation token (cross-audit),Source uses 'OP IN/OUT [DEX]' alternation marker,1 (Pixie Leg Over),"Modern ATAM grammar §13: alternation tokens not standardized (cross-audit blurryMoves BW2-5)","cross-audit consolidation: 2 source-corpus occurrences",Medium
PXW2-7,(plant) marker persistence across audits,Source uses explicit (plant) marker in 4 pixie compounds,"4 (Magellan Pixie Same Side Illusion Dimwalk Parkwalk Pixie Double Over Down) — wait that's 5",Modern ATAM: no (plant) marker,"cross-audit consolidation: 6+ source-corpus occurrences across paradoxMoves + pixieMoves",Medium
PXW2-8,Pixie-class folk-name canonicalization,Source has 4 folk-named pixie compounds NOT in modern DB (Yoda Backside Symposium Smear Pixie Eclipse Pixie Swirl),4,Modern: NOT in DB,"surface as Red Wave 2: which folk-named compounds warrant canonical promotion per Productive Multiplicity policy?",Medium
PXW2-9,Pixie-class structural-form derivability,Source has 10 structural-form pixie compounds — math derivable via pixie(+1) + base,10,Modern: typically NOT canonicalized,"document derivability; no action needed",Low (doctrinally settled)
PXW2-10,Symposium Pixie addition to dictionary,Source has Symposium Pixie at 3 ADD (symposium(+1) + pixie(2) = 3),1,Modern: NOT in DB,"surface as Red Wave 2: should symposium-pixie be canonicalized?",Low
PXW2-11,Backside Symposium Smear folk-name resolution,Source has Backside Symposium Smear (Pixie Symposium Mirage; 4 ADD),1,Modern: NOT in DB; chain registry has 'smear' = 'pixie mirage' so 'Backside Symposium Smear' would extend to 'pixie symposium mirage',"surface as Red Wave 2: canonicalize this folk-named compound?",Low
PXW2-12,Pixie uptime vs midtime dex doctrine,Source's operational form has no explicit timing marker on the SAME IN [DEX] segment,21 of 21,"Modern: pixie defaults to uptime dex per user clarification; ATW uses (midtime) marker",document the timing-by-omission convention,Low (doctrinally settled by user)
