id,wave2_area,gyro_moves_finding,evidence_count,modern_doctrine_state,recommended_action,priority
GW2-1,spinning-gyro axis (THE central question),"gyroMoves source uses identical (back) SPIN [BOD] operational token for both 'Spinning X' and 'Gyro X' compounds. THREE-source confirmation: Job 1995 + paradoxMoves + gyroMoves all use (back) SPIN for these compounds. The source corpus operationally treats spinning and gyro as the SAME OPERATOR distinguished only by direction (back/front)",9 of 9 gyroMoves moves + 14+ paradoxMoves moves,"Modern doctrine asserts spinning = full turn (360°); gyro = half turn (180°). This distinction has NO source-corpus operational precedent","Surface AS THE LEAD Wave 2 question: are spinning and gyro the same operator (per 30 years of source operational notation)? OR did modern doctrine add a magnitude distinction that the source corpus does not capture? IF the latter the operational grammar §13 needs a magnitude token. IF the former modifier-table needs reconciliation (one operator with two names? or merge?)",CRITICAL
GW2-2,inspinning operator identity,gyroMoves source has 3 explicit 'Inspinning Same Side X' compounds with (front) SPIN [BOD] operational form,3 of 9,"Modern: 'inspinning' NOT in freestyle_trick_modifiers. Spinning is in table; gyro is in table; inspinning is gap","Surface as Red Wave 2: should inspinning be added to modifier table as a forward-direction spinning variant?",HIGH
GW2-3,Mobius multi-reading doctrine,Modern Mobius has THREE chain readings: gyro torque / spinning ss torque / spinning ss miraging op osis,1 (Mobius),"Modern doctrine treats 'gyro' and 'spinning ss' as alternate framings of the same compound — implies they're equivalent OR strongly related","Surface as Red Wave 2: is 'spinning same-side' (ss) doctrinally equivalent to 'gyro'? If yes confirms operational equivalence (GW2-1) AND explains the 'ss' qualifier in modern chain readings",HIGH
GW2-4,Vortex paradox-exclusion confirmation,paradox-tutorial.txt + gyroMoves + paradoxMoves all align: vortex is non-paradox gyrating drifter,3-source confirmation,Modern doctrine aligned,"Document the strong tri-source precedent for the 'spinning subsumes paradox' principle in vortex's case",Low (doctrinally settled)
GW2-5,Gyro Symposium Torque math,Big Apple = gyro(+1) + symposium(+1) + torque(4) = 6 ADD,1 (Big Apple),Modern: Big Apple is canonical at 6 ADD with chain 'gyro symposium torque',"Document strong source precedent for the gyro(+1) multiplier classification — Big Apple is the historical-canonical example",Low
GW2-6,Spyro Gyro canonical promotion,gyroMoves explicitly names Spyro Gyro = Gyro Butterfly Swirl (5 ADD),1,"Modern: chain registry has spyro-gyro entry (curatorConfirmPending: true Red pt2 pending) but NO canonical row","Surface as Red Wave 2: source confirms Spyro Gyro folk name + structural reading; promote chain registry entry to canonical DB row?",Medium
GW2-7,Flurricane folk-name canonicalization,gyroMoves explicitly names Flurricane = Gyro Flurry (5 ADD),1,Modern: NOT in DB; NO chain registry entry,"Surface as Red Wave 2: does Flurricane have stabilized community usage warranting canonical promotion per CANONICALIZATION_POLICY.md §10?",Medium
GW2-8,Gyro Butterfly canonicalization,gyroMoves names Gyro Butterfly as structural compound (4 ADD),1,Modern: NOT in DB,"Surface as Red Wave 2: should gyro-butterfly become canonical OR remain derivable phrase?",Low
GW2-9,Same Side naming convention,Source uses 'Same Side' prefix in 3 names to indicate TOE-start variant,3,Modern dictionary does not preserve 'Same Side' qualifier,"Document the naming convention; pedagogical content for glossary §3 or §7. Not a doctrinal issue",Low
GW2-10,Inspinning Same Side compound canonicalization,Source has 3 'Inspinning Same Side X' compounds (3-ADD Illusion 3-ADD Mirage 4-ADD Butterfly),3,Modern: NOT in DB,"Surface as Red Wave 2: canonicalize the 3 Inspinning Same Side compounds per Productive Multiplicity policy? Gated on inspinning operator question (GW2-2)",Medium
GW2-11,OP BACK SWIRL grammar question,Source uses 'OP BACK SWIRL [DEX]' in Spyro Gyro (4th occurrence in source corpus),1 (Spyro Gyro),Modern ATAM grammar undefined for this construct,"Surface as ATAM grammar question: is 'OP BACK SWIRL [DEX]' valid grammar or should it decompose? Cross-references Paradox PD-10",Medium
