slug,displaySlug,landing_render_state,equivalences_count,operational_notation_source,safety_class,notes
clipper-stall,clipper,FULL,0,"[set] > clipper (post Slice X corrective)",COVERED,Slice X 2026-05-17 corrective filled op-notation; now renders as #clipper with notation
mirage,mirage,SPARSE,0,(empty),WAVE_2_BLOCKED,dex atom; bare-form notation needs Red doctrine
legover,legover,SPARSE,0,(empty),WAVE_2_BLOCKED,dex atom; bare-form notation needs Red doctrine
pickup,pickup,SPARSE,0,(empty),WAVE_2_BLOCKED,dex atom; bare-form notation needs Red doctrine
illusion,illusion,SPARSE,0,(empty),WAVE_2_BLOCKED,dex atom; bare-form notation needs Red doctrine
whirl,whirl,SPARSE,0,(empty),WAVE_2_BLOCKED,dex atom; bare-form notation needs Red doctrine
butterfly,butterfly,SPARSE,0,(empty),WAVE_2_BLOCKED,dex atom (category=compound in DB but landing-card slot); bare-form notation needs Red doctrine
swirl,swirl,SPARSE,0,(empty),WAVE_2_BLOCKED,dex atom; bare-form notation needs Red doctrine
osis,osis,SPARSE,0,(empty),WAVE_2_BLOCKED,dex atom (category=compound in DB but treated as base); bare-form notation needs Red doctrine
around-the-world,around-the-world,SPARSE,0,(empty),WAVE_2_BLOCKED,dex atom; bare-form notation needs Red doctrine
orbit,orbit,SPARSE,0,N/A,DATA_GAP,addPending=true; not in freestyle_tricks at all; needs dictionary entry first
