source_section,example_name,normalized_name,source_formula,compact_notation,add_count,operator_tokens,movement_class,blurry_doctrine,notes
"4 adds","Blizzard (Stepping Paradox Illusion)",blizzard,CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP TOE [DEL],stepping paradox illusion,4,"clip;op;in;dex;out;pdx;toe;del",stepping-paradox-illusion,blurry-illusion-form,"Source: 'Identical to the Blur delay except the second mirage dexterity is in the other direction'. Identical entry in paradoxMoves audit"
"4 adds","Blur (Stepping Paradox Mirage)",blur,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],stepping paradox mirage,4,"clip;op;in;dex;pdx;toe;del",stepping-paradox-mirage,blurry-mirage-form,"Canonical example of Red pt11 doctrine. Identical entry in paradoxMoves audit"
"5 adds","Voodoo (Paradox Symposium Blur)",voodoo,CLIP > SAME IN [DEX] [BOD] > (NO PLANT WHILE) OP IN [BOD] [DEX] > OP TOE [DEL],paradox symposium blur,5,"clip;same;in;dex;bod;no-plant;op;toe;del",paradox-symposium-blur,blurry-with-symposium-paradox,"Folk-name with 'Blur' suffix in parenthetical reading — confirms Voodoo as a blurry-class compound. Identical entry in paradoxMoves"
"5 adds","Blurrage (Stepping Paradox Barrage)",blurrage,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],stepping paradox barrage,5,"clip;op;in;dex;pdx;same;toe;del",stepping-paradox-barrage,blurry-barrage-form,"Folk-name with 'Barrage' base. Identical entry in paradoxMoves"
"5 adds","Fog (Stepping Paradox Double Leg Over)",fog,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],stepping paradox double leg over,5,"clip;op;in;dex;pdx;out;same;toe;del",stepping-paradox-double-leg-over,blurry-legover-form,"Source: 'A Blur with an extra leg over at the end'. Identical entry in paradoxMoves"
"5 adds","Blurry Drifter (Stepping Paradox Drifter)",blurry-drifter,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],stepping paradox drifter,5,"clip;op;in;dex;pdx;same;clip;xbd;del",stepping-paradox-drifter,blurry-drifter-form,"Folk-named compound. Identical entry in paradoxMoves"
"5 adds","Bedwetter (Stepping Paradox Eggbeater)",bedwetter,CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],stepping paradox eggbeater,5,"clip;op;in;dex;out;pdx;same;toe;del",stepping-paradox-eggbeater,blurry-eggbeater-form,"Folk-named compound. Identical entry in paradoxMoves"
"5 adds","Blurry Whirl (Stepping Paradox Whirl)",blurry-whirl,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],stepping paradox whirl,5,"clip;op;in;dex;pdx;op;clip;xbd;del",stepping-paradox-whirl,blurry-whirl-form,"Red pt11-locked. Identical entry in paradoxMoves"
"5 adds",Paradox Blurry Whirl,paradox-blurry-whirl,CLIP > SAME IN [DEX] [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],,5,"clip;same;in;dex;bod;op;clip;xbd;del",paradox-with-blurry-whirl,structural-form-no-parenthetical,"Source operational LACKS explicit [PDX] flag despite name. Same entry in paradoxMoves. Doctrinally interesting: 'Paradox Blurry Whirl' as distinct from Blurry Whirl?"
"5 adds",Symposium Blizzard,symposium-blizzard,CLIP > OP IN [DEX] > (NO PLANT WHILE) OP OUT [BOD] [DEX] [BOD] > OP TOE [DEL],,5,"clip;op;in;dex;no-plant;out;bod;toe;del",symposium-blizzard,NEW-blurry-symposium-illusion-form,"Source description: 'A blurry reverse symposium mirage'. UNIQUE TO blurryMoves — not in paradoxMoves. Operational has [BOD] [DEX] [BOD] sequence — unusual"
"5 adds",Symposium Blur,symposium-blur,CLIP > OP IN [DEX] > (NO PLANT WHILE) OP IN/OUT [DEX] [BOD] [BOD] > OP TOE [DEL],,5,"clip;op;in;dex;no-plant;out;bod;in-out-alternation;toe;del",symposium-blur,NEW-blurry-symposium-mirage-form,"Source description: 'This is a blurry symposium paradox mirage'. UNIQUE TO blurryMoves — not in paradoxMoves. CRITICAL NEW TOKEN: 'OP IN/OUT [DEX]' alternation — explicit in operational form"
"6 adds","Food Processor (Blurry Blender)",food-processor,CLIP > OP IN [DEX] > OP IN [DEX] [BOD] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],blurry blender,6,"clip;op;in;dex;bod;back;spin;same;clip;xbd;del",blurry-blender-form,blurry-with-blender-base,"UNIQUE TO blurryMoves — paradoxMoves does NOT include Food Processor. Modern DB chain registry has 'blurry blender' AND 'stepping paradox blender' (Red pt15-locked 2026-05-15). Source parenthetical = primary modern reading"
"6 adds","Blurry Symposium Whirl (Stepping Paradox Symposium Whirl)",blurry-symposium-whirl,CLIP > OP IN [DEX] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL],stepping paradox symposium whirl,6,"clip;op;in;dex;no-plant;pdx;bod;clip;xbd;del",stepping-paradox-symposium-whirl,blurry-symposium-whirl-form,"Identical entry in paradoxMoves"
"6 adds","Blurry Torque (Stepping Paradox Torque)",blurry-torque,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],stepping paradox torque,6,"clip;op;in;dex;pdx;back;spin;bod;clip;xbd;del",stepping-paradox-torque,blurry-torque-form,"Red pt11-locked. Identical entry in paradoxMoves"
"6 adds","Blurry Whirling Swirl (Stepping Paradox Whirling Swirl)",blurry-whirling-swirl,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],stepping paradox whirling swirl,6,"clip;op;in;dex;pdx;back;swirl;same;clip;xbd;del",stepping-paradox-whirling-swirl,blurry-whirling-swirl-form,"Identical entry in paradoxMoves. OP BACK SWIRL token (recurring across audits)"
