"crosslink_id","term_a","term_b","relationship","cluster","source","notes","educational_value"
"backside-symposium","backside","symposium","variant","symposium-family","UX1 + pt9 + PassBack","Backside (BS) names the symposium-modifier applied to the downtime component of a base trick (e.g., BS Atomsmasher = Atomic Symp Mirage). Pt9 Red ruling: backside = symposium-equivalent modifier, +1 ADD.","high"
"frontside-symposium","frontside","symposium","variant","symposium-family","PassBack glossary","Frontside (FS) names the symposium-modifier applied to the uptime component (FS Atomsmasher = Symp Atomic Mirage). Mirror of backside.","high"
"full-symp-symposium","full-symp","symposium","composition","symposium-family","PassBack glossary","Full Symp = both uptime + downtime symposium (Full Symp Atomsmasher = Symp Atomic Symp Mirage).","high"
"symposium-symple","symposium","symple","variant","symposium-family","PassBack glossary","Symposium = jump-and-land on the active leg; symple = starts symposium but the non-symple foot returns to ground midway. Shorthand 'symp' covers both.","high"
"symposium-muted","symposium","muted","variant","symposium-family","PassBack glossary","Muted = active leg held in the air for the entirety of a component without putting it on the ground. Distinct from symposium (which can plant after) and symple (which plants midway).","high"
"alpha-beta-gamma-symposium","alpha","beta","variant","symposium-family-dex-position","PassBack glossary","Alpha/Beta/Gamma refer to individual symposium dexes within a trick (alpha = first dex symposium, beta = second). Alternate to Frontside/Backside; less commonly used.","low"
"paradox-xdex","paradox","xdex","contrast","paradox-family","UX1 + pt1 + PassBack","Both involve hip pivoting between dexes; paradox is for clipper-set tricks (XBD-prefix), xdex is for toe-set tricks. Paradox = +1 universal; xdex = +1 narrow (pt1: specific named tricks only).","high"
"ducking-diving","ducking","diving","variant","body-modifier-head-motion","PassBack glossary","Both are head-direction body modifiers; ducking = head moves toward bag, bag falls opposite; diving = head moves over bag, bag falls same-side. Distinct ADD contribution (+1 each).","high"
"ducking-weaving","ducking","weaving","variant","body-modifier-head-motion","PassBack glossary","Both move head toward bag; ducking sends bag to opposite side, weaving sends bag to same side.","high"
"ducking-zulu","ducking","zulu","variant","body-modifier-head-motion","PassBack glossary","Ducking + Zulu both involve over-and-under head motion; zulu sends bag to opposite side (vs diving's same-side); both are full-arc variants of the ducking family.","high"
"head-motion-family","ducking","diving","cluster","body-modifier-head-motion","PassBack glossary","Cluster of four head-motion body modifiers: ducking (toward bag, falls opposite), diving (over bag, falls same-side), weaving (toward bag, falls same-side), zulu (over bag, falls opposite).","high"
"clipper-xbd","clipper","xbd","equivalence","clipper-stall-position","UX1 + PassBack glossary","Clipper IS an inside-stall in cross-body (xbd) position. The terms clipper-stall and xbd-inside-stall are equivalent.","high"
"toe-clipper-pair","toe","clipper","contrast","foundational-stalls","UX1 + memory","The two most foundational delay surfaces; nearly every trick starts or ends on toe or clipper. Toe = top-of-foot stall; Clipper = inside-stall in xbd position.","high"
