example_name,normalized_name,ifpa_slug,ifpa_exists,ifpa_compact_notation,ifpa_chain_reading,ifpa_operational_notation,ifpa_adds,source_adds,agreement_status,discrepancy_type,curator_action,notes
Paradox Illusion,paradox-illusion,paradox-illusion,no,(none),(none),(none),—,3,missing_canonical_row,missing-canonical,"curator decision: canonicalize paradox-illusion? (currently structurally derivable as paradox(+1)+illusion(2)=3)","Structural-form name; derivable per multiplier doctrine. Source typo: '[PDX[DEX]'"
Paradox Mirage,paradox-mirage,paradox-mirage,yes,(none),paradox mirage,(none),3,3,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source: CLIP > SAME IN [PDX] [DEX] > OP TOE [DEL]","Direct quick-win opportunity. Resolved formula sprint-1 paradox(+1)+mirage(2)=3"
Inspinning Paradox Illusion,inspinning-paradox-illusion,inspinning-paradox-illusion,no,(none),(none),(none),—,4,missing_canonical_row,missing-canonical,"curator decision: canonicalize as inspinning(+1) + paradox-illusion(3) = 4? — gated on Red Wave 2 'inspinning' operator-class question (RP-6 in Job audit)","Source provides 2 operational variants. Not in DB"
Inspinning Paradox Mirage,inspinning-paradox-mirage,inspinning-paradox-mirage,no,(none),(none),(none),—,4,missing_canonical_row,missing-canonical,"same as above","Not in DB"
Paradox Barrage,paradox-barrage,paradox-barrage,no,(none),(none),(none),—,4,missing_canonical_row,missing-canonical,"curator decision: canonicalize as paradox(+1) + barraging(+1) + mirage(2) = 4?","Structurally derivable per multiplier doctrine"
Paradox Blizzard,paradox-blizzard,paradox-blizzard,no,(none),(none),(none),—,4,missing_canonical_row,missing-canonical,"curator decision",Not in DB
Paradox Blur,paradox-blur,paradox-blur,no,(none),(none),(none),—,4,naming_disagreement,naming-disagreement-with-blur,"surface as Red question: is 'Paradox Blur' (source) the same trick as 'Blur' (modern) or a distinct trick? Operational notations differ","Source has BOTH 'Paradox Blur' and 'Blur (Stepping Paradox Mirage)' — TWO distinct entries. Their operational notations differ in flag placement"
Paradox Double Leg Over,paradox-double-leg-over,paradox-double-leg-over,no,(none),(none),(none),—,4,naming_disagreement,naming-disagreement-with-double-leg-over,"surface as Red question: source 'Paradox Double Leg Over' vs modern 'double-leg-over' (chain reading 'miraging legover' Red pt4-locked) — same trick two framings?","Cross-references Job audit RP-1 (Paradox Double Legover vs miraging legover)"
Royale (Paradox Reverse Drifter),royale,royale,yes,(none),paradox reverse drifter,(none),4,4,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source: CLIP > SAME OUT [PDX] [DEX] > SAME CLIP [XBD] [DEL]","Chain reading Red pt5-locked. Quick-win opportunity"
Paradox Symposium Mirage,paradox-symposium-mirage,paradox-symposium-mirage,no,(none),(none),(none),—,4,missing_canonical_row,missing-canonical,"curator decision: canonicalize as paradox(+1) + symposium(+1) + mirage(2) = 4?","Structurally derivable. Source explicit (plant) marker is unusual"
Paradox Whirl,paradox-whirl,paradox-whirl,yes,PARADOX WHIRL,paradox whirl,(none),4,4,exact_agreement,missing-ifpa-operational,"author IFPA operational notation from source","Quick-win"
Pogo Paradox Mirage,pogo-paradox-mirage,pogo-paradox-mirage,no,(none),(none),(none),—,4,missing_canonical_row,missing-canonical,"curator decision: canonicalize as pogo(+0) + paradox(+1) + mirage(2) = 3 ADD? But source claims 4 ADD","ADD DISCREPANCY: source claims 4 ADD; pogo=+0 modifier would yield 3. Possible re-classification: pogo here may mean 'pogo+symposium' compound. Surface to Red"
Spinning Paradox Illusion,spinning-paradox-illusion,spinning-paradox-illusion,no,(none),(none),(none),—,4,missing_canonical_row,missing-canonical,"curator decision","Source provides 2 operational variants"
Spinning Paradox Mirage,spinning-paradox-mirage,spinning-paradox-mirage,no,(none),(none),(none),—,4,missing_canonical_row,missing-canonical,"curator decision","Source provides 2 operational variants"
Blizzard (Stepping Paradox Illusion),blizzard,blizzard,no,(none),(none),(none),—,4,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision: canonicalize folk-named 'Blizzard' per Productive Multiplicity policy?","Folk-named compound; source describes as 'Identical to Blur except second mirage dex is in other direction'"
Blur (Stepping Paradox Mirage),blur,blur,yes,STEPPING PARADOX MIRAGE,(implicit via notation),CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],4,4,partial_agreement,operational-token-difference,"reconcile token form between DB and source","DB has '>>' between dexes + [PDX] AFTER [DEX]; source has single '>' + [PDX] BEFORE [DEX]. Same trick two forms. Cross-references FM audit D-2 + D-3"
