external_name,passback_formula,passback_add,ifpa_slug,ifpa_name,ifpa_formula,alignment_category,pending_red,notes
Anonymous,Spinning far Miraging Symp. Miraging Refraction,3,,,,passback_only_ifpa_missing,false,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Archnemesis,Barraging near Double Down,4,,,,passback_only_ifpa_missing,false,folk-derived; no mechanical decomposition
Armaggedon,Miraging Symp. Eggbeater,3,,,,passback_only_ifpa_missing,false,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Assassin,Pixie Ducking far Mirage,2,,,,passback_only_ifpa_missing,false,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Atom Bomb,"Flailing far Symp. Mirage, Full Symp. Atomsmasher",2,,,,passback_only_ifpa_missing,false,uses external vocabulary IFPA does not recognize
Atomsmasher,Atomic far Mirage,2,atom-smasher,atom smasher,atomic mirage,agree_formula_name_differs,false,
ATW,toe>ss leggy in dex>ss toe,1,around-the-world,Around the World,,agree_formula_name_differs,false,
Badger,Symp. Butterfly Swirl,2,,,,passback_only_ifpa_missing,false,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Barfly,Clipper far Double Down,2,barfly,barfly,,agree_name_add_differs,false,
Barfry,Nuclear near Butterfly,2,matador,matador,nuclear butterfly | paradox atomic butterfly,agree_formula_name_differs,false,
Barrage,double-dex Mirage,2,barrage,barrage,,agree_name_add_differs,false,
Barroque,"double-dex Torque, (downtime) Barraging far Osis",2,barraging-osis,barraging osis,,agree_formula_name_differs,false,
Bedwetter,Stepping far Eggbeater,3,,,,passback_only_ifpa_missing,false,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Big Apple,"Spinning near Symp. Torque, Symp. Mobius",1,,,,passback_only_ifpa_missing,false,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Big Applesauce,Spinning far Miraging Symp. Torque,2,,,,passback_only_ifpa_missing,true,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Big Orange,"Spinning near Symp. Flux, Rev. Big Apple",1,,,,passback_only_ifpa_missing,false,uses external vocabulary IFPA does not recognize
Blackula,"Toe near Symp. Double Down, Symp DOD",2,,,,passback_only_ifpa_missing,false,uses external vocabulary IFPA does not recognize
