passback_name,technical_name,uptime_component,downtime_component,dex_count,notes,gate
Anonymous,Spinning far Miraging Symp. Miraging Refraction,Spinning,,3,,Red Wave 2 (no promotion until grammar questions rule)
Archnemesis,Barraging near Double Down,Barraging,Double Down,4,,Red Wave 2 (no promotion until grammar questions rule)
Armaggedon,Miraging Symp. Eggbeater,,,3,,Red Wave 2 (no promotion until grammar questions rule)
Badger,Symp. Butterfly Swirl,,Symp. Butterfly Swirl,2,,Red Wave 2 (no promotion until grammar questions rule)
Barfry,Nuclear near Butterfly,Nuclear,Butterfly,2,,Red Wave 2 (no promotion until grammar questions rule)
Big Applesauce,Spinning far Miraging Symp. Torque,,,2,,Red Wave 2 (no promotion until grammar questions rule)
Big Orange,"Spinning near Symp. Flux, Rev. Big Apple",,,1,,Red Wave 2 (no promotion until grammar questions rule)
Blackula,"Toe near Symp. Double Down, Symp DOD",,Symp. Double Down,2,,Red Wave 2 (no promotion until grammar questions rule)
Blink,(downtime) Twisting near Toe,,Twist/Rev Swirl,1,,Red Wave 2 (no promotion until grammar questions rule)
Blurrier,Stepping near Double Down,Stepping,Double Down,3,,Red Wave 2 (no promotion until grammar questions rule)
Blurtigo,Stepping Ducking far Drifter,Stepping,Drifter,2,"portmanteau of ""blurry"" and ""vertigo""",Red Wave 2 (no promotion until grammar questions rule)
Cardinal Swirl,triple-dex Swirl,,,3,,Red Wave 2 (no promotion until grammar questions rule)
Catacomb,Pixie near Drifter,Pixie,Drifter,2,,Red Wave 2 (no promotion until grammar questions rule)
Cheese Processor,Surging Ducking far Blender,Surging,Blender,2,,Red Wave 2 (no promotion until grammar questions rule)
Cloud,"Calf Stall w/ leg in ""Whirl"" position",,,,,Red Wave 2 (no promotion until grammar questions rule)
Clownface,Barraging far Eggbeater,Barraging,Eggbeater,4,,Red Wave 2 (no promotion until grammar questions rule)
Cold Fusion,"Nuclear far Double Down, Pdx. Fusion",Nuclear,Double Down,3,,Red Wave 2 (no promotion until grammar questions rule)
Creature,(downtime) Miraging Symp. Illusion,,,2,,Red Wave 2 (no promotion until grammar questions rule)
DATW/Double ATW,double-dex ATW,,,2,,Red Wave 2 (no promotion until grammar questions rule)
DDD/Down Double Down,Clipper near Double Down,,Double Down,2,,Red Wave 2 (no promotion until grammar questions rule)
Delusion,double-dex Illusion,,,2,,Red Wave 2 (no promotion until grammar questions rule)
Dimmier,Pixie near Double Down,Pixie,Double Down,3,,Red Wave 2 (no promotion until grammar questions rule)
Dimmiest,Pixie far Double Down,Pixie,Double Down,3,,Red Wave 2 (no promotion until grammar questions rule)
"DLO (""dee-ell-oh"")",(downtime) Miraging far Legover,,"Mirage, Legover",2,"Double Legover is not to be confused with DSO, which is a double-dex Legover",Red Wave 2 (no promotion until grammar questions rule)
DOD/Double Over Down,Toe near Double Down,,Double Down,2,,Red Wave 2 (no promotion until grammar questions rule)
Double Down,double-dex Butterfly,,Double Down,2,,Red Wave 2 (no promotion until grammar questions rule)
Dragon,Xbd Outside Stall,,,,,Red Wave 2 (no promotion until grammar questions rule)
DSO,double-dex Legover,,DSO,2,,Red Wave 2 (no promotion until grammar questions rule)
E-Walk,Frantic op Butterfly,Frantic,,,,Red Wave 2 (no promotion until grammar questions rule)
Enterrage,"Terraging Legover, (midtime) Toe near Flurry",,,3,,Red Wave 2 (no promotion until grammar questions rule)
Fairy (archaic),Midtime Toe near Illusion,,,,,Red Wave 2 (no promotion until grammar questions rule)
Fairy Beater,Fairy far Butterfly,Fairy,Butterfly,2,,Red Wave 2 (no promotion until grammar questions rule)
Fear,Fairy far Mirage,Fairy,Mirage,2,,Red Wave 2 (no promotion until grammar questions rule)
Fission,Barraging far Illusion,Barraging,Illusion,3,,Red Wave 2 (no promotion until grammar questions rule)
Flare,Symp. Whirling far Mirage,Symp. Whirling,Mirage,2,,Red Wave 2 (no promotion until grammar questions rule)
Frankenstein,"Fairy near Swirling near Swirl, Phasing near Swirl, Fairy Ripstein",Phasing,Swirl,3,,Red Wave 2 (no promotion until grammar questions rule)
Fudge,Fairy far Illusion,Fairy,Illusion,2,,Red Wave 2 (no promotion until grammar questions rule)
"GDLO (""gee-dee-ell-oh"")",Gyro DLO,Spinning,DLO,2,,Red Wave 2 (no promotion until grammar questions rule)
Genesis,Barraging far Whirl,Barraging,Whirl,3,,Red Wave 2 (no promotion until grammar questions rule)
Ghost,Whirling Rake,,,,,Red Wave 2 (no promotion until grammar questions rule)
Golden Shower,Stepping Ducking far Symp. Eggbeater,Stepping,Symp. Eggbeater,3,,Red Wave 2 (no promotion until grammar questions rule)
Green Eggs and Ham,Stepping Ducking far Swivel,Stepping,Symp. Twirl,2,,Red Wave 2 (no promotion until grammar questions rule)
Grifter,(downtime) Illusioning far Clipper,,Grifter,1,,Red Wave 2 (no promotion until grammar questions rule)
GYBAS/Grab Your Balls and Squeeze,Stepping far Dyno,Stepping,Dyno,2,,Red Wave 2 (no promotion until grammar questions rule)
Heart,Frantic far Double Down Swirl,,,5,,Red Wave 2 (no promotion until grammar questions rule)
Icarus,Atomic Ducking far Torque,,,2,,Red Wave 2 (no promotion until grammar questions rule)
Id,"Atomic Ducking far Double Down, Alpine Fusion",,,,,Red Wave 2 (no promotion until grammar questions rule)
Irish Cream,"Atomic Gyro Torque, Tapping Mobius",,,2,,Red Wave 2 (no promotion until grammar questions rule)
Jackknife,"Stepping Diving ss Butterfly, Alpine Sidewalk",,,2,,Red Wave 2 (no promotion until grammar questions rule)
"Janiwalker (""johnny walker"")",Barraging far Butterfly,Barraging,Butterfly,3,,Red Wave 2 (no promotion until grammar questions rule)
Johnny Vodka,Pixie Mobius,,,,,Red Wave 2 (no promotion until grammar questions rule)
Kilo,Miraging Kilo,,,3,,Red Wave 2 (no promotion until grammar questions rule)
King Koopa,"Spinning Ducking far Symp.Torque, Alpine Super Mario",,,1,,Red Wave 2 (no promotion until grammar questions rule)
Kiwi,Tapping Double Down,Atomic,,,,Red Wave 2 (no promotion until grammar questions rule)
Lawn Moir,Slicing far Butterfly,Slicing,Butterfly,,,Red Wave 2 (no promotion until grammar questions rule)
Legbreaker,"Flailing far Butterfly, Symp. Atomic far Butterfly",Flailing,,2,,Red Wave 2 (no promotion until grammar questions rule)
Leviathon,Stepping Ducking far Double Down,Stepping,Symp. Double Down,3,,Red Wave 2 (no promotion until grammar questions rule)
Locomotion,Stepping far Motion,Stepping,Motion,3,,Red Wave 2 (no promotion until grammar questions rule)
Mama Curve,(downtime) Illusioning far Symp. Butterfly,,,2,,Red Wave 2 (no promotion until grammar questions rule)
Massacre,(downtime) Illusioning Flail,,,2,,Red Wave 2 (no promotion until grammar questions rule)
Merlin,(downtime) Miraging Symp.Mirage,,,2,,Red Wave 2 (no promotion until grammar questions rule)
Moby Dick,"Mobiusscrew, Gyro Torquescrew",,,2,,Red Wave 2 (no promotion until grammar questions rule)
Mofly,(downtime) Miraging far Symp. Double Down,,,3,,Red Wave 2 (no promotion until grammar questions rule)
Monster,Symp. Swirling Gyro Inside,,,,,Red Wave 2 (no promotion until grammar questions rule)
Mortal Kombat,Stepping Ducking far Grifter,Stepping,Grifter,2,,Red Wave 2 (no promotion until grammar questions rule)
Motion,Double Down near Osis,,Motion,2,,Red Wave 2 (no promotion until grammar questions rule)
Motion Sickness,Spinning far Motion,Spinning,Motion,2,,Red Wave 2 (no promotion until grammar questions rule)
Motorfly,,,,,,Red Wave 2 (no promotion until grammar questions rule)
Nallegam,Fairy near Pickup,Fairy,Pickup,2,Name and trick are a mirror of Magellan,Red Wave 2 (no promotion until grammar questions rule)
Nebula,Barraging far DLO,Barraging,DLO,4,,Red Wave 2 (no promotion until grammar questions rule)
Nemosis,"Barraging far Motion, Nemesis Osis",Barraging,Motion,4,,Red Wave 2 (no promotion until grammar questions rule)
Pandora's Box,Gyro Pickup,,,1,,Red Wave 2 (no promotion until grammar questions rule)
Paratoxic,Pdx. Toxic,,,2,,Red Wave 2 (no promotion until grammar questions rule)
Phobia,"Fairy Mobius, Fairy Gyro Torque",Fairy Spinning,Torque,2,,Red Wave 2 (no promotion until grammar questions rule)
Pixie (archaic),Midtime Toe near Mirage,,,,,Red Wave 2 (no promotion until grammar questions rule)
PLO,Pixie far Legover,Pixie,Legover,2,,Red Wave 2 (no promotion until grammar questions rule)
POD,"Pixie DOD, Pixie near Double Down",Pixie,Double Down,3,,Red Wave 2 (no promotion until grammar questions rule)
Porque,Pixie Torque,Pixie,Torque,2,,Red Wave 2 (no promotion until grammar questions rule)
Quark,Quantum far Torque,Quantum,Torque,2,,Red Wave 2 (no promotion until grammar questions rule)
Rage,"BS Fury, (uptime) Baragging far Symp. Mirage",Symp. Barraging,Mirage,3,,Red Wave 2 (no promotion until grammar questions rule)
Revstein,double-dex Twist,,,2,,Red Wave 2 (no promotion until grammar questions rule)
Revup,(downtime) Twisting near Pickup,,,2,,Red Wave 2 (no promotion until grammar questions rule)
Ripcurl,"Stepping near Butterfly Swirl, Sidewalk Swirl",Stepping,,2,,Red Wave 2 (no promotion until grammar questions rule)
Riptide,"Stepping far Butterfly Swirl, Ripwalk Swirl",Stepping,,2,,Red Wave 2 (no promotion until grammar questions rule)
Rotor,(downtime) Swirling Gyro Inside Stall,,,,,Red Wave 2 (no promotion until grammar questions rule)
Shaft,"Clipper near Symp. Double Down, Symp. DDD",,Symp. Double Down,2,,Red Wave 2 (no promotion until grammar questions rule)
Shooting Star,"Shooting far Double Down, Pogo Nuclear far Double Down",,,4,"first 4-dex, but controversial about cleanliness",Red Wave 2 (no promotion until grammar questions rule)
Sidewinder,"Fairy Spinning near Barraging far Buterfly, Fairy Gyro Janiwalker",,,4,,Red Wave 2 (no promotion until grammar questions rule)
Sidwalk,Stepping near Butterfly,Stepping,Butterfly,2,,Red Wave 2 (no promotion until grammar questions rule)
Skullsmasher,"Atomic Ducking far Mirage, Alpine Atomsmasher",,,2,,Red Wave 2 (no promotion until grammar questions rule)
Slapdown,Quantum near Butterfly,Quantum,Butterfly,2,,Red Wave 2 (no promotion until grammar questions rule)
Snowflake,Drifter Rake,,,1,,Red Wave 2 (no promotion until grammar questions rule)
Spanishfly,Clipper Ducking far Double Down,,Double Down,2,,Red Wave 2 (no promotion until grammar questions rule)
Spikehammer,Stepping Ducking Mirage,Stepping,Mirage,2,"Intended to be named ""Spy Camera"" but misheard as ""Spikehammer""",Red Wave 2 (no promotion until grammar questions rule)
Sunilwalk,Barraging near Butterfly,Barraging,Butterfly,3,,Red Wave 2 (no promotion until grammar questions rule)
Super Ego,Atomic Ducking Blender,Atomic,Blender,2,,Red Wave 2 (no promotion until grammar questions rule)
Super Mario,"Spinning far Symp. Torque, Symp. Marius",,,1,,Red Wave 2 (no promotion until grammar questions rule)
Superdeeduperfly,"Spinning Ducking Superfly, Alpine Superduperfly",Spinning,Symp. Double Down,2,,Red Wave 2 (no promotion until grammar questions rule)
Superduperfly,Spinning Superfly,Spinning,Symp. Double Down,2,,Red Wave 2 (no promotion until grammar questions rule)
Swifter,Stepping far Swirl,Stepping,Swirl,2,"Somtimes used to refer to ""Drifter Swirl"", but usually ""Stepping far Swirl""",Red Wave 2 (no promotion until grammar questions rule)
Swirlwind,"Spinning far Symp. Whirling Swirl, Whirlwind Swirl",,,2,,Red Wave 2 (no promotion until grammar questions rule)
Swivel,Symp. Twirl,,Symp. Twirl,1,,Red Wave 2 (no promotion until grammar questions rule)
TATW/Triple ATW,triple-dex ATW,,,3,,Red Wave 2 (no promotion until grammar questions rule)
Terrawhirl,"Toe midtime near Whirr, Terraging near Clipper",,,,,Red Wave 2 (no promotion until grammar questions rule)
Tobius,"Toe Mobius, Toe Spinning near Torque",Spinning,Torque,1,,Red Wave 2 (no promotion until grammar questions rule)
Torch-R-Rack,"Stepping far Symp. Double Down, BS Blurriest",Stepping,Symp. Double Down,3,,Red Wave 2 (no promotion until grammar questions rule)
Torquescrew,"Torque Dyno, (downtime) Miraging Dyno",,,2,,Red Wave 2 (no promotion until grammar questions rule)
Toxic,(downtime) Miraging far Symp. Whirl,,,2,,Red Wave 2 (no promotion until grammar questions rule)
Triage,triple-dex Mirage,,,3,,Red Wave 2 (no promotion until grammar questions rule)
Trifly,Clipper far triple-dex Butterfly,,,3,,Red Wave 2 (no promotion until grammar questions rule)
Triple Switch,triple-dex Legover,,,3,,Red Wave 2 (no promotion until grammar questions rule)
TSO,triple-dex Legover,,,3,,Red Wave 2 (no promotion until grammar questions rule)
Twist,Rev. Swirl,,Twist,1,,Red Wave 2 (no promotion until grammar questions rule)
Vertigo,Clipper Ducking far Drifter,,Drifter,1,,Red Wave 2 (no promotion until grammar questions rule)
Void,Spinning far Drifter,Spinning,Drifter,1,,Red Wave 2 (no promotion until grammar questions rule)
Voodoo,"Clipper far (downtime) Miraging Symp. Mirage, Pdx. Merlin",,,2,,Red Wave 2 (no promotion until grammar questions rule)
Warp,"Warping Mirage, (uptime) Symp. Illusioning Illusioning Mirage, (uptime) Symp. Eggbeating Mirage",Warp,Mirage,3,,Red Wave 2 (no promotion until grammar questions rule)
Wauxspin,Butterfly Gyro Toe,,,,,Red Wave 2 (no promotion until grammar questions rule)
Whale Tail,Gryo DLO,Spinning,DLO,2,,Red Wave 2 (no promotion until grammar questions rule)
What!?,"Butterfly Symp. Twisting near Toe, Butterfly Symp. Blink",,"Butterfly, Symp. Blink",2,,Red Wave 2 (no promotion until grammar questions rule)
Whirlwalk,Whirling far Whirl,Whirling,Whirl,2,,Red Wave 2 (no promotion until grammar questions rule)
Whirlygig,Stepping far Symp. Whirl,Stepping,Symp. Whirl,2,,Red Wave 2 (no promotion until grammar questions rule)
Whirr,double-dex Whirl,,Whirl,2,,Red Wave 2 (no promotion until grammar questions rule)
