operator_or_primitive,fm_token_form,paradoxmoves_usage_count,paradox_class,modern_class,modern_db_slug,modern_add_bonus,doctrinal_alignment,red_question_candidate,notes
"paradox (PDX flag)","[PDX]",46 of 57 moves,structural-side-change-flag,operator-modifier,paradox,1,aligned,no,"Paradox flag explicit in 46 of 57 source moves. Used in compositional contexts; encodes side-change structurally. Modern doctrine: paradox is +1 body modifier — fully aligned"
"paradox-encoded-without-explicit-flag",(structural),11 of 57 moves,structural-implicit-paradox,operator-modifier,paradox,1,partial-aligned,yes,"11 moves use paradox in name but operational notation lacks [PDX] flag (e.g. Pogo Paradox Mirage, Voodoo, Paradox Blurry Whirl, Stepping Ducking Paradox Blender). Paradox is encoded structurally via leg-switch pattern. Red question: when is [PDX] flag explicit vs implicit?"
"symposium (no plant while)",(no plant while),12 of 57 moves,no-plant-element,operator-modifier,symposium,1,aligned,no,"(no plant while) parenthesized phrase consistent with FM source + Job 1995. Modern doctrine: symposium is +1 body modifier. Note: source uses lowercase + uppercase variants ((no plant while) vs (NO PLANT WHILE)) — casing inconsistency"
"pogo (interchangeable with no plant while)","(no plant while)",10 of 57 moves,no-plant-element-zero-add,operator-modifier,pogo,0,doctrinally-divergent,yes,"paradoxMoves uses 'Pogo' in trick names (Pogo Paradox Mirage, Pogo Paradox Barrage, etc.) BUT the operational notation uses (no plant while) — same token as symposium. Modern doctrine distinguishes pogo (+0) from symposium (+1). Source treats them as the same structural element. Red question: when does (no plant while) count as +0 (pogo) vs +1 (symposium)? Cross-references FM audit FRP-7"
"x-dex / xdex",(NOT explicit in 57 moves),0 of 57 source mentions,(not in source),operator-modifier,xdex,1,absent-from-source,no,"x-dex modifier NOT explicitly named in paradoxMoves source. The [XBD] flag (cross-body terminal) is present in 25+ moves but [XBD] is a terminal-position flag, not an x-dex operator. x-dex doctrine post-dates this source"
"atomic / quantum / pixie / fairy",(NOT mentioned in 57 moves),0,(not in source),set-primitive,various,1,absent-from-source,no,"Set primitives (atomic / quantum / pixie / fairy) NOT mentioned in paradoxMoves catalog. The source's set primitives are clip and toe (the basic stalls) — atomic operator postdates this source"
"barraging",(implicit in 'barrage' compounds),3 of 57 (Paradox Barrage Fury Blurrage),body-modifier,operator-modifier,barraging,1,aligned,no,"barraging element appears in 3 moves; operational form uses double dex structure rather than explicit token. Modern doctrine: barraging is +1 body modifier — aligned"
"ducking",DUCK [BOD],6 of 57 (Tomahawk Symposium-Tomahawk Avalanche Spike-Hammer Stepping-Ducking-Paradox-Blender Gauntlet),body-modifier,operator-modifier,ducking,1,aligned,no,"DUCK [BOD] token explicit. Modern doctrine: ducking is +1 body modifier — aligned"
"stepping (Blurry equivalence)",(implicit in 'Blurry X' / 'Stepping X' folk names),11+ of 57,operator-modifier,operator-modifier,stepping,1,aligned,no,"Source explicitly uses 'Blurry X (Stepping Paradox X)' equivalence — confirms Red pt11 doctrine 'Blurry = Stepping Paradox'. Stepping is +1 body modifier — aligned"
"spinning (back-spin)",(back) SPIN [BOD],14+ of 57,rotation-element,operator-modifier,spinning,1,partial-aligned,yes,"Source uses (back) SPIN axis consistently for spinning. Modern doctrine: spinning is +1 modifier (full-turn axis). Cross-references FM audit FRP-5 + Job audit RP-6 (back/front axis vs full/half axis)"
"inspinning (front-spin)",(front) SPIN [BOD],2 of 57 (Inspinning Paradox Illusion Inspinning Paradox Mirage),rotation-element,operator-modifier,(NOT in modifier table),(implicit +1),unsettled-doctrine,yes,"Source uses (front) SPIN for 'Inspinning' compounds. Modern doctrine does NOT register 'inspinning' as a modifier. Cross-references the spinning/gyro axis question + Red question whether front-spin = inspinning"
"gyro",(implicit; back-spin in source),NOT explicit,rotation-element,operator-modifier,gyro,1,unsettled-doctrine,yes,"Source uses (back) SPIN both for spinning AND gyro contexts (no notational distinction in operational form). Compact readings sometimes say 'gyro' (e.g. Mobius = Gyro Torque per FM); paradoxMoves does not use 'gyro' in trick names. Doctrinal full/half-turn vs forward/backward axis question"
"miraging",(implicit in 'Paradox Miraging' compounds),1 of 57 (Paratoxic = Paradox Miraging Symposium Whirl),operator-modifier,operator-modifier,miraging,1,aligned,no,"Source uses 'Paradox Miraging' as operator stack in Paratoxic's compact reading. Modern doctrine: miraging is +1 body modifier — aligned"
"surging (= spinning + stepping)",(implicit in 'Surging X' folk compounds),2 of 57 (Surge Surreal),compound-operator,operator-compound,(not in modifier table),(spinning + stepping = +2 ADD effective),partial-aligned,no,"Source uses 'Surging X' as compact readings (Surge = Surging Paradox Mirage; Surreal = Surging Paradox Whirl). Modern doctrine: surging unpacks to spinning + stepping (per Red pt2 + 'Surging Modeling Rule' in CLAUDE.md). Aligned on doctrine; source is precedent"
"support-leg-plant-marker","(plant)",3 of 57 (Paradox Symposium Mirage CLIP (plant) PS Whirl CLIP (plant) Paradox Ripwalk [DEX] (plant) Whirlwind alt form),support-leg-marker,structural-marker,(NOT in modern grammar),0,divergent,yes,"Source uses '(plant)' parenthesized marker in 3 moves to indicate explicit support-leg plant during the formula. Modern ATAM grammar §13 does NOT use a (plant) marker. Red question: should ATAM grammar adopt the (plant) marker for explicit support-leg-plant disambiguation?"
"swirling / swirl",OP BACK SWIRL [DEX],3 of 57 (Paradox Whirling Swirl Pogo Paradox Whirling Swirl Blurry Whirling Swirl),compound-element,structural-marker,swirling,1,partial-aligned,yes,"Source uses 'OP BACK SWIRL' as a compound token. Modern doctrine: swirling is +1 body modifier; swirl is a core atom. Source treats SWIRL as a dex-style action; unclear whether this aligns with modern modifier+atom distinction"
"reverse / rev",(NOT explicit; encoded structurally in Reverse Drifter etc.),1 of 57 (Royale = Paradox Reverse Drifter),direction-element,direction-reversal,(not in modifier table),0,absent-from-source,no,"Source uses 'Reverse Drifter' in Royale's compact reading. Modern doctrine: rev(+0) is positional direction marker (Red 2026-05-11). Source has 1 historical precedent for the framing"
"in/out dex direction tokens",IN / OUT,46+ of 57,direction-token,structural-marker,(none),0,aligned,no,"Universal direction-marker convention; aligned with FM + Job"
"same/op leg-anchor tokens",SAME / OP,46+ of 57,leg-anchor-relator,structural-marker,(none),0,aligned,no,"Universal leg-anchor convention; aligned with FM + Job"
"[DEX] flag",[DEX],100+ in 57 moves,structural-flag,structural-flag,(none),0,aligned,no,"Universal dex-action marker"
"[BOD] flag",[BOD],50+ in 57 moves,structural-flag,structural-flag,(none),0,aligned,no,"Universal body-action marker"
"[XBD] cross-body flag",[XBD],25+ of 57,terminal-flag,structural-flag,(none),0,aligned,no,"Universal cross-body terminal marker"
"[DEL] terminal delay flag",[DEL],57 of 57,terminal-flag,terminal-marker,(none),0,aligned,no,"Universal stall/delay terminal — present on every move"
