name,section,current_bucket,primary,flags,next_action,rationale,provisional_add,decomposition
Atomic Double Over Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Atomic Ducking far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Atomic far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Atomic far Symp. Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Atomic os Symposium Double Over Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Barraging far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Barraging near Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Barraging ss Double Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Clipper Ducking far Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Clipper far Symp. Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Clipper near Symp. Double Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Clipper set ss Symposium Double Over Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
DOD Reverse Swirl,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Double Down near Osis,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Fairy Spinning Double Over Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Flailing ss Symposium Double Over Down,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Frantic far Double Down Swirl,doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,positional_variant|verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
Gyro Shooting Double Down (Gyro Shooting Star),doctrine,Doctrine cluster: dod-ddd,Needs Curator Review,verification_needed,Curator verifies down-family decomposition (DOD vs DDD; down structure),"down-family terminal; structure understood, per-trick verification pending",,
