operator_token,curator_status,fm_observed_count,pb_observed_count,total_observed_count,evidence_class,note
pixie,locked,39,27,66,high_recurrence,
symposium,locked,57,0,57,high_recurrence,
ducking,locked,46,10,56,high_recurrence,
spinning,locked,24,23,47,high_recurrence,
ss,locked,38,7,45,high_recurrence,Red 2026-05-11 ruling: +0 ADD
stepping,locked,25,20,45,high_recurrence,
paradox,locked,34,0,34,high_recurrence,
atomic,locked,22,7,29,high_recurrence,pt10 ruling: +1 non-rotational / +2 rotational
miraging,locked,13,10,23,high_recurrence,pt11 ruling: Miraging = Mirage + base composition
symp,locked,0,17,17,moderate_recurrence,
whirling,locked,12,5,17,moderate_recurrence,pt11 ruling: Whirling = Whirl + Osis composition
nuclear,locked,14,2,16,moderate_recurrence,pt10 ruling: Paradox Atomic set; FM-IFPA -1 delta on Nuclear-ss rows
quantum,locked,14,2,16,moderate_recurrence,
blurry,locked,15,0,15,moderate_recurrence,pt11 ruling: +1 flat; pt12 open on Blurry Whirl / Blurry Torque
tapping,locked,8,0,8,moderate_recurrence,
symple,locked,3,0,3,low_recurrence,
far,pending_red,14,27,41,high_recurrence,
near,pending_red,0,16,16,moderate_recurrence,
reverse,pending_red,14,2,16,moderate_recurrence,
set,pending_red,13,0,13,moderate_recurrence,
downtime,pending_red,0,11,11,moderate_recurrence,
sailing,pending_red,6,1,7,moderate_recurrence,FM Sets def: Pixie Atomic (recursive)
os,pending_red,6,0,6,moderate_recurrence,
op,pending_red,2,2,4,low_recurrence,
inspinning,pending_red,1,2,3,low_recurrence,
leaning,pending_red,3,0,3,low_recurrence,
midtime,pending_red,0,3,3,low_recurrence,
phasing,pending_red,3,0,3,low_recurrence,
frantic,pending_red,2,0,2,low_recurrence,
pogo,pending_red,0,2,2,low_recurrence,
slicing,pending_red,1,1,2,low_recurrence,FM polysemy: two distinct Sets-tab definitions; FM curation issue
uptime,pending_red,0,1,1,singleton,
fairy,q4_blocked,24,5,29,high_recurrence,Q4 batch; no IFPA add_bonus row
gyro,q4_blocked,20,8,28,high_recurrence,
barraging,q4_blocked,10,9,19,moderate_recurrence,FM-vocab Q4; recurrent but no IFPA add_bonus row
railing,q4_blocked,11,0,11,moderate_recurrence,
surging,q4_blocked,10,1,11,moderate_recurrence,
dragon,q4_blocked,8,0,8,moderate_recurrence,
flailing,q4_blocked,8,0,8,moderate_recurrence,
spyro,q4_blocked,8,0,8,moderate_recurrence,
furious,q4_blocked,6,0,6,moderate_recurrence,pt6 ruling on Fury=5; FM uses 'Furious Mirage' single-modifier reading
neutron,q4_blocked,5,0,5,moderate_recurrence,
blazing,q4_blocked,4,0,4,low_recurrence,
bubba,q4_blocked,4,0,4,low_recurrence,
terraging,q4_blocked,1,2,3,low_recurrence,
jolimont,q4_blocked,1,0,1,singleton,
smiling,q4_blocked,1,0,1,singleton,
splicing,q4_blocked,1,0,1,singleton,
surfing,q4_blocked,1,0,1,singleton,
twinspinning,q4_blocked,1,0,1,singleton,
double,quantifier,67,19,86,high_recurrence,
triple,quantifier,6,0,6,moderate_recurrence,
triple-dex,quantifier,0,4,4,low_recurrence,
double-dex,quantifier,0,3,3,low_recurrence,
toe,surface,11,20,31,high_recurrence,
clipper,surface,7,12,19,moderate_recurrence,
inside,surface,0,5,5,moderate_recurrence,
xbd,surface,2,2,4,low_recurrence,
