trick_name,source,claimed_formula_or_description,claimed_add,reason_not_in_ifpa_dictionary,status,next_step
Atomic Illusion,footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Atomic Illusion (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Atomic Legover (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Atomic Pickup (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Barrage (toe set),footbagmoves,Clipper set Double Mirage,3,curator review needed,missing_needs_curator,curator_review
Bubba Beater,footbagmoves,Bubba Legover,3,curator review needed,missing_needs_curator,curator_review
Butterfly (same side),footbagmoves,,3,formula unclear,missing_insufficient_evidence,curator_review
Alex Zerbe is the greatest,footbagmoves,Spyro Symple Drifter,4,curator review needed,missing_needs_curator,curator_review
Arcwalk,footbagmoves,Arctic Butterfly,4,curator review needed,missing_needs_curator,curator_review
Assassin,footbagmoves,Pixie Ducking Mirage,4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Atomic Butterfly (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Atomic Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Atomic ss Osis,footbagmoves,Tapping Osis,4,curator review needed,missing_needs_curator,curator_review
Blaze,footbagmoves,Blazing Mirage,4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Bling Blang,footbagmoves,Whirling Reverse Whirl,4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Blister,footbagmoves,Whirling Gyro Mirage,4,curator review needed,missing_needs_curator,curator_review
Blizzard,footbagmoves,Blurry Illusion,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Butterfly Swirl,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Butterfly Swirl (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Buttersole,footbagmoves,Butterfly Flapper,4,curator review needed,missing_needs_curator,curator_review
Cascade,footbagmoves,Ducking Double Legover,4,curator review needed,missing_needs_curator,curator_review
Casket,footbagmoves,Fairy ss Drifter,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Diving Butterfly,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Diving Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Double Over Down,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Double Spinning Clipper,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Double Spinning Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Down Double Down,footbagmoves,Clipper set ss Double Over Down,4,curator review needed,missing_needs_curator,curator_review
Dragonstein,footbagmoves,Double Swirl Dragon,4,curator review needed,missing_needs_curator,curator_review
Ducking Pdx Illusion,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Ducking Pdx Mirage,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Dyno (far),footbagmoves,Reverse Blender,4,curator review needed,missing_needs_curator,curator_review
Dyno (same side),footbagmoves,Reverse Blender,4,curator review needed,missing_needs_curator,curator_review
Enterrage,footbagmoves,Terraging Legover,4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Fairy Beater,footbagmoves,Fairy Butterfly,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Fairy Ducking Legover,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Fairy Ducking Pickup,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Fairy Eggbeater,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Fairy ss Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Fairy Symposium Mirage,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Fairy Symposium Mirage,footbagmoves,Fairy Flail,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Fairy Symposium Mirage (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Fairy Symposium Mirage (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Fairy Whirl (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Far Dyno,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Feral,footbagmoves,Fairy Whirl,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Ferocious,footbagmoves,Fairy Osis,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Flaming Homer,footbagmoves,Fairy ss Eggbeater,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Flaming Tard,footbagmoves,Stepping Eggbeater,4,curator review needed,missing_needs_curator,curator_review
Flipwalk,footbagmoves,Dragon set Stepping op Firewalk,4,curator review needed,missing_needs_curator,curator_review
Flog,footbagmoves,Fairy Double Legover,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Flux,footbagmoves,Reverse Torque,4,parser cannot safely represent yet,missing_insufficient_evidence,curator_review
Freak,footbagmoves,Fairy Crossbody Rake,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Fume,footbagmoves,Fairy Drifter,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Furnace,footbagmoves,Hopover Swirl Dragon,4,curator review needed,missing_needs_curator,curator_review
Glaucoma,footbagmoves,Fairy ss Double Legover,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Guillotine,footbagmoves,Fairy Ducking Mirage,4,awaiting Red/SME confirmation,missing_needs_red,queue_post_red
Gyro Butterfly,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Gyro DLO,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Gyro Osis,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Gyro Whirl,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Hurl,footbagmoves,Nuclear ss Whirl,4,curator review needed,missing_needs_curator,curator_review
Inspinning Butterfly,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Johny Quest,footbagmoves,Neutron Mirage,4,curator review needed,missing_needs_curator,curator_review
Leaning Jowler,footbagmoves,Leaning ss Mirage,4,curator review needed,missing_needs_curator,curator_review
Legfreezer,footbagmoves,Frozen Butterfly,4,curator review needed,missing_needs_curator,curator_review
Little Apple,footbagmoves,Spyro Symposium Mirage,4,curator review needed,missing_needs_curator,curator_review
Mantis,footbagmoves,Gyro Eggbeater,4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Maverick,footbagmoves,Pixie ss Osis,4,curator review needed,missing_needs_curator,curator_review
MXZYPTLK,footbagmoves,Bubba Butterfly,4,curator review needed,missing_needs_curator,curator_review
Neutron Smasher,footbagmoves,Neutron Mirage,4,curator review needed,missing_needs_curator,curator_review
Nova,footbagmoves,Symposium Double Legover,4,covered under different canonical name pending curator review,missing_safe_to_add,curator_review_for_addition
Nuclear Illusion,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Nuclear Illusion (same side),footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
Nuclear Legover,footbagmoves,,4,formula unclear,missing_insufficient_evidence,curator_review
