id,subject,discrepancy_class,source_form,modern_doctrine,resolution_recommendation,risk,curator_action,notes
AD-1,flag-count-equals-ADD doctrine,doctrine-confirmation,"'Each of the following is what makes up the technical difficulty of a freestyle move. Each of these is equal to one Add (element of difficulty).'",Modern uses modifier-stack math which is a pedagogical layer on top of flag counts,document the flag-count doctrine as foundational,Low (doctrinally confirmed),document,"CRITICAL FOUNDATIONAL DOCTRINE: flag-count = ADD count. Modifier-stack math is consistent IF flag contributions are correctly modeled. When divergent flag count is canonical per source"
AD-2,5 ADD categories taxonomy,doctrine-confirmation,"DELAY DEXTERITY UNUSUAL SURFACE BODY CROSS BODY",Modern operational notation flags directly map: [del] [dex] [uns] [bod] [xbd],document the 5-category taxonomy as foundational glossary content,Low (doctrinally confirmed),document,"23-year doctrinal continuity. The 5 categories are the canonical building blocks of all ADD math"
AD-3,Pogo ADD value (source vs Red pt5),doctrine-divergence-reconcilable,"Source: pogo 'usually worth 2 adds more than its non-pogo namesake'","Modern Red pt5: pogo=+0/+0 set modifier","surface as Red Wave 2 with reconciliation explanation","HIGH",red-question,"CRITICAL FINDING explaining 5-compound +1 ADD divergence from paradoxMoves PD-2. Source counts structural contribution (+1 dex + +1 body from symposium element); modern modifier value represents 0 INCREMENT because the dex and body are already counted via operational flags. The 4-audit cross-cutting pogo/symposium question has a resolution path here"
AD-4,Slur concept (missing from modern doctrine),missing-concept,"Source: 'when this happens its a Slur which is only worth one add' (failed pogo without bag-release before dex)",Modern: 'slur' NOT in modifier table OR canonical tricks,"surface as Red Wave 2: add slur as +1 modifier or canonical?",Low,red-question,"NEW concept worth surfacing. Pedagogically interesting (failed-pogo vs true-pogo distinction)"
AD-5,Stomping concept (missing from modern doctrine),missing-concept,"Source: 'Stomping = planting both feet at once after setting the footbag then executing the desired move'",Modern: NOT in modifier table; NOT in modifier_type enum,"surface as Red Wave 2: add stomping as a body modifier?",Medium,red-question,"NEW concept. Source provides worked example ('Stomping Double Leg-Over'). Could be a body modifier (involves a body action)"
AD-6,UNS surface tokens grammar gap,operational-grammar-gap,Source defines [UNS] flag for 'any surface besides toes insteps outsteps and knees',Modern operational notation typically does NOT include explicit [UNS] flag — uses surface tokens (PINCH DRAGON FRIGIDOSIS) instead,"surface as ATAM grammar question: should [UNS] flag be standardized? Or absorbed into surface tokens?",Medium,review,"Modern grammar diverges from source's 5-category strict-flag-mapping. Cross-references footbag-sets UNS section"
AD-7,Down Diver Down trick (missing canonical),missing-canonical-row,Source explicit example: 'Down Diver Down' trick = 'Down Double Down with dive under bag before double dex',Modern: NOT in DB,"curator decision: canonicalize down-diver-down?",Low,red-question,"Cross-references Job audit's 'Double Over Down' canonicalization question (Job RP-4). Source provides another data point for that question"
AD-8,Pogo as 'Clipper set Symposium Mirage' structural framing,doctrinal-pattern,"Source: 'Pogo = Clipper set Symposium Mirage done in front of another move'",Modern: pogo=+0 modifier (no structural composition framing),document the structural framing as historical-precedent,Low,document,"Source explicitly identifies pogo as a Clipper-Symposium-Mirage compound prefix. Aligns with footbag-sets audit SW2-5 finding"
AD-9,Pixie 'directly following toe set' timing constraint,doctrinal-pattern,"Source: pixie = 'quick inside-out dexterity DIRECTLY FOLLOWING a set from a toe stall'",Modern: pixie modifier value +1 (no explicit timing constraint),document the uptime-immediately-after-toe-set timing as canonical,Low,document,"Source establishes pixie's TIMING constraint: dex happens immediately after toe set (= uptime). Reinforces user's 2026-05-19 uptime-vs-midtime distinction"
AD-10,Ducking/Diving same-side-vs-other-side structural distinction,doctrinal-pattern,"Source: Ducking = OTHER side; Diving = SAME side",Modern: both treated as +1/+1 body modifier without distinction,document the structural side-distinction; possible glossary content,Low,document,"Modern modifier values don't preserve the structural distinction. Useful pedagogical content for glossary §3 or §6"
