example_name,normalized_name,ifpa_slug,ifpa_exists,ifpa_compact_notation,ifpa_chain_reading,ifpa_operational_notation,ifpa_adds,source_adds,agreement_status,discrepancy_type,curator_action,notes
Pixie,pixie,pixie,yes,PIXIE,(none),(none),2,2,exact_agreement-dual-identity-confirmed,missing-ifpa-operational,"author IFPA operational notation: TOE > SAME IN [DEX] > OP TOE [DEL]","CRITICAL: Confirms user's dual identity doctrinal claim. pixie has DB row at 2 ADD (category='set') AND modifier-table entry at +1 add_bonus"
Terrage (Double Pixie),terrage,terrage,yes,(none),(none),(none),4,3,ADD_disagreement,ADD-divergence-1,"surface as Red Wave 2: source ADD=3 vs DB ADD=4 for Terrage. Cross-references multiplier doctrine audit MR-2d","HIGH SEVERITY: Source confirms 'Terrage = Double Pixie = 3 ADD' = pixie(2) + pixie(+1). DB has terrage at 4 ADD. Also note: DB has terraging at 3 ADD (separate row) AND terraging at +3 modifier (potentially conflated)"
Smudge (Pixie Illusion),smudge,smudge,yes,(none),pixie illusion,(none),3,3,exact_agreement,missing-ifpa-operational,"author IFPA operational notation","Red pt7-locked. Quick-win"
Smear (Pixie Mirage),smear,smear,yes,PIXIE MIRAGE,pixie mirage,(none),3,3,exact_agreement,missing-ifpa-operational,"author IFPA operational notation","Compact notation populated; operational gap. Quick-win"
Pixie Opposite Clipper,pixie-opposite-clipper,pixie-opposite-clipper,no,(none),(none),(none),—,3,missing_canonical_row,missing-canonical,"curator decision: canonicalize pixie-with-clipper-terminal variants?","Structurally derivable: pixie(+1) + clipper(2) terminal = 3 ADD"
Pixie Same Clipper,pixie-same-clipper,pixie-same-clipper,no,(none),(none),(none),—,3,missing_canonical_row,missing-canonical,"curator decision","Same-leg clipper terminal variant"
Magellan (Pixie Same Legover),magellan,magellan,yes,(none),pixie legover,(none),3,3,exact_agreement,missing-ifpa-operational,"author IFPA operational notation","Chain reading Red 2026-05-15 ratified (near/same-side=+0). Quick-win"
Pixie Same Side Illusion,pixie-same-side-illusion,pixie-same-side-illusion,no,(none),(none),(none),—,3,missing_canonical_row,missing-canonical,"curator decision","Same-side variant of Smudge"
Pixie Leg Over,pixie-leg-over,pixie-leg-over,no,(none),(none),(none),—,3,missing_canonical_row,missing-canonical,"curator decision","Note: uses OP IN/OUT alternation marker"
Symposium Pixie,symposium-pixie,symposium-pixie,no,(none),(none),(none),—,3,missing_canonical_row,missing-canonical,"curator decision","Math: symposium(+1) + pixie(2) = 3"
Smog (Pixie Double Legover),smog,smog,yes,(none),pixie double legover,(none),4,4,exact_agreement,missing-ifpa-operational,"author IFPA operational notation","Red pt7-locked. Quick-win"
Pixie Eclipse,pixie-eclipse,pixie-eclipse,no,(none),(none),(none),—,4,missing_canonical_row-NEW-grammar,missing-canonical-with-NEW-jump-land-tokens,"surface as Red Wave 2: NEW (JUMP) [BOD] + SAME INSIDE [DEL] + (LAND) operational tokens","UNIQUE: First source-corpus example of jump-land timing markers. Source uses INTERMEDIATE stall (SAME INSIDE [DEL]) before continuing — unusual in operational grammar"
Dimwalk (Pixie Opposite Side Butterfly),dimwalk,dimwalk,yes,(none),pixie butterfly (curatorConfirmPending true),(none),4,4,exact_agreement,missing-ifpa-operational,"author IFPA operational notation","Quick-win. Chain reading curator-confirm pending — see Parkwalk note"
Parkwalk (Pixie Same Side Butterfly),parkwalk,parkwalk,yes,(none),pixie butterfly (curatorConfirmPending true),(none),4,4,partial_agreement-chain-reading-conflict,chain-reading-conflict-with-dimwalk,"surface as Red Wave 2: parkwalk and dimwalk read IDENTICALLY per chain registry ('pixie butterfly') but are DISTINCT rows in DB","Curator review pending: are parkwalk and dimwalk the same trick (alias) or distinct (Same Side vs Opposite Side qualifier)?"
Pixie Swirl,pixie-swirl,pixie-swirl,no,(none),(none),(none),—,4,missing_canonical_row,missing-canonical,"curator decision","Uses SAME/OP BACK SWIRL alternation token"
Backside Symposium Smear (Pixie Symposium Mirage),backside-symposium-smear,backside-symposium-smear,no,(none),(none),(none),—,4,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound. Math: pixie(+1) + symposium(+1) + mirage(2) = 4"
Pixie Whirl,pixie-whirl,pixie-whirl,no,(none),(none),(none),—,4,missing_canonical_row,missing-canonical,"curator decision","Flagged in workbook missing_ifpa_formula queue. Math: pixie(+1) + whirl(3) = 4"
Smoke (Pixie Drifter),smoke,smoke,yes,(none),pixie drifter,(none),4,4,exact_agreement,missing-ifpa-operational,"author IFPA operational notation","Red pt8-locked. Quick-win"
Pixie Double Over Down,pixie-double-over-down,pixie-double-over-down,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Cross-references Job audit 'Double Over Down' canonicalization question"
Pixie Paradon,pixie-paradon,pixie-paradon,no,(none),(none),(none),—,5,missing_canonical_row,missing-canonical,"curator decision","Math: pixie(+1) + paradon(4) = 5"
Yoda (Pixie Ripwalk),yoda,yoda,no,(none),(none),(none),—,5,missing_canonical_row-folk-name,missing-folk-canonical,"curator decision","Folk-named compound"
