slug,current_status,family,base_trick,modifiers,source_notation_canonical_bracket,source_notation_fm,source_notation_stanford,suggested_job,suggested_job_confidence,derived_from,parser_status,doctrine_risk,official_add,cohort
blurrage,canonical,barrage,barrage,,,Clip > Op In (DEX) >> Op In (DEX)(PDX) > Same In (DEX)(XDEX) > Op Toe (DEL),X-1.-1+1-Z,Clip > Op In (DEX) >> Op In (DEX)(PDX) > Same In (DEX)(XDEX) > Op Toe (DEL),fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-clean,low,4,other
drifter,canonical,clipper-stall,clipper-stall,,,,X.-1+X,<STANFORD:X.-1+X>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,low,3,clipper-descendants
ducking-clipper,canonical,clipper-stall,clipper-stall,ducking,,,Z^+X,<MOD:DUCKING> > [set] > clipper,medium,ducking prepended to clipper-stall JOB; curator chooses entry-position token,parser-clean,low,3,ducking
haze,canonical,double-leg-over,double-leg-over,stepping,,,X-1_.+1-0+Z,<MOD:STEPPING> > SET > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],medium,stepping prepended to double-leg-over JOB; curator chooses entry-position token,parser-clean,low,4,stepping
nova,canonical,legover,double-leg-over,symposium,,,Z.-!1-0+Z,<MOD:SYMPOSIUM> > SET > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],medium,symposium prepended to double-leg-over JOB; curator chooses entry-position token,parser-clean,low,4,symposium
paradox-double-leg-over,canonical,double-leg-over,double-leg-over,,,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],X.+1-0+Z,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-clean,low,4,stanford-double-dex
predator,canonical,double-leg-over,double-leg-over,,,Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),Z-0.-1-0+Z,Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),fm-authored,FM-format JOB from trackedNames; curator re-brackets for canonical-bracket form,parser-clean,low,4,other
reaper,canonical,clipper-stall,clipper-stall,,,,X.+0+0+Z,<STANFORD:X.+0+0+Z>,stanford-only,Stanford shorthand parseable; curator translates to canonical-bracket per token map,parser-clean,low,3,clipper-descendants
smog,canonical,double-leg-over,double-leg-over,pixie,,,Z+1.-1-0+Z,<MOD:PIXIE> > SET > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],medium,pixie prepended to double-leg-over JOB; curator chooses entry-position token,parser-clean,low,4,pixie
spinning-clipper,canonical,clipper-stall,clipper-stall,spinning,,,X.\+X,<MOD:SPINNING> > [set] > clipper,medium,spinning prepended to clipper-stall JOB; curator chooses entry-position token,parser-clean,low,3,spinning
