id,slug,discrepancy_class,fm_form,modern_db_form,resolution_recommendation,risk,curator_action,notes
D-1,clipper-stall,operational-form-difference,CLIP [XBD] [DEL],[set] > clipper,"surface to curator: which form is canonical for surface stalls — set-prefixed (current) or surface-with-flags (FM)?",Medium,review,"FM has 14 examples with bracketed flags on terminal; modern stall operational form uses [set] > token pattern. Two different conventions; both work for surface stalls but differ in approach"
D-2,blur,operational-token-difference-arrow,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],"surface to curator: is '>>' (modern double-arrow) the canonical stepping marker, or is single '>' between dexes sufficient (per FM)?",Medium,review,"'>>' between dexes is currently used in matador phoenix tripwalk blur. FM source does NOT use '>>'. Resolution affects how operational notation is authored going forward"
D-3,blur,operational-token-difference-flag-order,[PDX] [DEX] (modifier-before-action),[DEX] [PDX] (action-before-modifier),"surface to curator: which flag order is canonical — modifier-flag-first (FM) or action-flag-first (modern DB)?",Medium,review,"Tokens are the same; order differs. ATAM grammar §13 should specify. Currently inconsistent in modern DB (blur has [DEX] [PDX]; FM source has [PDX] [DEX])"
D-4,osis,operational-form-alternation-spin-direction,SET > (back or front) SPIN [BOD] > ...,(none),"resolve back/front spin alternation: pick canonical direction (per Osis base atom) OR preserve parenthetical alternate",Low,review,"FM allows both back-spin and front-spin for Osis. Modern doctrine likely picks one as canonical (probably back-spin since later compounds use it). Surface to curator for explicit choice"
D-5,osis,operational-form-alternation-terminal,... > SAME or OP CLIP [XBD] [DEL],(none),"resolve same/op terminal alternation: pick canonical OR preserve parenthetical alternate",Low,review,"FM allows both SAME CLIP and OP CLIP terminals. Modern operational notation typically picks one"
D-6,butterfly,operational-form-alternation-dex,SET > SAME or OP OUT [DEX] > ...,(none),"resolve same/op dex alternation: pick canonical OR preserve parenthetical alternate",Low,review,"Same alternation question for Butterfly base atom"
D-7,spinning-osis,operational-dual-form,"CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL] OR TOE > (back) SPIN [BOD] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]",(none),"pick canonical form for spinning osis: CLIP-start or TOE-start — or preserve both as variants",Low,review,"FM provides TWO complete alternate forms for Spinning Osis. Curator picks"
D-8,(operator),casing-inconsistency-parenthesized,(back) AND (BACK) both present in FM source,Modern: lowercase parenthesized,"adopt lowercase as canonical going forward (no row-level change needed)",Trivial,document,"FM source has inconsistent casing within the document; modern convention is lowercase. Just a documentation note"
D-9,gyro / spinning,doctrinal-axis-divergence,(back) SPIN vs (front) SPIN,gyro (half-turn 180°) vs spinning (full-turn 360°),"surface as Red Wave 2 question: are FM (back/front axis) and modern (full/half axis) the same distinction expressed differently or genuinely different?",High,red-question,"Already surfaced as RP-6 in Job audit. FM document confirms the same axis-divergence question with another data point (Osis base atom uses back/front, Mobius uses back only). Cross-reference: Job 1995 paper makes same distinction"
D-10,torque,compact-reading-divergence,Stepping Opposite Osis (FM),(modern DB has no compact for torque beyond TORQUE token; chain registry has 'miraging osis'),"surface to curator: should torque's chain reading be 'stepping opposite osis' (FM source) or 'miraging osis' (modern Red pt4-locked)?",Medium,red-question,"Both readings are structurally valid. Modern doctrine picked 'miraging' framing; FM source uses 'stepping' framing. Surface in Red Wave 2 as historical-precedent question (does FM's 'stepping' framing alter the doctrine?)"
D-11,ripwalk,compact-reading-divergence,Stepping Opposite Side Butterfly (FM),Stepping Butterfly (modern),"document FM-extended reading 'Stepping Opposite Side Butterfly' as historical-precedent for modern 'Stepping Butterfly'",Low,document,"Modern chain reading is a compressed version of FM's reading (FM has 'Opposite Side' qualifier). Modern compression is intentional and ratified by Red 2026-05-18 lede. Documentation only"
D-12,flying-clipper,missing-compact-notation,(none in FM),(none in DB),"author compact notation 'FLYING CLIPPER' for the DB row",Low,author,"FM source describes the move but provides no operational form; DB row also has both columns blank. Compact notation 'FLYING CLIPPER' would match the canonical naming convention"
