slug,canonical_name,adds,category,is_core,has_notation,has_op_notation,gap_status,reason
pogo,pogo,0,set,0,n,n,safe_not_written,set primitive — formula candidate exists; curator-pending publication
rooted,rooted,0,set,0,n,n,safe_not_written,set primitive — formula candidate exists; curator-pending publication
clipper,clipper,1,body,1,y,n,resolved,notation present
cloud-kick,cloud kick,1,body,0,y,y,resolved,notation present
flying-inside,flying inside,1,body,0,y,n,resolved,notation present
flying-outside,flying outside,1,body,0,y,n,resolved,notation present
forehead-stall,forehead stall,1,surface,0,n,y,resolved,notation present
head-stall,head-stall,1,surface,0,y,y,resolved,notation present
heel-stall,heel stall,1,surface,0,y,y,resolved,notation present
inside-stall,inside stall,1,surface,0,y,y,resolved,notation present
knee-stall,knee stall,1,surface,0,n,y,resolved,notation present
neck-stall,neck stall,1,surface,0,n,y,resolved,notation present
outside-stall,outside stall,1,surface,0,y,y,resolved,notation present
shoulder-stall,shoulder-stall,1,surface,0,n,y,resolved,notation present
sole-kick,sole kick,1,body,0,y,y,resolved,notation present
spin,spin,1,body,0,y,n,resolved,notation present
spyro,spyro,1,body,0,y,n,resolved,notation present
toe-stall,toe stall,1,surface,0,y,y,resolved,notation present
around-the-world,around the world,2,dex,1,y,n,resolved,notation present
atomic,atomic,2,set,0,y,n,resolved,notation present
clipper-stall,clipper stall,2,surface,0,y,y,resolved,notation present
cloud-stall,cloud stall,2,surface,0,n,y,resolved,notation present
double-spin,double spin,2,body,0,n,n,curator_pending,compound — formula derivable but not yet curator-published
dragonfly-kick,dragonfly kick,2,body,0,y,n,resolved,notation present
fairy,fairy,2,set,1,y,n,resolved,notation present
flying-clipper,flying clipper,2,body,0,n,n,curator_pending,flying-X primitive — see foundational_formula_gap_report_v2
furious,furious,2,set,0,y,n,resolved,notation present
guay,guay,2,dex,1,n,n,intentionally_atomic,core atom — formula visibility lives on landing CORE_TRICK_SPEC + /freestyle/add-analysis
hop-over,hop over,2,body,0,y,n,resolved,notation present
illusion,illusion,2,dex,1,y,n,resolved,notation present
knee-clipper,knee-clipper,2,surface,0,n,n,intentionally_atomic,surface stall — single primitive; no compositional formula
legover,legover,2,dex,1,y,n,resolved,notation present
mirage,mirage,2,dex,1,y,n,resolved,notation present
pendulum,pendulum,2,,0,y,y,resolved,notation present
pickup,pickup,2,dex,1,y,n,resolved,notation present
pixie,pixie,2,set,1,y,n,resolved,notation present
quantum,quantum,2,set,0,y,n,resolved,notation present
