name,slug,folk_equiv,folk_slug,folk_status,recommended_action
Blurry (Stepping Paradox),blurry-stepping-paradox,Stepping Paradox,stepping-paradox,absent,"KEEP doctrine-pending (blurry); folk ""Stepping Paradox"" not canonical"
Blurry Barfly Swirl (Blurriest Swirl),blurry-barfly-swirl-blurriest-swirl,Blurriest Swirl,blurriest-swirl,absent,"KEEP doctrine-pending (blurry); folk ""Blurriest Swirl"" not canonical"
Blurry Barrage (Blurrage),blurry-barrage-blurrage,Blurrage,blurrage,active,ALIAS candidate blurrage (active) BUT lead blocker still pending (blurry); resolve equivalence vs structure
Blurry Butterfly (Ripwalk),blurry-butterfly-ripwalk,Ripwalk,ripwalk,active,ALIAS candidate ripwalk (active) BUT lead blocker still pending (blurry); resolve equivalence vs structure
Blurry Butterfly Swirl (Riptide),blurry-butterfly-swirl-riptide,Riptide,riptide,absent,"KEEP doctrine-pending (blurry); folk ""Riptide"" not canonical"
Blurry Butterfly Swivel (Puree),blurry-butterfly-swivel-puree,Puree,puree,absent,"KEEP doctrine-pending (blurry); folk ""Puree"" not canonical"
Blurry Drifter (Stepping Paradox Drifter),blurry-drifter-stepping-paradox-drifter,Stepping Paradox Drifter,stepping-paradox-drifter,absent,"KEEP doctrine-pending (blurry); folk ""Stepping Paradox Drifter"" not canonical"
Blurry Ducking Barfly (Leviathan),blurry-ducking-barfly-leviathan,Leviathan,leviathan,absent,"KEEP doctrine-pending (blurry); folk ""Leviathan"" not canonical"
Blurry Ducking Butterfly (Ripped Warrior),blurry-ducking-butterfly-ripped-warrior,Ripped Warrior,ripped-warrior,active,ALIAS candidate ripped-warrior (active) BUT lead blocker still pending (blurry); resolve equivalence vs structure
Blurry Ducking Butterfly Swirl (Cyborg),blurry-ducking-butterfly-swirl-cyborg,Cyborg,cyborg,absent,"KEEP doctrine-pending (blurry); folk ""Cyborg"" not canonical"
Blurry Ducking Eggbeater (Golden Shower),blurry-ducking-eggbeater-golden-shower,Golden Shower,golden-shower,absent,"KEEP doctrine-pending (blurry); folk ""Golden Shower"" not canonical"
Blurry Ducking Illusion (Avalanche),blurry-ducking-illusion-avalanche,Avalanche,avalanche,active,ALIAS candidate avalanche (active) BUT lead blocker still pending (blurry); resolve equivalence vs structure
Blurry Ducking Mirage (Spike Hammer),blurry-ducking-mirage-spike-hammer,Spike Hammer,spike-hammer,active,ALIAS candidate spike-hammer (active) BUT lead blocker still pending (blurry); resolve equivalence vs structure
Blurry Ducking Motion (Syberian Express),blurry-ducking-motion-syberian-express,Syberian Express,syberian-express,absent,"KEEP doctrine-pending (blurry); folk ""Syberian Express"" not canonical"
Blurry Ducking Torque (Gauntlet),blurry-ducking-torque-gauntlet,Gauntlet,gauntlet,active,ALIAS candidate gauntlet (active) BUT lead blocker still pending (blurry); resolve equivalence vs structure
Blurry Ducking Voodoo (Hell Raiser),blurry-ducking-voodoo-hell-raiser,Hell Raiser,hell-raiser,absent,"KEEP doctrine-pending (blurry); folk ""Hell Raiser"" not canonical"
Blurry Dyno (Grab Your Balls And Squeeze),blurry-dyno-grab-your-balls-and-squeeze,Grab Your Balls And Squeeze,grab-your-balls-and-squeeze,absent,"KEEP doctrine-pending (blurry); folk ""Grab Your Balls And Squeeze"" not canonical"
Blurry Eggbeater (Bed Wetter),blurry-eggbeater-bed-wetter,Bed Wetter,bed-wetter,absent,"KEEP doctrine-pending (blurry); folk ""Bed Wetter"" not canonical"
Blurry Flail (Backside Blizzard),blurry-flail-backside-blizzard,Backside Blizzard,backside-blizzard,absent,"KEEP doctrine-pending (blurry); folk ""Backside Blizzard"" not canonical"
Blurry Illusion (Blizzard),blurry-illusion-blizzard,Blizzard,blizzard,active,ALIAS candidate blizzard (active) BUT lead blocker still pending (blurry); resolve equivalence vs structure
Blurry Mirage (Blur),blurry-mirage-blur,Blur,blur,active,ALIAS candidate blur (active) BUT lead blocker still pending (blurry); resolve equivalence vs structure
Blurry Motion (Locomotion),blurry-motion-locomotion,Locomotion,locomotion,absent,"KEEP doctrine-pending (blurry); folk ""Locomotion"" not canonical"
Blurry Osis (Crispy Torque),blurry-osis-crispy-torque,Crispy Torque,crispy-torque,absent,"KEEP doctrine-pending (blurry); folk ""Crispy Torque"" not canonical"
Blurry PS Whirling XBD Rake (Warlock) (Sasquatch),blurry-ps-whirling-xbd-rake-warlock-sasquatch,Warlock,warlock,absent,"KEEP doctrine-pending (blurry); folk ""Warlock"" not canonical"
Blurry Symposium Mirage (Backside Blur),blurry-symposium-mirage-backside-blur,Backside Blur,backside-blur,absent,"KEEP doctrine-pending (blurry); folk ""Backside Blur"" not canonical"
Blurry Symposium Whirl (Stepping Paradox Symposium Whirl),blurry-symposium-whirl-stepping-paradox-symposium-whirl,Stepping Paradox Symposium Whirl,stepping-paradox-symposium-whirl,absent,"KEEP doctrine-pending (blurry); folk ""Stepping Paradox Symposium Whirl"" not canonical"
Blurry Symposium Whirl (Whirlygig),blurry-symposium-whirl-whirlygig,Whirlygig,whirlygig,absent,"KEEP doctrine-pending (blurry); folk ""Whirlygig"" not canonical"
Blurry Whirling Swirl (Stepping Paradox Whirling Swirl),blurry-whirling-swirl-stepping-paradox-whirling-swirl,Stepping Paradox Whirling Swirl,stepping-paradox-whirling-swirl,absent,"KEEP doctrine-pending (blurry); folk ""Stepping Paradox Whirling Swirl"" not canonical"
Blurry Zulu Blender (Odula),blurry-zulu-blender-odula,Odula,odula,absent,"KEEP doctrine-pending (blurry); folk ""Odula"" not canonical"
Dragon Blurry Butterfly Dragon (Flipwalk),dragon-blurry-butterfly-dragon-flipwalk,Flipwalk,flipwalk,absent,"KEEP doctrine-pending (dragon); folk ""Flipwalk"" not canonical"
Furious Butterfly (Jani Walker),furious-butterfly-jani-walker,Jani Walker,jani-walker,active,ALIAS-WIRE to jani-walker (active); not doctrine
Furious Butterfly Swirl (Tsunami),furious-butterfly-swirl-tsunami,Tsunami,tsunami,absent,"NEW-ROW or alias review; folk ""Tsunami"" (slug tsunami) not yet active, operator resolved"
Furious DLO (Nebula),furious-dlo-nebula,Nebula,nebula,active,ALIAS-WIRE to nebula (active); not doctrine
Furious Eggbeater (Clown Face),furious-eggbeater-clown-face,Clown Face,clown-face,active,ALIAS-WIRE to clown-face (active); not doctrine
Furious Illusion (Fission),furious-illusion-fission,Fission,fission,absent,"NEW-ROW or alias review; folk ""Fission"" (slug fission) not yet active, operator resolved"
Furious Mirage (Fury),furious-mirage-fury,Fury,fury,active,ALIAS-WIRE to fury (active); not doctrine
Furious Symposium Eggbeater (Walrus),furious-symposium-eggbeater-walrus,Walrus,walrus,absent,"NEW-ROW or alias review; folk ""Walrus"" (slug walrus) not yet active, operator resolved"
Furious Symposium Mirage (Rage),furious-symposium-mirage-rage,Rage,rage,active,ALIAS-WIRE to rage (active); not doctrine
Furious Whirl (Genesis),furious-whirl-genesis,Genesis,genesis,active,ALIAS-WIRE to genesis (active); not doctrine
Gyro Shooting Double Down (Gyro Shooting Star),gyro-shooting-double-down-gyro-shooting-star,Gyro Shooting Star,gyro-shooting-star,absent,"KEEP doctrine-pending (gyro); folk ""Gyro Shooting Star"" not canonical"
Illusioning Flail (Toe Massacre),illusioning-flail-toe-massacre,Toe Massacre,toe-massacre,absent,"NEW-ROW or alias review; folk ""Toe Massacre"" (slug toe-massacre) not yet active, operator resolved"
Illusioning Legover (Eggbeater),illusioning-legover-eggbeater,Eggbeater,eggbeater,active,ALIAS-WIRE to eggbeater (active); not doctrine
Illusioning Osis (Flux),illusioning-osis-flux,Flux,flux,active,ALIAS-WIRE to flux (active); not doctrine
Illusioning Symposium Mirage (Slaughter),illusioning-symposium-mirage-slaughter,Slaughter,slaughter,absent,"NEW-ROW or alias review; folk ""Slaughter"" (slug slaughter) not yet active, operator resolved"
Nuclear Butterfly (Matador),nuclear-butterfly-matador,Matador,matador,active,ALIAS-WIRE to matador (active); not doctrine
Nuclear DDD (Cold Fusion) (Geesha),nuclear-ddd-cold-fusion-geesha,Cold Fusion,cold-fusion,absent,"KEEP doctrine-pending (nuclear); folk ""Cold Fusion"" not canonical"
Nuclear DLO (Terminator),nuclear-dlo-terminator,Terminator,terminator,absent,"NEW-ROW or alias review; folk ""Terminator"" (slug terminator) not yet active, operator resolved"
Nuclear Drifter (69),nuclear-drifter-69,69,69,absent,"NEW-ROW or alias review; folk ""69"" (slug 69) not yet active, operator resolved"
Nuclear Ducking Mirage (Sumo Thong),nuclear-ducking-mirage-sumo-thong,Sumo Thong,sumo-thong,absent,"NEW-ROW or alias review; folk ""Sumo Thong"" (slug sumo-thong) not yet active, operator resolved"
Nuclear Osis (Nucleosis) (Aeon Flux) (Paradox Flux),nuclear-osis-nucleosis-aeon-flux-paradox-flux,Nucleosis,nucleosis,absent,"NEW-ROW or alias review; folk ""Nucleosis"" (slug nucleosis) not yet active, operator resolved"
Nuclear Symposium DLO (Oh Wheely),nuclear-symposium-dlo-oh-wheely,Oh Wheely,oh-wheely,active,ALIAS-WIRE to oh-wheely (active); not doctrine
Nuclear ss Butterfly (Barfry),nuclear-ss-butterfly-barfry,Barfry,barfry,absent,"NEW-ROW or alias review; folk ""Barfry"" (slug barfry) not yet active, operator resolved"
Nuclear ss Dyno (Godzilla),nuclear-ss-dyno-godzilla,Godzilla,godzilla,absent,"NEW-ROW or alias review; folk ""Godzilla"" (slug godzilla) not yet active, operator resolved"
Nuclear ss Whirl (Hurl),nuclear-ss-whirl-hurl,Hurl,hurl,absent,"NEW-ROW or alias review; folk ""Hurl"" (slug hurl) not yet active, operator resolved"
Pogo Paradox Blender (Pogo Op Blender),pogo-paradox-blender-pogo-op-blender,Pogo Op Blender,pogo-op-blender,absent,"KEEP doctrine-pending (pogo); folk ""Pogo Op Blender"" not canonical"
Pogo Paradox Da Da Curve (Pogo Op Da Da Curve),pogo-paradox-da-da-curve-pogo-op-da-da-curve,Pogo Op Da Da Curve,pogo-op-da-da-curve,absent,"KEEP doctrine-pending (pogo); folk ""Pogo Op Da Da Curve"" not canonical"
Pogo Paradox Torque (Pogo Op Torque),pogo-paradox-torque-pogo-op-torque,Pogo Op Torque,pogo-op-torque,absent,"KEEP doctrine-pending (pogo); folk ""Pogo Op Torque"" not canonical"
