example_name,ifpa_slug,ifpa_exists,ifpa_compact_notation,ifpa_operational_notation,ifpa_add_formula,ifpa_adds,job_formula,job_adds,agreement_status,discrepancy_type,missing_ifpa_formula,missing_ifpa_notation,curator_action,notes
Clipper to Clipper,clipper-to-clipper,no,—,—,—,—,clip > op clip,—,not_applicable,grammar-illustration,n/a,n/a,none,"Not a named trick; demonstrates the grammar's empty-dex-segment instance. No canonical row needed; document in glossary as Job's base-formula illustration"
Mirage,mirage,yes,MIRAGE,—,—,2,toe > op in dex > op toe,—,exact_agreement,none,no,no,none,"Job's grammar form and modern MIRAGE notation describe the same trick; ADD values aligned (2)"
Paradox Dbl Legover,paradox-double-leg-over,no,—,—,—,—,clip > same in dex > op out dex > same toe,—,naming_disagreement,naming-disagreement,no,no,"surface as Red Wave 2 question","Job names it 'Paradox Double Legover'; modern canonical 'double-leg-over' carries chain reading 'miraging legover' (Red pt4-locked). Same trick, two doctrinal readings; the 'paradox' framing in Job's name vs the 'miraging' framing in modern doctrine is a meaningful pedagogical difference"
Flurry,flurry,yes,—,—,—,4,clip > op in dex > same in dex > op out dex > op clip,—,exact_agreement,notation-style,no,yes,"author IFPA operational notation","Modern canonical 'flurry' at 4 ADD; modern chain reading 'barraging legover' (Red pt4-locked); operational_notation column blank — opportunity to publish Job's grammar reading as an alternate (pedagogical) notation alongside the chain reading. Note: Job's formula ends in 'same toe' but the modern DB row has base_trick=legover. Need to verify the terminal — Job's may be a transcription difference"
Pogo Paradox Symposium Blur,pogo-paradox-symposium-blur,no,—,—,—,—,"clip > (no plant while) op in dex > op in dex > (no plant while) op in dex > op toe",—,unresolved_doctrine,grammar-illustration,n/a,n/a,"do not canonicalize; document as Job's compound-illustration","Long folk-stack illustrating the grammar's compositional reach; modern doctrine likely subsumes this under symposium/pogo/blurry stacking but no canonical row matches. Document as Job's illustration of compound expressiveness"
Ripwalk,ripwalk,yes,STEPPING BUTTERFLY,—,—,4,clip > op in dex > op out dex > op clip,—,exact_agreement,notation-style,no,yes,"author IFPA operational notation","Modern canonical 'ripwalk' at 4 ADD with chain reading 'stepping butterfly' (Red ratified per 2026-05-18 lede); operational_notation blank in DB. Job's grammar reading shows the butterfly shape (clip>...>clip with alternating in/out dex)"
Double Over Down,double-over-down,no,—,—,—,—,toe > same out dex > same out dex > op clip,—,missing_canonical_row,missing-canonical,n/a,n/a,"curator decision: canonicalize or document as observational","No active 'double-over-down' canonical row. The alias 'quantum-double-over-down' → 'plasma' implies the trick exists as a base under plasma's name. Job's 1995 use is historical evidence. Productive Multiplicity audit candidate"
Eggbeater,eggbeater,yes,—,—,—,3,toe > op out dex > op out dex > same toe,—,exact_agreement,framing-difference,no,yes,"author IFPA operational notation; preserve both framings","Modern canonical 'eggbeater' at 3 ADD with chain reading 'atomic legover' (Red pt4-locked); operational_notation blank. Job's grammar reading and modern atomic-legover chain are DIFFERENT framings of the same trick (Job uses two op-out dex on toe-start; modern uses atomic+legover decomposition)"
Symposium Mirage,symposium-mirage,yes,—,—,symposium(+1) + mirage(2) = 3 ADD,3,toe > (no plant while) > op in dex > op toe,—,exact_agreement,notation-style,no,yes,"author IFPA operational notation","Modern canonical 'symposium-mirage' at 3 ADD with explicit resolved formula. Job's (no plant while) operator maps directly to symposium; ADD math aligned"
Symposium Whirl,symposium-whirl,yes,—,—,symposium(+1) + whirl(3) = 4 ADD,4,toe > (no plant while) > op in dex > op clip,—,exact_agreement,notation-style,no,yes,"author IFPA operational notation","Modern canonical 'symposium-whirl' at 4 ADD with explicit resolved formula. Job's (no plant while)+clip-terminal matches the symposium+whirl decomposition"
