layer,launch_surface,dex,movement_steps,scored_events,terminal_surface,add,symbolic_formula,structural_family,classification,name,notes
0-dex stall,(set),none,hold,[DEL],toe,1,TOE [DEL],plain-paired stall,existing,toe_stall,named stall
0-dex stall,(set),none,hold,[DEL],inside,1,INSIDE [DEL],plain-paired stall,existing,inside_stall,named stall
0-dex stall,(set),none,hold,[DEL],outside,1,OUTSIDE [DEL],plain-paired stall,existing,outside_stall,named stall
0-dex stall,(set),none,hold,[DEL],knee,1,KNEE [DEL],plain-paired stall,existing,knee_stall,named stall
0-dex stall,(set),none,hold,[DEL],shoulder,1,SHOULDER [DEL],plain-paired stall,existing,shoulder_stall,named stall
0-dex stall,(set),none,hold,[DEL],head,1,HEAD [DEL],plain-midline stall,existing,head_stall,named stall
0-dex stall,(set),none,hold,[DEL],forehead,1,FOREHEAD [DEL],plain-midline stall,existing,forehead_stall,named stall
0-dex stall,(set),none,hold,[DEL],neck,1,NECK [DEL],plain-midline stall,existing,neck_stall,named stall
0-dex stall,(set),none,hold,[DEL],peak,1,PEAK [DEL],plain-midline stall,grammar-uncertain,,peak surface unresolved
0-dex stall,(set),none,hold,[XBD][DEL],clipper,2,CLIPPER [XBD] [DEL],xbody-paired stall,existing,clipper_stall,named stall
0-dex stall,(set),none,hold,[UNS][DEL],heel,2,HEEL [UNS] [DEL],unusual-paired stall,grammar-valid-unnamed,,structurally valid unlabeled stall
0-dex stall,(set),none,hold,[UNS][DEL],sole,2,SOLE [UNS] [DEL],unusual-paired stall,grammar-valid-unnamed,,structurally valid unlabeled stall
0-dex stall,(set),none,hold,[UNS][DEL],cloud,2,CLOUD [UNS] [DEL],unusual-midline stall,grammar-valid-unnamed,,structurally valid unlabeled stall
0-dex body,(set),none,SPIN,[BOD],(none),1,SPIN [BOD],bare body step,existing,spin,named bare body action
0-dex body,(set),none,DUCK,[BOD],(none),1,DUCK [BOD],bare body step,grammar-valid-unnamed,,body operator with no bare-trick name (duck/dive)
0-dex body,(set),none,DIVE,[BOD],(none),1,DIVE [BOD],bare body step,grammar-valid-unnamed,,body operator with no bare-trick name (duck/dive)
0-dex body,(set),none,FLYING IN,[BOD],(none),1,FLYING IN [BOD],bare body step,existing,flying inside,named bare body action
0-dex body,(set),none,FLYING OUT,[BOD],(none),1,FLYING OUT [BOD],bare body step,existing,flying outside,named bare body action
0-dex kick,(set),none,kick,[KICK],sole,?,SOLE [KICK],bare surface kick,grammar-uncertain,sole_kick,bare surface kick scores 1 in data but carries no scoring bracket (Slice 1 open gap)
0-dex kick,(set),none,kick,[KICK],cloud,?,CLOUD [KICK],bare surface kick,grammar-uncertain,cloud_kick,bare surface kick scores 1 in data but carries no scoring bracket (Slice 1 open gap)
0-dex kick,(set),none,kick,[KICK],heel,?,HEEL [KICK],bare surface kick,grammar-uncertain,,bare surface kick scores 1 in data but carries no scoring bracket (Slice 1 open gap)
0-dex kick,(set),none,kick,[KICK],toe,?,TOE [KICK],bare surface kick,grammar-uncertain,,bare surface kick scores 1 in data but carries no scoring bracket (Slice 1 open gap)
0-dex kick,(set),none,kick,[KICK],inside,?,INSIDE [KICK],bare surface kick,grammar-uncertain,,bare surface kick scores 1 in data but carries no scoring bracket (Slice 1 open gap)
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],SAME toe,2,TOE > SAME IN [DEX] > SAME TOE [DEL],toe-launch / plain-paired cube,existing,around_the_world,named foundational atom on the toe fiber
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],OP toe,2,TOE > SAME IN [DEX] > OP TOE [DEL],toe-launch / plain-paired cube,existing,pixie,named foundational atom on the toe fiber; dex shape also named as set operator pixie
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],SAME toe,2,TOE > SAME OUT [DEX] > SAME TOE [DEL],toe-launch / plain-paired cube,existing,orbit,named foundational atom on the toe fiber
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],OP toe,2,TOE > SAME OUT [DEX] > OP TOE [DEL],toe-launch / plain-paired cube,existing,fairy,named foundational atom on the toe fiber; dex shape also named as set operator fairy
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],SAME toe,2,TOE > OP IN [DEX] > SAME TOE [DEL],toe-launch / plain-paired cube,existing,pickup,named foundational atom on the toe fiber
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],OP toe,2,TOE > OP IN [DEX] > OP TOE [DEL],toe-launch / plain-paired cube,existing,mirage,named foundational atom on the toe fiber; dex shape also named as set operator miraging
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],SAME toe,2,TOE > OP OUT [DEX] > SAME TOE [DEL],toe-launch / plain-paired cube,existing,legover,named foundational atom on the toe fiber
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],OP toe,2,TOE > OP OUT [DEX] > OP TOE [DEL],toe-launch / plain-paired cube,existing,illusion,named foundational atom on the toe fiber; dex shape also named as set operator atomic-family
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],SAME inside,2,TOE > SAME IN [DEX] > SAME INSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],OP inside,2,TOE > SAME IN [DEX] > OP INSIDE [DEL],toe-launch / plain-paired cube,existing-another-name,inspinning_reverse_guay,"coordinate realized under an opaque folk name, not its structural description"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],SAME inside,2,TOE > SAME OUT [DEX] > SAME INSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],OP inside,2,TOE > SAME OUT [DEX] > OP INSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],SAME inside,2,TOE > OP IN [DEX] > SAME INSIDE [DEL],toe-launch / plain-paired cube,existing-another-name,guay,"coordinate realized under an opaque folk name, not its structural description"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],OP inside,2,TOE > OP IN [DEX] > OP INSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],SAME inside,2,TOE > OP OUT [DEX] > SAME INSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],OP inside,2,TOE > OP OUT [DEX] > OP INSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],SAME outside,2,TOE > SAME IN [DEX] > SAME OUTSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],OP outside,2,TOE > SAME IN [DEX] > OP OUTSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],SAME outside,2,TOE > SAME OUT [DEX] > SAME OUTSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],OP outside,2,TOE > SAME OUT [DEX] > OP OUTSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],SAME outside,2,TOE > OP IN [DEX] > SAME OUTSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],OP outside,2,TOE > OP IN [DEX] > OP OUTSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],SAME outside,2,TOE > OP OUT [DEX] > SAME OUTSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],OP outside,2,TOE > OP OUT [DEX] > OP OUTSIDE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],SAME knee,2,TOE > SAME IN [DEX] > SAME KNEE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME IN,SAME IN [DEX],[DEX] + [DEL],OP knee,2,TOE > SAME IN [DEX] > OP KNEE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],SAME knee,2,TOE > SAME OUT [DEX] > SAME KNEE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,SAME OUT,SAME OUT [DEX],[DEX] + [DEL],OP knee,2,TOE > SAME OUT [DEX] > OP KNEE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],SAME knee,2,TOE > OP IN [DEX] > SAME KNEE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP IN,OP IN [DEX],[DEX] + [DEL],OP knee,2,TOE > OP IN [DEX] > OP KNEE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],SAME knee,2,TOE > OP OUT [DEX] > SAME KNEE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
1-dex,toe,OP OUT,OP OUT [DEX],[DEX] + [DEL],OP knee,2,TOE > OP OUT [DEX] > OP KNEE [DEL],toe-launch / plain-paired cube,grammar-valid-unnamed,,"structurally valid, unlabeled coordinate"
