id,subject,discrepancy_class,source_form,modern_doctrine,resolution_recommendation,risk,curator_action,notes
GD-1,Spinning/Gyro operational equivalence,doctrine-axis-divergence,"Source uses (back) SPIN [BOD] for BOTH 'Spinning X' (paradoxMoves) AND 'Gyro X' (gyroMoves) compounds — same operational token",Modern doctrine (per symbolicModifierEducation.ts): 'Spinning is full turn (360°). Gyro is half turn (180°)',"surface as Red Wave 2 — gyroMoves source CONFIRMS that spinning + gyro share operational notation. The full-vs-half-turn distinction has no source operational precedent. THREE possibilities: (a) modern doctrine has drifted from source; (b) modern doctrine adds magnitude implicitly to operational tokens; (c) full-vs-half distinction was introduced post-2003",HIGH,red-question,"This is THE Wave 2 question across 4 audits (FM FRP-5 + Job RP-6 + Paradox W2-15 + Gyro GD-1). gyroMoves provides the most direct evidence: the source corpus does NOT distinguish spinning from gyro operationally"
GD-2,Mobius dual chain readings,doctrinal-multiplicity,Source: Mobius = Gyro Torque (single reading),Modern chain registry: 'gyro torque' AND 'spinning ss torque' AND 'spinning ss miraging op osis' (THREE readings for same trick),"document the modern multi-reading approach: same trick can carry multiple structural readings (gyro framing AND spinning framing AND unpacked-torque framing)",Low,document,"Modern doctrine adds 'spinning ss' as an alternate reading — implies that 'gyro' and 'spinning ss' (same-side) MAY be equivalent in this specific compound. Reinforces GD-1's spinning/gyro conflation question"
GD-3,inspinning modifier-table gap,modifier-table-gap,Source has 3 'Inspinning X' compounds with (front) SPIN [BOD] operational form,Modern: 'inspinning' NOT registered in freestyle_trick_modifiers,"curator decision: add inspinning as a modifier-table row with axis-direction='forward' and add_bonus=1?","Medium",review,"Cross-references Paradox PD-11 + Job RP-6 + FM FRP-5. gyroMoves provides 3 source compounds confirming inspinning's structural identity"
GD-4,OP BACK SWIRL token construct,grammar-question,Source uses 'OP BACK SWIRL [DEX]' in Spyro Gyro,Modern ATAM grammar: swirling is +1 body modifier; swirl is core atom; 'OP BACK SWIRL' as compound token is unusual,"surface as ATAM grammar question — same as Paradox PD-10",Medium,review,"4th source occurrence of this construct (3 in paradoxMoves + 1 here). Confirms it's a recurring source convention that ATAM grammar should address"
GD-5,Casing inconsistency in source,stylistic-only,Source uses both '(back) SPIN' and '(BACK) SPIN' within same document,Modern: lowercase parenthesized modifier canonical,"document lowercase as canonical (no row-level change needed)",Trivial,document,"Same inconsistency as FM audit D-8. Reinforces lowercase canonical convention"
GD-6,Same Side naming convention,naming-doctrine,Source uses 'Same Side' prefix in 3 compound names to indicate TOE-start variant,Modern dictionary typically does NOT preserve 'Same Side' qualifiers in canonical naming,"curator decision: should 'Same Side' qualifier be preserved as an alias for the TOE-start operational form?",Low,review,"Pedagogical naming distinction in source. Modern doctrine implicitly resolves via operational notation's SAME/OP tokens"
GD-7,Spyro Gyro canonical-row gap,canonicalization-question,Source has Spyro Gyro (5 ADD) as folk-named compound,Modern: chain registry has 'spyro-gyro' entry (curatorConfirmPending true Red pt2 pending) but NO canonical row,"curator decision: promote chain registry entry to canonical DB row given source confirmation?",Medium,red-question,"Strong source precedent for canonical promotion. Red pt2 confirmation pending"
GD-8,Flurricane canonical-row gap,canonicalization-question,Source has Flurricane (Gyro Flurry; 5 ADD) as folk-named compound,Modern: NOT in canonical DB; NO chain registry entry,"curator decision: canonicalize Flurricane per Productive Multiplicity policy?",Medium,red-question,"Folk-named compound with structural reading. Math: gyro(+1)+flurry(4)=5 ADD"
GD-9,Gyro Butterfly canonical-row gap,canonicalization-question,Source has Gyro Butterfly (4 ADD) as structural-form compound,Modern: NOT in canonical DB,"curator decision: canonicalize gyro-butterfly OR treat as derivable phrase?",Low,review,"Math: gyro(+1)+butterfly(3)=4 ADD. Per multiplier doctrine, structurally derivable; canonicalization is editorial choice"
GD-10,paradox-tutorial doctrinal alignment,doctrine-confirmation,paradox-tutorial.txt explicitly identifies vortex as 'gyrating drifter' (NON-paradox); gyroMoves source confirms,Modern doctrine aligned,"document strong tri-source alignment: tutorial + paradoxMoves (excludes vortex from paradox) + gyroMoves (vortex IS gyro drifter)",Low,document,"Confirms paradox-tutorial.txt section 7.5 'spinning subsumes paradox' principle"
