source_section,example_name,normalized_name,source_formula,compact_notation,add_count,example_type,operator_tokens,movement_class,notes
"1 add — surfaces",Inside Delay,inside-stall,,,1,surface-stall,"[del]",delay-surface,"Source flags only ([del]); no operational form supplied — surface stalls treated as primitives. FM source name uses 'Delay'; modern doctrine uses 'Stall' (synonym)"
"1 add — surfaces",Outside Delay,outside-stall,,,1,surface-stall,"[del]",delay-surface,"Same as above"
"1 add — surfaces",Toe Delay,toe-stall,,,1,surface-stall,"[del]",delay-surface,"Same as above; video demonstration referenced in source"
"2 adds — surface compounds + body",Clipper,clipper-stall,CLIP [XBD] [DEL],CLIP [XBD] [DEL],2,surface-stall-cross-body,"clip;xbd;del",delay-surface,"First move in source with full operational notation. CLIP token + [XBD] cross-body flag + [DEL] terminal flag. The pattern (uppercase token + bracketed flags) is the ATAM grammar core"
"2 adds — surface compounds + body",Flying Clipper,flying-clipper,,,2,body-flying-kick,"[bod];[xbd]",body-primitive,"FM source notes 'This move is also called Jester'. DB has alias jester→flying-clipper. No formula; body-primitive movement"
"2 adds — surface compounds + body",Leg Over,legover,SET > OP OUT [DEX] > SAME TOE [DEL],SET > OP OUT [DEX] > SAME TOE [DEL],2,dex-base-atom,"set;op;out;dex;same;toe;del",base-atom,"Core atom; one of the 12-atom registry. SET → OP OUT [DEX] → SAME TOE [DEL] is the canonical leg-over decomposition"
"2 adds — surface compounds + body",Mirage,mirage,SET > OP IN [DEX] > OP TOE [DEL],SET > OP IN [DEX] > OP TOE [DEL],2,dex-base-atom,"set;op;in;dex;op;toe;del",base-atom,"Core atom; one of the 12. SET → OP IN [DEX] → OP TOE [DEL]. The in-vs-out direction distinguishes mirage from leg-over"
"3 adds — base atoms + simple compounds",Butterfly,butterfly,SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL],SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL],3,dex-base-atom,"set;same;op;out;dex;op;clip;xbd;del",base-atom,"Core atom; one of the 12. Note: source uses 'SAME or OP' to indicate either choice is valid (variation allowed at the dex segment). Modern IFPA notation may resolve this to a single canonical or preserve both"
"3 adds — base atoms + simple compounds",Osis,osis,SET > (back or front) SPIN [BOD] > SAME or OP CLIP [XBD] [DEL],SET > (back or front) SPIN [BOD] > SAME or OP CLIP [XBD] [DEL],3,spin-base-atom,"set;back;front;spin;bod;same;op;clip;xbd;del",base-atom,"Core atom; one of the 12. Spin-class base atom (no dex; spin into clipper). Source allows back/front spin direction + same/op terminal"
"3 adds — base atoms + simple compounds",Paradox Mirage,paradox-mirage,CLIP > SAME IN [PDX] [DEX] > OP TOE [DEL],CLIP > SAME IN [PDX] [DEX] > OP TOE [DEL],3,paradox-compound,"clip;same;in;pdx;dex;op;toe;del",compound,"+1 stack on mirage. Source description: 'tight sharp S shape' kinematic. [PDX] flag explicit; structural side-change encoded by SAME IN (rather than OP IN as in plain mirage)"
"3 adds — base atoms + simple compounds",Symposium Mirage,symposium-mirage,SET > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],SET > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],3,no-plant-compound,"set;no-plant;op;in;bod;dex;op;toe;del",compound,"+1 stack on mirage via no-plant element. (no plant while) parenthesized modifier + [BOD] flag. Resolved-formula chain: symposium(+1) + mirage(2) = 3"
"4 adds — multi-element compounds",Paradon,paradon,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],4,double-out-dex-clip-terminal,"toe;op;out;dex;same;out;dex;op;clip;xbd;del",compound,"Source description: 'Same as double over down except set from one leg and circle with the other'. Toe-set + two out-dex + clipper terminal. NOT in modern chain registry; carries its own canonical name"
"4 adds — multi-element compounds",Spinning Osis,spinning-osis,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],TOE > (back) SPIN [BOD] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],4,double-spin-clipper-terminal,"clip;toe;back;spin;bod;op;same;clip;xbd;del",compound,"Source provides TWO operational notations (CLIP-start and TOE-start variants). +1 stack on osis via double-back-spin. Spinning operator encoded as repeated (back) SPIN tokens"
