slug,source,external_name,ifpa_add,external_add,delta,operator_tokens,governing_rule,difference_type,severity,recommended_action,slice_q_category,slice_q_action,slice_q_notes,pending_red,curator_action,notes
clipper,ifpa-internal,,1,,,CLIPPER,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
mirage,ifpa-internal,,2,,,MIRAGE,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
legover,ifpa-internal,,2,,,LEGOVER,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
pickup,ifpa-internal,,2,,,PICKUP,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
guay,ifpa-internal,,2,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
illusion,ifpa-internal,,2,,,ILLUSION,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
pixie,ifpa-internal,,2,,,PIXIE,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
fairy,ifpa-internal,,2,,,FAIRY,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
around-the-world,ifpa-internal,,2,,,ATW,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
reverse-around-the-world,ifpa-internal,,2,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
double-around-the-world,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
whirl,ifpa-internal,,3,,,WHIRL,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
butterfly,ifpa-internal,,3,,,BUTTERFLY,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
swirl,ifpa-internal,,3,,,SWIRL,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
osis,ifpa-internal,,3,,,OSIS,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
eclipse,ifpa-internal,,3,,,ECLIPSE,,unresolved-tokens,medium,defer; needs operator definition for: eclipse,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_modifier_derived [unresolved: eclipse]
eggbeater,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
double-leg-over,ifpa-internal,,3,,,DOUBLE|LEGOVER,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
drifter,ifpa-internal,,3,,,DRIFTER,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
barfly,ifpa-internal,,4,,,BARFLY,,unresolved-tokens,medium,defer; needs operator definition for: barfly,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,exact_modifier_derived [unresolved: barfly]
smear,ifpa-internal,,3,,,PIXIE|MIRAGE,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
flurry,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
dimwalk,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
parkwalk,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
torque,ifpa-internal,,4,,,TORQUE,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
ripwalk,ifpa-internal,,4,,,BLURRY|BUTTERFLY,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
blur,ifpa-internal,,4,,,STEPPING|PARADOX|MIRAGE,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
atom-smasher,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
blender,ifpa-internal,,4,,,BLENDER,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
ducking-clipper,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
spinning-clipper,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
ducking-butterfly,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
spinning-butterfly,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
symposium-whirl,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
ducking-whirl,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
stepping-whirl,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
paradox-whirl,ifpa-internal,,4,,,PARADOX|WHIRL,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
paradox-drifter,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
paradox-mirage,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
paradox-blender,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
paradox-torque,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
blurry-whirl,ifpa-internal,,5,,,,,internal-stated-vs-computed,high,"Red review: stated=5, formula gives 4",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,approximate
blurriest,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
fog,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
mobius,ifpa-internal,,5,,,MOBIUS,,unresolved-tokens,medium,defer; needs operator definition for: mobius,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_modifier_derived [unresolved: mobius]
fusion,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
tomahawk,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
superfly,ifpa-internal,,5,,,SUPERFLY,,unresolved-tokens,medium,defer; needs operator definition for: superfly,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,exact_modifier_derived [unresolved: superfly]
spinning-whirl,ifpa-internal,,4,,,SPINNING|WHIRL,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
paradox-symposium-whirl,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
food-processor,ifpa-internal,,6,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
blurry-torque,ifpa-internal,,6,,,,,internal-stated-vs-computed,high,"Red review: stated=6, formula gives 5",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,approximate
atomic-torque,ifpa-internal,,6,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
spinning-torque,ifpa-internal,,5,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
spinning-symposium-whirl,ifpa-internal,,5,,,SPINNING|SYMPOSIUM|WHIRL,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
rev-whirl,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
rev-up,ifpa-internal,,3,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_self_atom
spinning-osis,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
ducking-osis,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
stepping-osis,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
tapping-whirl,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
barraging-osis,ifpa-internal,,5,,,,,internal-stated-vs-computed,high,"Red review: stated=5, formula gives 4",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,approximate
atomic-butterfly,ifpa-internal,,4,,,,,agree-internal,low,no action,internal-agreement,informational-only,matrix row agrees with IFPA stated value,false,,exact_modifier_derived
ducking,ifpa-internal,,,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
spinning,ifpa-internal,,,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
paradox,ifpa-internal,,,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
symposium,ifpa-internal,,,,,,,incomplete,low,no comparison possible,unclassified,curator-review,no classifier rule matched; curator decides,false,,
