id,topic,target_glossary_section,opportunity,source_evidence,risk,priority
GG-1,Spinning vs Gyro doctrinal axis resolution,§3 (dex direction) or §7 (operational notation reference),"Document the CRITICAL Wave 2 finding: source operational notation does not distinguish spinning from gyro (both use (back) SPIN [BOD]). The modern 'full vs half turn' distinction may be post-source. Cross-link to GW2-1",gyroMoves 9 of 9 + paradoxMoves 14+ + Job RP-6,Medium (gated on Red Wave 2 answer),CRITICAL
GG-2,Vortex as gyrating drifter (non-paradox),§6 (modifier feel cards) or trick-detail,"Document vortex's structural identity: 'gyro drifter' NOT 'gyro paradox drifter'. Tri-source alignment (tutorial + paradoxMoves + gyroMoves). Pedagogical opportunity to explain 'spinning subsumes paradox' principle",paradox-tutorial.txt §7.5 + gyroMoves Vortex + paradoxMoves excludes vortex,Low,High
GG-3,Inspinning operator family,§3 or §6,"Document the inspinning (front-spin) operator. Source has 3 explicit 'Inspinning Same Side X' compounds. Cross-link to modifier-table gap question",gyroMoves 3 Inspinning compounds,Medium (gated on GW2-2),High
GG-4,Same-side vs opposite-side dex distinction,§3 (dex direction),"Document the 'Same Side' naming convention: TOE-start variant has SAME-leg dex; CLIP-start variant has OP-leg dex. Useful for understanding structural-equivalence",gyroMoves 3 compound names,Low,Medium
GG-5,Gyro-class compound naming convention,§7 or §8,"Document the 'Gyro X' prefix convention as historical-pedagogical pattern: gyro is a +1 back-spin operator applied to a base trick. Source gives 6 compound examples",gyroMoves 6 of 9 Gyro-prefix compounds,Low,High
GG-6,Folk-name lineage for gyro compounds,§5 or §7,"Document the 4 folk-named/structural-reading pairs from gyroMoves: Vortex=Gyro Drifter; Spyro Gyro=Gyro Butterfly Swirl; Flurricane=Gyro Flurry; Mobius=Gyro Torque; Big Apple=Gyro Symposium Torque",gyroMoves 5 folk-name pairs,Low,High
GG-7,Mobius decomposition multiplicity,§7 (operational notation) or §8 (compositional structure),"Document the multi-reading approach for Mobius: 'gyro torque' / 'spinning ss torque' / 'spinning ss miraging op osis'. Useful pedagogical example of doctrinal-depth-vs-pedagogical-compression tradeoff",Modern chain registry mobius entry,Low,Medium
GG-8,Back-spin vs front-spin axis,§3 or §6,"Document the source's primary spin-direction distinction: (back) SPIN vs (front) SPIN. Note that modern doctrine has additional 'full vs half' distinction not captured operationally",gyroMoves 6 back-spin + 3 front-spin compounds,Medium (gated on GW2-1 Red answer),High
GG-9,Dual operational variants (CLIP-start AND TOE-start),§7 (operational notation reference),"Document gyroMoves' practice of providing TWO operational variants for 7 of 9 compounds. Useful pedagogical convention for showing operational-equivalence at different starting positions",gyroMoves 7 dual-form compounds,Low,Medium
GG-10,Big Apple as worked example for gyro(+1) + symposium(+1) ADD math,§8 or §6,"Document Big Apple as 6-ADD example: gyro(+1) + symposium(+1) + torque(4) = 6. Strong worked-example for multiplier-stack doctrine",gyroMoves Big Apple + Modern chain registry,Low,Medium
