id,subject,discrepancy_class,source_form,modern_doctrine,resolution_recommendation,risk,curator_action,notes
PD-1,Tomahawk chain reading,paradox-doctrine-divergence,Tomahawk = Ducking Paradox Whirl (paradoxMoves),Tomahawk = blurry ducking torque / stepping ducking paradox torque (modern Red pt11),"surface to Red Wave 2: paradoxMoves reads Tomahawk as 5-ADD compound ducking(+1) + paradox(+1) + whirl(3) = 5; modern reads it as a paradox-torque structural compound — different structures yielding same ADD",High,red-question,"Both readings produce 5 ADD but via different decomposition. Modern doctrine subsumes Tomahawk into the paradox-torque family; source treats it as a paradox-whirl compound. Material doctrinal divergence"
PD-2,Pogo-class ADD math,multiplier-doctrine-divergence,Pogo Paradox Mirage = 4 ADD (source),pogo(+0) + paradox(+1) + mirage(2) = 3 ADD by modern multiplier doctrine,"surface to Red Wave 2: pogo-class compounds in paradoxMoves have ADD values that exceed the multiplier-doctrine derivation by +1 across multiple examples. Pogo here may mean 'pogo+symposium' (+1) rather than pogo-only (+0)",High,red-question,"This affects 5 source compounds: Pogo Paradox Mirage Pogo Paradox Barrage Pogo Paradox Drifter Pogo Paradox Eggbeater Pogo Paradox Whirl. Each is 1 ADD higher than modern pogo(+0) doctrine would predict. Systematic pattern suggests source uses 'pogo' loosely for 'pogo+symposium' or 'no-plant element +1'"
PD-3,Paradox Blur vs Blur naming,naming-disagreement,Paradox Blur (source structural-form 4 ADD) AND Blur (source 4 ADD folk-name with parenthetical reading 'Stepping Paradox Mirage'),Modern has only blur (chain reading 'stepping paradox mirage'),"surface to Red Wave 2: source has TWO entries (Paradox Blur and Blur (Stepping Paradox Mirage)) with subtly different operational notations. Are these the same trick (modern) or distinct (source)?","Medium-High",red-question,"Paradox Blur operational: SAME IN [PDX] [DEX] > OP IN [DEX]. Blur operational: OP IN [DEX] > OP IN [PDX] [DEX]. Same tokens different sequence. Possibly: source treats paradox-from-setting-leg vs paradox-from-stepping-leg as distinct"
PD-4,blur DB operational notation token grammar,operational-token-difference,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL] (source),CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL] (modern DB),"reconcile flag order [PDX] [DEX] (source) vs [DEX] [PDX] (modern) + arrow doubling > vs >> (modern)",Medium,review,"Cross-references FM audit FRP-3 (flag order) + FRP-4 (step marker). Same divergence pattern as FM"
PD-5,Symposium vs Pogo operational tokens,operator-distinction,Source uses '(no plant while)' for BOTH symposium AND pogo contexts,Modern distinguishes pogo (+0) from symposium (+1),"surface to Red Wave 2: when does (no plant while) count as symposium (+1) vs pogo (+0)? Source treats them as the same structural element",High,red-question,"Cross-references FM audit FRP-7 + Job audit RP-7. Three-source confirmation that 'no plant' tokens are doctrinally ambiguous"
PD-6,(plant) marker in operational notation,operational-grammar-gap,Source uses '(plant)' marker explicitly in 3 moves (Paradox Symposium Mirage PS Whirl Paradox Ripwalk Whirlwind alt-form),Modern ATAM grammar §13 does NOT use (plant) marker,"curator decision: should ATAM grammar adopt the (plant) marker for explicit support-leg-plant disambiguation? OR is the marker redundant under modern conventions?",Medium,review,"Notable: source distinguishes 'CLIP (plant)' from 'CLIP' — suggests explicit support-leg-plant timing is structurally meaningful in some compounds"
PD-7,Paradox-Without-PDX-Flag,operational-form-inconsistency,"11 of 57 source moves use 'paradox' in name but operational notation lacks [PDX] flag (Pogo Paradox Mirage Voodoo Paradox Blurry Whirl Stepping Ducking Paradox Blender etc.)","Modern doctrine: [PDX] flag should be explicit on the dex that carries the paradox","curator decision: should all paradox compounds carry the [PDX] flag explicitly, or is structural encoding (via leg-switch pattern) sufficient?",Medium,review,"Source is inconsistent: some paradox compounds have [PDX] some don't. Reconciliation would require flagging all paradox-named tricks explicitly"
PD-8,Surging unpacking,operator-class-confirmation,Source uses 'Surging X' as compact reading,Modern doctrine: surging = spinning + stepping (Red pt2),"document FM/paradoxMoves precedent for surging compounds: Surge / Surreal are folk-named with 'Surging X' readings",Low,document,"Source aligns with modern doctrine. No action needed; just historical-precedent documentation"
PD-9,High-Plains-Drifter family handling,family-doctrine-divergence,"Paradox High Plains Drifter (Paradox Double Drifter) — source structural reading",Modern: 'high-plains-drifter' redirected to drifter-family (Slice M FAMILY_OVERRIDES),"surface to Red Wave 2: source canonicalizes 'High Plains Drifter' (+ paradox variant) as named compounds; modern doctrine redirects high-plains-drifter to drifter-family. Is the historical name being preserved canonically?",Medium,red-question,"Note: memory references high-plains-drifter family-override 2026-05-16 (Slice M). Surface as compatibility question"
PD-10,OP BACK SWIRL token,grammar-extension-question,Source uses 'OP BACK SWIRL [DEX]' as a single compound token in 3 moves,Modern ATAM grammar §13: swirling is +1 body modifier; swirl is a core atom — 'OP BACK SWIRL' as a single token is unusual,"surface to curator: is 'OP BACK SWIRL [DEX]' valid ATAM grammar? Or should it decompose to 'OP BACK SPIN [BOD] > SAME SWIRL [DEX]' or similar?",Medium,review,"3 source moves use this construct: Paradox Whirling Swirl Pogo PWS Blurry PWS"
PD-11,Inspinning operator,modifier-table-gap,Source explicitly names 'Inspinning Paradox Illusion' + 'Inspinning Paradox Mirage' (2 moves with (front) SPIN operational form),Modern: 'inspinning' NOT in freestyle_trick_modifiers table; 'spinning' is registered but 'inspinning' is not,"curator decision: should inspinning be added as a modifier-table row with add_bonus=1 + axis-direction='forward'?",Medium-Low,review,"Cross-references FM audit FRP-5 (back/front axis vs full/half axis) and Job audit RP-6"
PD-12,Folk-name canonical-row decisions,canonicalization-queue,12 folk-named compounds in source NOT in modern DB (Blizzard Voodoo Avalanche Spike Hammer Blurrage Bedwetter Lotus Whirlwind Marius Paratoxic Blurry Drifter Symposium Tomahawk Paradox High Plains Drifter),Modern doctrine canonicalizes folk-names per Productive Multiplicity (CANONICALIZATION_POLICY.md §10),"surface to Red Wave 2: which of the 12 folk-named source compounds have stabilized community usage warranting canonical-row promotion?",High,red-question,"Major decision queue. Each folk name needs community-usage evaluation"
