slug,add,decomposition,source,current_bucket,proposed_bucket,rationale
atomic-guay,3,atomic(+1) + guay(2) = 3,SG,promotion_ready,A: Authoring-ready,atomic resolved; needs op_notation + red_additions promotion
atomic-legover,3,atomic(+1) + legover(2) = 3,FM,promotion_ready,C: Alias to existing folk canonical,"= eggbeater (active); wire alias, not a new row"
atomic-pickup,3,atomic(+1) + pickup(2) = 3,MULTI,promotion_ready,C: Alias to existing folk canonical,"= omelette (active); wire alias, not a new row"
atomic-reverse-guay,3,atomic(+1) + guay(2) = 3,SG,promotion_ready,A: Authoring-ready,atomic resolved; needs op_notation + red_additions promotion
blazing-illusion,3,blazing(+1) + illusion(2) = 3,SG,promotion_ready,A: Authoring-ready,blazing resolved; needs op_notation + red_additions promotion
blazing-legover,3,blazing(+1) + legover(2) = 3,SG,promotion_ready,A: Authoring-ready,blazing resolved; needs op_notation + red_additions promotion
blazing-mirage,3,blazing(+1) + mirage(2) = 3,FM,promotion_ready,A: Authoring-ready,blazing resolved; needs op_notation + red_additions promotion
diving-reverse-guay,3,diving(+1) + guay(2) = 3,SG,promotion_ready,A: Authoring-ready,diving resolved; needs op_notation + red_additions promotion
tapping-reverse-guay,3,tapping(+1) + guay(2) = 3,SG,promotion_ready,A: Authoring-ready,tapping resolved; needs op_notation + red_additions promotion
atomic-eggbeater,4,atomic(+1) + eggbeater(3) = 4,FM,promotion_ready,E: Exclude (self-reference),atomic atomic-legover does not compose
atomic-mirage,4,atomic(+2 rot) + mirage(2) = 4,PB,promotion_ready,C: Alias to existing folk canonical,"= atom-smasher (active); wire alias, not a new row"
blazing-butterfly,4,blazing(+1) + butterfly(3) = 4,PB,promotion_ready,A: Authoring-ready,blazing resolved; needs op_notation + red_additions promotion
blazing-drifter,4,blazing(+1) + drifter(3) = 4,SG,promotion_ready,A: Authoring-ready,blazing resolved; needs op_notation + red_additions promotion
blazing-symposium-mirage,4,blazing(+1) + symposium(+1) + mirage(2) = 4,SG,promotion_ready,A: Authoring-ready,blazing resolved; needs op_notation + red_additions promotion
atomic-blender,5,atomic(+1) + blender(4) = 5,SG,promotion_ready,D: Already published (evict),atomic-blender is already is_active=1
atomic-ducking-mirage,5,atomic(+2 rot) + ducking(+1) + mirage(2) = 5,PB,promotion_ready,B: Decision-pending (atomic-rotational X-Dex Q3),held pending Q3 ruling
atomic-reverse-swirl,5,atomic(+2 rot) + swirl(3) = 5,SG,promotion_ready,B: Decision-pending (atomic-rotational X-Dex Q3),held pending Q3 ruling
atomic-swirl,5,atomic(+2 rot) + swirl(3) = 5,SG,promotion_ready,B: Decision-pending (atomic-rotational X-Dex Q3),held pending Q3 ruling
atomic-symposium-mirage,5,atomic(+2 rot) + symposium(+1) + mirage(2) = 5,FM,promotion_ready,C: Alias to existing folk canonical,"= witchdoctor (active); wire alias, not a new row"
atomic-whirl,5,atomic(+2 rot) + whirl(3) = 5,PB,promotion_ready,B: Decision-pending (atomic-rotational X-Dex Q3),held pending Q3 ruling
blazing-paradox-whirl,5,blazing(+1) + paradox(+1) + whirl(3) = 5,FM,promotion_ready,A: Authoring-ready,blazing resolved; needs op_notation + red_additions promotion
blazing-torque,5,blazing(+1) + torque(4) = 5,SG,promotion_ready,A: Authoring-ready,blazing resolved; needs op_notation + red_additions promotion
terraging-illusion,5,terraging(+3) + illusion(2) = 5,SG,promotion_ready,B: Decision-pending (terraging +3 weight),high bonus; confirm operator weight
terraging-legover,5,terraging(+3) + legover(2) = 5,MULTI,promotion_ready,B: Decision-pending (terraging +3 weight),high bonus; confirm operator weight
terraging-mirage,5,terraging(+3) + mirage(2) = 5,SG,promotion_ready,B: Decision-pending (terraging +3 weight),high bonus; confirm operator weight
atomic-ducking-blender,6,atomic(+1) + ducking(+1) + blender(4) = 6,MULTI,promotion_ready,B: Decision-pending (atomic-rotational X-Dex Q3),held pending Q3 ruling
atomic-ducking-whirl,6,atomic(+2 rot) + ducking(+1) + whirl(3) = 6,FM,promotion_ready,C: Alias to existing folk canonical,"= ego (active); wire alias, not a new row"
atomic-symposium-whirl,6,atomic(+2 rot) + symposium(+1) + whirl(3) = 6,PB,promotion_ready,B: Decision-pending (atomic-rotational X-Dex Q3),held pending Q3 ruling
pixie-miraging-symposium-miraging-legover,6,pixie(+1) + miraging(+1) + symposium(+1) + miraging(+1) + legover(2) = 6,FM,promotion_ready,A: Authoring-ready,pixie resolved; needs op_notation + red_additions promotion
reverse-swirling-paradox-symposium-whirl,6,swirling(+1) + paradox(+1) + symposium(+1) + whirl(3) = 6,SG,promotion_ready,A: Authoring-ready,swirling resolved; needs op_notation + red_additions promotion
atomic-ducking-torque,7,atomic(+2 rot) + ducking(+1) + torque(4) = 7,PB,promotion_ready,D: Already published (evict),atomic-ducking-torque is already is_active=1
atomic-gyro-torque,7,atomic(+2 rot) + gyro(+1) + torque(4) = 7,PB,promotion_ready,B: Decision-pending (atomic-rotational X-Dex Q3),held pending Q3 ruling
spinning-miraging-symposium-miraging-refraction,7,spinning(+1) + miraging(+1) + symposium(+1) + miraging(+1) + refraction(3) = 7,PB,promotion_ready,A: Authoring-ready,spinning resolved; needs op_notation + red_additions promotion
surging-ducking-blender,7,spinning(+1) + stepping(+1) + ducking(+1) + blender(4) = 7,PB,promotion_ready,A: Authoring-ready,spinning resolved; needs op_notation + red_additions promotion
surging-ducking-torque,7,spinning(+1) + stepping(+1) + ducking(+1) + torque(4) = 7,SG,promotion_ready,A: Authoring-ready,spinning resolved; needs op_notation + red_additions promotion
surging-ducking-paradox-symposium-whirling-rake,8,spinning(+1) + whirling(+1) + stepping(+1) + ducking(+1) + paradox(+1) + symposium(+1) + rake(2) = 8,FM,promotion_ready,A: Authoring-ready,spinning resolved; needs op_notation + red_additions promotion
