"symbolic_group_id","display_name","classification_axis","description","representative_examples","confidence_level","source_basis","review_status"
"hippy-in-dex","Hippy in-to-out dex","dex-mechanic","Hip-driven inside-to-outside dex motion (mirage canonical).","mirage, smear, blur, atom-smasher, sumo","high","CORE_TRICK_SYMBOLIC_TABLE James-shorthand format + PassBack glossary Dex Styles section","observational"
"hippy-out-dex","Hippy out-to-in dex","dex-mechanic","Hip-driven outside-to-inside dex motion (illusion canonical).","illusion, smudge, flail","high","CORE_TRICK_SYMBOLIC_TABLE James-shorthand format + PassBack glossary Dex Styles section","observational"
"leggy-pass","Leggy pass (over-the-bag)","dex-mechanic","Leg pass over the bag without full circle (legover canonical).","legover, eggbeater, pigbeater, scrambled-eggbeater","high","CORE_TRICK_SYMBOLIC_TABLE James-shorthand format + PassBack glossary Dex Styles section","observational"
"leggy-circle","Leggy circle (full-circle leg pass)","dex-mechanic","Full-circle leg pass around the bag (ATW canonical).","around-the-world, double-around-the-world","high","CORE_TRICK_SYMBOLIC_TABLE James-shorthand format + PassBack glossary Dex Styles section","observational"
"under-foot-scoop","Under-foot scoop","dex-mechanic","Foot reaches under bag from below to lift it (pickup canonical).","pickup, paste, legeater, scrambled-eggbeater","high","CORE_TRICK_SYMBOLIC_TABLE James-shorthand format + PassBack glossary Dex Styles section","observational"
"wing-motion-dex","Wing-motion dex (butterfly arc)","dex-mechanic","Outside-wing dex with cross-body recovery (butterfly canonical).","butterfly, ripwalk, sidewalk, dimwalk, parkwalk, dada-curve, matador","high","CORE_TRICK_SYMBOLIC_TABLE James-shorthand format + PassBack glossary Dex Styles section","observational"
"front-spin-dex","Front spin dex (whirl)","dex-mechanic","Rotational dex with body spinning forward.","whirl, spinning-whirl, hatchet","high","CORE_TRICK_SYMBOLIC_TABLE James-shorthand format + PassBack glossary Dex Styles section","observational"
"back-spin-dex","Back spin dex (swirl)","dex-mechanic","Rotational dex with body spinning backward.","swirl, whirling-swirl","high","CORE_TRICK_SYMBOLIC_TABLE James-shorthand format + PassBack glossary Dex Styles section","observational"
"op-out-dex","Opposite-side outside dex","dex-mechanic","Opposite-side outside dex flick.","butterfly's primary dex moment","high","CORE_TRICK_SYMBOLIC_TABLE James-shorthand format + PassBack glossary Dex Styles section","observational"
"same-out-dex","Same-side outside dex","dex-mechanic","Same-side outside dex flick.","barfly's double-loop, barrage uptime","high","CORE_TRICK_SYMBOLIC_TABLE James-shorthand format + PassBack glossary Dex Styles section","observational"
