"slug","adds","family","role","operator_bridge","pedagogical_value","risk","recommended_scale_batch"
"smear","3","mirage","pixie set on mirage rotational base","pixie","completes pixie bridge to 6 rows — mirage base joins butterfly/drifter/pickup/legover","LOW","SCALE-5"
"magellan","3","legover","pixie + legover (per FM 'Pixie near Legover'); 'near' positional","pixie","demonstrates 'near' positional in IFPA-adjacent prose; pixie+legover bridge","LOW","SCALE-5"
"plasma","4","?","quantum + base (FM 'Pixie Mobius'); needs IFPA family check","quantum","completes quantum bridge to 3 rows","MEDIUM","SCALE-5 — verify FM decomposition first"
"ducking-butterfly","4","butterfly","ducking single-modifier on butterfly base","ducking","ducking bridge: butterfly family entry; pairs with hatchet (diving body modifier on whirl)","LOW","SCALE-5"
"ducking-osis","4","osis","ducking single-modifier on osis (stall family) base","ducking","ducking bridge: osis family entry; teaches ducking on a rotational stall","LOW","SCALE-5"
"ducking-clipper","3","clipper-stall","ducking on clipper-stall base","ducking","ducking bridge: simplest entry; foundation for all higher ducking compounds","LOW","SCALE-5 anchor"
"spinning-butterfly","4","butterfly","spinning body-spin on butterfly base","spinning","spinning bridge: butterfly family entry; pairs with spinning-whirl on rotational base","LOW","SCALE-5"
"spinning-torque","5","torque","spinning on torque (rotational base); demonstrates 'no double-stack' rule per quantum/spinning notes","spinning","spinning bridge: torque family entry; rotational-base behavior","LOW","SCALE-5"
"marius","5","torque","FM Marius = Spinning Torque per FM inventory; appears as canonical spinning-torque","spinning + alias","alias-rich entry; FM evidence","LOW","SCALE-5 — verify alias chain"
"symposium-mirage","3","mirage","symposium body posture on mirage rotational base","symposium","symposium bridge: mirage family entry; teaches symposium on simpler rotational base than whirl","LOW","SCALE-5"
"atomic-butterfly","4","butterfly","atomic set on butterfly; aliased to FM 'Legbeater'","atomic","atomic bridge: butterfly entry; pairs with scrambled-eggbeater (atomic+pickup pilot)","LOW","SCALE-5"
"atom-smasher","4","mirage","atomic set on mirage rotational base; atomic=+2 rotational per pt10","atomic","atomic bridge: mirage entry; demonstrates pt10 rotational bonus","LOW","SCALE-5"
"atomic-illusion","3","illusion","atomic set on illusion base; IFPA's 3 ADD value; aliased to FM 'Omelette'","atomic","atomic bridge: illusion entry — BUT pt12 question pending on FM=4 vs IFPA=3 delta (omelette)","MEDIUM-HIGH (conflict C2)","SCALE-5 deferred pending Red"
"ripwalk","4","butterfly","stepping set on butterfly base; pt11 ruling: ripwalk = Stepping Butterfly","stepping","stepping bridge: butterfly entry; pairs with stepping-whirl pilot from SCALE-2","LOW","SCALE-5"
"paradox-torque","5","torque","paradox body on torque rotational base","paradox","paradox bridge: torque entry; pairs with paradox-whirl + paradox-blender + paradox-mirage","LOW","SCALE-5"
"paradox-drifter","4","drifter","paradox body on drifter base","paradox","paradox bridge: drifter entry; cross-family with paradox-whirl","LOW","SCALE-5"
"paradox-mirage","3","mirage","paradox body on mirage rotational base; pt6 reference","paradox","paradox bridge: mirage entry; foundational paradox compound","LOW","SCALE-5 anchor"
"blurry-whirl","5","whirl","single blurry modifier on whirl base; pt12 math conflict","blurry","ADD-math conflict prevents safe enrichment","HIGH (pt12)","deferred until pt12 resolution"
"food-processor","6","blender","FM 'Blurry Blender' = expanded-decomposition class per blurry notes","blurry recursive","would demonstrate blurry-recursive decomposition","HIGH (pt12 item 5b)","deferred"
"drifter","3","clipper-stall","drifter base = miraging clipper per pt11","miraging + clipper","drifter family root; completes drifter line with smoke (SCALE-4 pilot)","LOW","SCALE-5"
"tombstone","4","drifter","stepping + drifter","stepping cross-family","drifter family stepping entry","LOW","SCALE-5"
