"passback_term","canonical_ifpa_target","decomposition_notes","evidence_source","risk_level","proposed_action","category","alias_type"
"Blender (same side)","blender","Same-side variant of blender; tech=Whirling Osis; SS=+0 ruling makes 'same side' suffix non-ADD-bearing","FM inventory + screenshot","low","insert as alias","safe_alias","trick_alias"
"Flurry (toe set)","flurry","Toe-set variant marker; SS-class positional shorthand","FM inventory","low","insert as alias","safe_alias","trick_alias"
"Drifter (same-side)","drifter","Same-side suffix variant of drifter; SS=+0 ruling applies","FM inventory","low","insert as alias","safe_alias","trick_alias"
"Grifter","reverse-drifter","Grifter = Reverse Drifter per FM tech; reverse-drifter is the IFPA slug","FM inventory","low","insert as alias","safe_alias","trick_alias"
"Grifter (same side)","reverse-drifter","Same-side variant of Grifter; resolves to reverse-drifter via tech-name","FM inventory","low","insert as alias","safe_alias","trick_alias"
"Barroque","barraging-osis","FM display for the Barraging+Osis compound","FM inventory (2 inventory rows confirm)","low","insert as alias; barraging-osis IFPA row exists at 5 ADD","safe_alias","trick_alias"
"Sailing","pixie + atomic","Sets-tab def: Pixie Atomic","FM Sets tab + fm_alias_terminology_extract.csv","low","glossary entry, NOT aliases_json","educational_alias","modifier_alias"
"Frantic","pixie + quantum","Sets-tab def: Pixie Quantum","FM Sets tab + fm_alias_terminology_extract.csv","low","glossary entry","educational_alias","modifier_alias"
"Phasing","fairy + ss + spinning","Sets-tab def: Fairy ss Spinning","FM Sets tab","medium","glossary entry; fairy semantics Q4-blocked","educational_alias","modifier_alias"
"Leaning","stepping + inspinning","Sets-tab def: Stepping Inspinning","FM Sets tab","low","glossary entry","educational_alias","modifier_alias"
"Hyper","rooted + pixie","Sets-tab def: Rooted Pixie; references pre-state flag","FM Sets tab","low","glossary entry","educational_alias","modifier_alias"
"Pogo","uptime + ATW","Sets-tab def: Uptime ATW; references temporal flag","FM Sets tab","low","glossary entry","educational_alias","modifier_alias"
"Inspinning","front-spin direction","Sets-tab def: Front Spin","FM Sets tab","low","glossary entry","educational_alias","modifier_alias"
"Spinning","back-spin direction","Sets-tab def: Back Spin","FM Sets tab","low","already-modifier; glossary cross-ref to Inspinning","educational_alias","modifier_alias"
"Quantum (FM)","toe + miraging","Sets-tab def: Toe Miraging","FM Sets tab","low","already-modifier; FM-side definition does NOT change IFPA's pt10 quantum=+1","educational_alias","modifier_alias"
"Atomic (FM)","toe + illusioning","Sets-tab def: Toe Illusioning","FM Sets tab","low","already-modifier; FM-side definition does NOT change IFPA's pt10 atomic=+1/+2","educational_alias","modifier_alias"
"Quasi","clipper + far + miraging","Sets-tab def: Clipper far Miraging; references far positional","FM Sets tab","medium","glossary entry; references unresolved 'far' weight","educational_alias","modifier_alias"
"Slaying","symp + sailing → symp + pixie + atomic","Sets-tab def: Symp Sailing; recursive 3-deep","FM Sets tab","low","glossary entry; demonstrate recursion depth","educational_alias","modifier_alias"
"Slicing","AMBIGUOUS: 'Gyro Rev. Swirling' OR 'Blurry Quasi'","Sets-tab shows TWO distinct definitions","FM Sets tab","HIGH","FM curation review needed; do NOT alias until disambiguated","educational_alias","modifier_alias"
"Riffing","symp + blurriest","Sets-tab def: Symp Blurriest","FM Sets tab","medium","blurriest decomposition cascades into pt12 Blurry queue","educational_alias","modifier_alias"
"Smiling","swirling + ss + stepping","Sets-tab def: Swirling ss Stepping","FM Sets tab","medium","depends on swirling resolution","educational_alias","modifier_alias"
"Spinning ss","alias of: Gyro","Sets-tab alternate-name for Spinning set","FM Sets tab screenshot","low","educational cross-reference","educational_alias","recursive_operator_alias"
"Quantum ss","alias of: Slapping","Sets-tab alternate-name for Quantum set","FM Sets tab screenshot","low","educational cross-reference","educational_alias","recursive_operator_alias"
"Atomic ss","alias of: Tapping","Sets-tab alternate-name for Atomic set","FM Sets tab screenshot","low","educational cross-reference","educational_alias","recursive_operator_alias"
"Pdx Tapping","alias of: Nuclear ss","Sets-tab alternate-name; bridge to nuclear's paradox-atomic semantics","FM Sets tab screenshot","low","educational cross-reference (note: Nuclear ss = federation_math_divergence per SS ruling)","educational_alias","recursive_operator_alias"
"Pdx Stepping","alias of: Quasi ss (likely)","Sets-tab alternate-name","FM Sets tab screenshot","medium","educational cross-reference","educational_alias","recursive_operator_alias"
"Omelette (FM)","omelette","FM ADD=4 vs IFPA ADD=3 (delta +1); FM tech='Atomic Illusion'; IFPA omelette is 3 ADD","FM inventory + IFPA dictionary","HIGH","Red-question candidate: does FM atomic-illusion = 4 indicate atomic+illusion math gap, or is FM data non-canonical for omelette?","conflict","trick_alias"
"Terrage (FM)","terrage","FM ADD=3 vs IFPA ADD=4 (delta -1); FM tech='Double Pixie'; IFPA terrage row is 4 ADD","FM inventory + IFPA dictionary","HIGH","Red-question candidate: terrage decomposition under double-pixie vs IFPA's current","conflict","trick_alias"
"Fury (FM)","fury","FM ADD=6 vs IFPA ADD=5 (delta +1); FM tech='Furious Mirage'; IFPA fury is 5 per pt6 (furious+paradox+mirage=5)","FM inventory + IFPA dictionary + pt6 ruling","MEDIUM","FM uses 'Furious Mirage' single-modifier reading; IFPA uses pt6 multi-modifier; class as federation_math_divergence pending Furious-modifier resolution","conflict","trick_alias"
"Fairy Butterfly","(no IFPA row; FM-vocab fairy unresolved)","Fairy is FM-vocab Q4-class modifier","FM inventory","low","observational; do not insert","observational_only","trick_alias"
"Spyro Symple Drifter","(no IFPA row)","Spyro is FM-vocab; Symple = Symposium shorthand","FM inventory","low","observational","observational_only","trick_alias"
"Blazing Mirage","(no IFPA row)","Blazing is FM-vocab Q4-class","FM inventory","low","observational","observational_only","trick_alias"
"Surging Ducking far Blender","(maps to existing pilot? unclear)","Surging is FM-vocab; complex multi-modifier with 'far' positional","FM inventory (Cheese Processor)","medium","observational; surging Q4-class","observational_only","trick_alias"
"Whirling Reverse Whirl","(no IFPA row; FM Bling Blang)","Recursive whirling on a reverse-direction whirl","FM inventory","low","observational","observational_only","trick_alias"
"Bubba Legover","(no IFPA row; FM Bubba Beater)","Bubba is FM-vocab Q4-class","FM inventory","low","observational","observational_only","trick_alias"
"Atomic ss Osis (FM display)","tapping-osis (per FM tech 'Tapping Osis') — IFPA has no such canonical row","FM display is recursive: 'Atomic ss Osis' resolves to Tapping Osis per FM Atomic-ss=Tapping rule","FM inventory + Sets-tab cross-reference","MEDIUM","Unresolved: depends on whether IFPA wants tapping-osis as a canonical row","unresolved","trick_alias"
"Dyno (far) / Dyno (same side)","dyno (both display variants of same IFPA row)","Both FM displays map to IFPA's dyno; far vs ss positional disambiguates FM-side execution variants","FM inventory","low","Unresolved: alias both to dyno (since SS=+0); educational on far vs ss execution","unresolved","trick_alias"
"Slicing (FM)","AMBIGUOUS (two Sets-tab defs)","Sets-tab shows two compositions: 'Gyro Rev. Swirling' AND 'Blurry Quasi'","FM Sets tab","HIGH","FM curation review; cannot classify until disambiguated","unresolved","trick_alias"
