"term","alternate_forms","passback_section","passback_explanation","existing_glossary_anchor","proposed_layer","match_status","review_status","notes"
"14s","","Bags","Bags are constructed with different numbers of panels and these numbers are used to refer to the style of bag, most commonly 32s and 14s, but can be any number. Bags can be filled with various kinds of fill, such as plastic or sand, but most often metal, which gives them enough weight to properly control and feel.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"2 square","two square","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"32s","","Bags","Bags are constructed with different numbers of panels and these numbers are used to refer to the style of bag, most commonly 32s and 14s, but can be any number. Bags can be filled with various kinds of fill, such as plastic or sand, but most often metal, which gives them enough weight to properly control and feel.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"4 square","four square","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"ADD","ADDs|additional degree of difficulty","","ADDs        9","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"ADD hunting","","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Adidas Rod Laver","Laver","Shoes","Shoes Though footbag can be played barefoot or with any kind of shoe, there are certain kinds that are most-suited to the sport. Among the many brands and models used over the years, the two that have most become part of the culture are the Adidas Rod Laver and Quantums. For a long time, from the mid-90s to mid-2010s, Lavers were the standard freestyle shoe, but the specific model that was popular is no longer made. Quantums were the first shoes designed specifically for footbag by the community itself which had a run in the 2010s and have recently been redesigned and released.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Air shred","","Tricks","Tricks Footbag tricks are performed using a footbag and various parts of the body, most prominently the legs. To practice a trick without the bag, to get a feel for the motions, is to air shred it.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Alpha","","","As much as possible, the terms in this document are defined from simple to complex. Terms defined later in the document often build upon ones from earlier in the document. The first use of a term is bolded, while further uses of it are in normal text. Alphabetical index of all terms can be found at the end of the document.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Alpine","","Shorthand modifiers","Alpine + [base trick] means to divide the trick between its uptime and downtime components (as long as it has both) and insert a duck or dive in between. Taking Ripwalk as the base trick (Stepping op Butterfly), Alpine Ripwalk is a Stepping Ducking Butterfly. Alpine can be applied to a nickname or technical name, so you could say Alpine Ripwalk or Alpine Stepping op Butterfly to mean the same thing.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Attack","","Trick phases","When analyzing the execution of a trick, the attack is how quickly the player begins the component of the next phase. Ex: When first learning Blur, players often need to attack the Mirage more quickly after the Stepping set.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Back-to-back","b2b","Combining multiple tricks","Linking the same trick together two or more times can be described as back-to-back (b2b). Ex: PLO b2b = PLO>PLO.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Backside","bs","Symposium modifiers","Backside (BS) + [base trick] means to change the downtime component to symposium. Ex: BS Atomsmasher = Atomic Symp Mirage.","backside","educational","existing_term","auto_ok","matches UX1 token: Backside (body modifier; +1)"
"Backspin","","Spins","Spins are most commonly performed as backspins where the body turns away from the bag and the back passes the bag first. An inspin turns towards the bag and the chest passes the bag first. Unless the prefix in- is used, a spin is presumed to be a backspin. In can be applied to Spinning, Gyro, or even full trick names to change the direction of the spin (like In-Vortex to mean In-gyro Drifter).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Bail","bailed","Ending a trick or string","A bailed trick is one that was attempted but modified on the fly to something easier to avoid dropping (ex: was going for a Spinning Whirl but bailed to Spinning Clipper because the set was too low). A footed trick is one that was almost hit, but the bag rolled off the stalling foot at the end. A dropped trick could also be over-dexed if the leg dexes too far which causes it to miss the bag entirely.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Battle","","Competitive Disciplines","Circle and Battle are variants of a straight-ahead technical showdown. Circle mimics the style of a casual circle, while Battle is 1-on-1. Shred-Off is an online-only async variant of Battle.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Beast","beastly","ADD Groupings","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Beta","","Symposium modifiers","There are alternate terms to refer to individual symposium dexes within a trick: alpha, beta, and gamma. For example: Beta Atomsmasher to mean Atomic Symp Mirage. (IMO) these terms are unnecessary and overly complicated; the above terms should make it obvious in the majority of cases which aspect of a trick is symposium.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Bigfoot","","Stance","Because toe and clipper are the most common contacts, there are two terms to describe a player’s preference for the sides of those. A left/right bigfoot player is one whose strong toe and clipper use the same foot. A left/right sideways player is one whose strong toe and clipper use the same side.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Body (component)","BOD (ADD category)","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"BOP","","ADD Groupings","Within the guiltless tier are BOPs, which stand for the tricks “Butterfly”, “Osis”, and “Pdx Mirage”, which are the most basic guiltless tricks and the foundation for traditional guiltless play. Genuine Guiltless or just Genuine is a combo or string of Guiltless tricks that do not use BOPs, which is generally much more difficult.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Both sides","bs|both sided","Combining multiple tricks","Both sides or bs refers to doing a trick using both sides of the body. A combo/string/player/etc that predominantly uses both sides can be called both sided, while one predominantly using one side can be called one sided.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Brocka","","Shoe mods","Most other mods don’t have a special name and generally have descriptive names, except for the Brocka (“Brochka” or “Brokka”, depending on where you live) mod. This mod was named after former player Peter Brocka (who is now the mayor of Trnava, Slovakia). A Brocka mod is the removal of material from the inner ankle area, which helps to create a flatter inside surface.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Broken-in","break in","Bags","Brand new bags tend to have stiff material that needs to be broken-in. A not broken-in bag will often be rolly and harder to control, while a well broken-in bag will be more floppy or stally.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"BSOS","“bee sauce”|BSOR","Combining multiple tricks","A trick that’s done on both sides within a single string is called BSOS, which stands for “both sides one string” and is sometimes jokingly written as “bee sauce.” BSOR is sometimes used in place of BSOS, meaning “both sides one run.”","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Bump","","Contact Types","Contact Types The simplest type of contact is a kick. Toe kicks done with an ankle hinge are sometimes called toe flicks, and knee kicks are sometimes called knee bumps.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Burger","stallburger","Other Contacts","Other Contacts Other less common types of contacts are: rolls, where the bag literally rolls from one position to another; pincher, where the bag is grabbed with the back of the knee; burger or stallburger where the bag is trapped between two surfaces (usually with the bag in a Toe Stall and using the other shoe on top); transfer, where the bag is moved from one contact to another; wrap where an Inside Stall is moved into a Clipper (or vice versa); walkover where the stalling foot is placed on the ground and the other steps over it; and rake where the bag is grabbed from one position and dragged to another, most commonly from Xbd to Toe. The bag can also be caught in or set from a rooted position, meaning that the foot the bag is on is on the ground.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Circle (style of play)","circle (event)","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Circle kicking","","Non-Freestyle Footbag Disciplines/Games","Non-Freestyle Footbag Disciplines/Games Hacky sack or circle kicking is the most well-known game of footbag that is about keeping the bag off the ground for as long as possible, usually with a group of people.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Clean","","Execution","A clean trick or trick component is one performed well and without flaws.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"CLIMP","","Combining multiple tricks","LIMP tricks are the collection of basic toe tricks: Legover, Illusion, Mirage, and Pickup. CLIMP is an extension of LIMP which includes Clipper. An Everything drill is a drill which uses a single uptime set + each LIMP trick both sides. Ex: Pixie Everything = a drill of Pixie Legover, Pixie ss Legover, Pixie Illusion, Pixie ss Illusion, Pixie Mirage, Pixie ss Mirage, Pixie Pickup, and Pixie ss Pickup, each on both sides. An Everything drill has no set order, and just requires every unique trick be done once.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Clipper (stall)","clipper player","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Cloud","","Other Contacts","Other named contacts that may be encountered are Cloud, which are calf contacts where the knee is bent inward and the calf is horizontal, Dragon (Xbd Outside) and Flapper (Xbd Sole).","cloud","educational","existing_term","auto_ok","matches UX1 token: Cloud (unusual surface)"
"Combo","","Combining multiple tricks","A combo is any number of tricks linked in a group, usually with some sort of theme or aspect that joins them together. A string could technically be described as a combo, but combos are usually shorter and more purposefully thought-out than strings. A link is specifically a two-trick combo.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Component","","","Components        3","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Contact (component)","contact (string length)","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Crank","","Toe & Clipper","A Clipper is an Inside Stall in a crossbody (xbd) position, meaning that one leg is positioned behind the other. In order to get the flattest possible surface for an Inside Stall or Clipper, you have to bend or crank your ankle in order to flex the inside surface upwards.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Crispy","","Shorthand modifiers","Crispy + [base trick] means to take part of the downtime phase of the base trick and “re-time” it into the uptime. For example, a DLO is a downtime Miraging Legover. A “crispy DLO” takes the mirage and moves it from downtime to uptime (making a Blurry Legover), which results in a trick that uses the same motions, but different timing. Crispy is not commonly used, and is (IMO) sometimes longer or more confusing than using the technical name.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Crossbody","","Toe & Clipper","A Clipper is an Inside Stall in a crossbody (xbd) position, meaning that one leg is positioned behind the other. In order to get the flattest possible surface for an Inside Stall or Clipper, you have to bend or crank your ankle in order to flex the inside surface upwards.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Crown","crowny","Execution","A well-executed duck is one performed close to the neck, and a duck becomes thinner the farther from the neck it gets. A duck done with just the very top of the head is said to be crowny.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Deep","","Execution","A clean dex is one performed within the dex window, which is the phantom space in the air that the leg draws around the bag. A deep dex is one performed high in the window, further away from the shoe. A thin dex is one performed close to the edge of the window, closer to the shoe, and a very thin dex performed with just a bit of the shoe is sometimes called shoey.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Delay","DEL (ADD category)","Contact Types","The most common contact type seen in freestyle is a delay or stall, where the bag is briefly stopped on a surface before being set for the next trick.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Dex","dexterity|dexless|DEX (ADD category)","","As much as possible, the terms in this document are defined from simple to complex. Terms defined later in the document often build upon ones from earlier in the document. The first use of a term is bolded, while further uses of it are in normal text. Alphabetical index of all terms can be found at the end of the document.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Dive","diving","Shorthand modifiers","Alpine + [base trick] means to divide the trick between its uptime and downtime components (as long as it has both) and insert a duck or dive in between. Taking Ripwalk as the base trick (Stepping op Butterfly), Alpine Ripwalk is a Stepping Ducking Butterfly. Alpine can be applied to a nickname or technical name, so you could say Alpine Ripwalk or Alpine Stepping op Butterfly to mean the same thing.","dive","educational","existing_term","auto_ok","matches UX1 token: Dive (body action)"
"Downtime","","Trick phases","Trick phases A single trick can be broken down into three phases depending on which direction the bag is moving at a given time. The uptime of a trick is in the time when the bag is moving up, the downtime is when the bag is moving down, and the midtime is the brief moment in between uptime and midtime when the bag is peaking.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Dragon","","Other Contacts","Other named contacts that may be encountered are Cloud, which are calf contacts where the knee is bent inward and the calf is horizontal, Dragon (Xbd Outside) and Flapper (Xbd Sole).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Drill","","Combining multiple tricks","A drill is a combo that is done using one side of the body, which then repeats exactly but with the other side of the body. A drill can be notated in string notation with just the unique half and then “rpt” at the repeat point. Ex: Mirage>Legover rpt = Mirage>Legover>Mirage>Legover. To notate more or less contacts of a drill either “[N] contacts of [drill]” or “[drill] x[N]” can be used. Ex: 3 contacts of Mirage>Legover rpt = Mirage>Legover>Mirage; Mirage>Legover rpt x3 = 12 total contacts.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Drop","dropped|dropless","Combining multiple tricks","A marathon drill is a drill that is repeated for a large number of contacts or until a period of time has passed (ex: 100 contacts of Mirage>ss Mirage rpt; 60 seconds of Mirage>ss Mirage rpt). When marathon drilling, drops do not interrupt the contact count (ex: drop on contact 24, next attempt is contact 25). Marathon drilling is often used to train consistency of specific tricks and general endurance.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Duck","ducking","","Ducks        4","duck","educational","existing_term","auto_ok","matches UX1 token: Duck (body action)"
"Everything","","Combining multiple tricks","LIMP tricks are the collection of basic toe tricks: Legover, Illusion, Mirage, and Pickup. CLIMP is an extension of LIMP which includes Clipper. An Everything drill is a drill which uses a single uptime set + each LIMP trick both sides. Ex: Pixie Everything = a drill of Pixie Legover, Pixie ss Legover, Pixie Illusion, Pixie ss Illusion, Pixie Mirage, Pixie ss Mirage, Pixie Pickup, and Pixie ss Pickup, each on both sides. An Everything drill has no set order, and just requires every unique trick be done once.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Far","","Sides","Sides A component can be further specified with a side to describe exactly which half of the body should perform it. Sides are described relatively to the previous component, and it’s rarely important whether it’s “left” or “right” side, but rather same-side (ss)/near or opposite (op)/far. When thinking about the body as two vertical halves, ss connects two components performed on the same vertical half, while op connects two components performed on one vertical half and then the other.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Fearless","","ADD Groupings","ADD Groupings Based on how many ADDs a trick has, it can be grouped and sorted into various tiers: 2-ADD and up tricks are referred to as Tiltless tricks. 3-ADD and up as Guiltless, 4 and up as Tripless, 5 and up as Fearless, 6 and up as Beastly, and 7 and up as Godly. For ADD tiers 2-5, the names can drop the “-less” suffix to describe the tier below them, for example: “Tilts” refers to 1-ADD tricks, “Guilts” 2-ADD, and so on. There are also special names for 3-trick Beastly and Godly combos: a 6>6>6 is called a “Beast”, and a 7>7>7 is called a “Jackpot”.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Fill","filler","Bags","Bags are constructed with different numbers of panels and these numbers are used to refer to the style of bag, most commonly 32s and 14s, but can be any number. Bags can be filled with various kinds of fill, such as plastic or sand, but most often metal, which gives them enough weight to properly control and feel.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Flapper","","Other Contacts","Other named contacts that may be encountered are Cloud, which are calf contacts where the knee is bent inward and the calf is horizontal, Dragon (Xbd Outside) and Flapper (Xbd Sole).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Flick","","Contact Types","Contact Types The simplest type of contact is a kick. Toe kicks done with an ankle hinge are sometimes called toe flicks, and knee kicks are sometimes called knee bumps.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Flipside","flip","","","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Floppy","","Bags","Brand new bags tend to have stiff material that needs to be broken-in. A not broken-in bag will often be rolly and harder to control, while a well broken-in bag will be more floppy or stally.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Flying","flyer","In the air","Contacts, or tricks that end with a contact, performed in the air are referred to as flying or flyers, such as a Flying Clipper Kick or Flying Toe Stall.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Footbag golf","","Non-Freestyle Footbag Disciplines/Games","Footbag golf is similar to disc golf, but with footbags.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Footbag net","","Non-Freestyle Footbag Disciplines/Games","Footbag net is a sport played over a net with similar rules to volleyball.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Footbags","bags","Bags","Equipment Bags Footbags, or bags for short, are the primary piece of equipment used to play freestyle footbag. Within footbag culture, you’ll mostly hear people refer to them as footbags or bags, but you’ll sometimes hear them referred to as hacks or even hacky sacks (somewhat ironically).","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Footed","foot","Ending a trick or string","A bailed trick is one that was attempted but modified on the fly to something easier to avoid dropping (ex: was going for a Spinning Whirl but bailed to Spinning Clipper because the set was too low). A footed trick is one that was almost hit, but the bag rolled off the stalling foot at the end. A dropped trick could also be over-dexed if the leg dexes too far which causes it to miss the bag entirely.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Froggy","","Execution","A pulled or slurry set is one where the bag is dragged through an uptime dex or a spin before the intended component actually happens (ex: a Stepping set where the leg passes over the bag while the bag remains on the set foot). Pulled spins are also sometimes referred to as froggy.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
"Frontside","fs","Symposium modifiers","Frontside (FS) + [base trick] means to change the uptime component of the base trick to symposium. Ex: FS Atomsmasher = Symp. Atomic Mirage.","","educational","new_term","needs_review","no UX1 token match; candidate for educational glossary layer"
