region,sub,atlas_coord,launch,landing,landing_grade,landing_lat,dex_side,direction,term_side,movement_family,symbolic_formula,add,grammar_status,representation,name,notes
0-DEX,stall,set:toe/[DEL],(set),toe,1,paired,,,,plain-paired stall,TOE [DEL],1,valid,existing,toe_stall,held stall; the anchor floor of the map
0-DEX,stall,set:inside/[DEL],(set),inside,1,paired,,,,plain-paired stall,INSIDE [DEL],1,valid,existing,inside_stall,held stall; the anchor floor of the map
0-DEX,stall,set:outside/[DEL],(set),outside,1,paired,,,,plain-paired stall,OUTSIDE [DEL],1,valid,existing,outside_stall,held stall; the anchor floor of the map
0-DEX,stall,set:knee/[DEL],(set),knee,1,paired,,,,plain-paired stall,KNEE [DEL],1,valid,existing,knee_stall,held stall; the anchor floor of the map
0-DEX,stall,set:shoulder/[DEL],(set),shoulder,1,paired,,,,plain-paired stall,SHOULDER [DEL],1,valid,existing,shoulder_stall,held stall; the anchor floor of the map
0-DEX,stall,set:head/[DEL],(set),head,1,midline,,,,plain-midline stall,HEAD [DEL],1,valid,existing,head_stall,held stall; the anchor floor of the map
0-DEX,stall,set:forehead/[DEL],(set),forehead,1,midline,,,,plain-midline stall,FOREHEAD [DEL],1,valid,existing,forehead_stall,held stall; the anchor floor of the map
0-DEX,stall,set:neck/[DEL],(set),neck,1,midline,,,,plain-midline stall,NECK [DEL],1,valid,existing,neck_stall,held stall; the anchor floor of the map
0-DEX,stall,set:peak/[DEL],(set),peak,1,midline,,,,plain-midline stall,PEAK [DEL],1,uncertain,grammar-uncertain,,held stall; the anchor floor of the map
0-DEX,stall,set:clipper/[XBD][DEL],(set),clipper,2,paired,,,,xbody-paired stall,CLIPPER [XBD] [DEL],2,valid,existing,clipper_stall,held stall; the anchor floor of the map
0-DEX,stall,set:heel/[UNS][DEL],(set),heel,2,paired,,,,unusual-paired stall,HEEL [UNS] [DEL],2,valid,unnamed,,held stall; the anchor floor of the map
0-DEX,stall,set:sole/[UNS][DEL],(set),sole,2,paired,,,,unusual-paired stall,SOLE [UNS] [DEL],2,valid,unnamed,,held stall; the anchor floor of the map
0-DEX,stall,set:cloud/[UNS][DEL],(set),cloud,2,midline,,,,unusual-midline stall,CLOUD [UNS] [DEL],2,valid,unnamed,,held stall; the anchor floor of the map
0-DEX,body,set:-/BOD:spin,(set),(none),,,,,,bare body step,SPIN [BOD],1,valid,existing,spin,"one body generator, no bag contact"
0-DEX,body,set:-/BOD:duck,(set),(none),,,,,,bare body step,DUCK [BOD],1,valid,unnamed,,"one body generator, no bag contact"
0-DEX,body,set:-/BOD:dive,(set),(none),,,,,,bare body step,DIVE [BOD],1,valid,unnamed,,"one body generator, no bag contact"
0-DEX,body,set:-/BOD:flying inside,(set),(none),,,,,,bare body step,FLYING IN [BOD],1,valid,existing,flying inside,"one body generator, no bag contact"
0-DEX,body,set:-/BOD:flying outside,(set),(none),,,,,,bare body step,FLYING OUT [BOD],1,valid,existing,flying outside,"one body generator, no bag contact"
0-DEX,kick,set:sole/KICK,(set),sole,2,paired,,,,bare surface kick,SOLE [KICK],?,uncertain,grammar-uncertain,sole_kick,scores 1 in the corpus with no scored generator; open primitive floor (pogo twin)
0-DEX,kick,set:cloud/KICK,(set),cloud,2,midline,,,,bare surface kick,CLOUD [KICK],?,uncertain,grammar-uncertain,cloud_kick,scores 1 in the corpus with no scored generator; open primitive floor (pogo twin)
0-DEX,kick,set:heel/KICK,(set),heel,2,paired,,,,bare surface kick,HEEL [KICK],?,uncertain,grammar-uncertain,,scores 1 in the corpus with no scored generator; open primitive floor (pogo twin)
0-DEX,kick,set:toe/KICK,(set),toe,1,paired,,,,bare surface kick,TOE [KICK],?,uncertain,grammar-uncertain,,scores 1 in the corpus with no scored generator; open primitive floor (pogo twin)
0-DEX,kick,set:inside/KICK,(set),inside,1,paired,,,,bare surface kick,INSIDE [KICK],?,uncertain,grammar-uncertain,,scores 1 in the corpus with no scored generator; open primitive floor (pogo twin)
1-DEX,cube,toe:toe/S.IN.S,toe,toe,1,paired,SAME,IN,SAME,toe-launch / plain-paired cube,TOE > SAME IN [DEX] > SAME TOE [DEL],2,valid,existing,around_the_world,named foundational atom on the reference toe cube
1-DEX,cube,toe:toe/S.IN.O,toe,toe,1,paired,SAME,IN,OP,toe-launch / plain-paired cube,TOE > SAME IN [DEX] > OP TOE [DEL],2,valid,existing,pixie,named foundational atom on the reference toe cube; its dex shape is also the pixie set operator
1-DEX,cube,toe:toe/S.OUT.S,toe,toe,1,paired,SAME,OUT,SAME,toe-launch / plain-paired cube,TOE > SAME OUT [DEX] > SAME TOE [DEL],2,valid,existing,orbit,named foundational atom on the reference toe cube
1-DEX,cube,toe:toe/S.OUT.O,toe,toe,1,paired,SAME,OUT,OP,toe-launch / plain-paired cube,TOE > SAME OUT [DEX] > OP TOE [DEL],2,valid,existing,fairy,named foundational atom on the reference toe cube; its dex shape is also the fairy set operator
1-DEX,cube,toe:toe/O.IN.S,toe,toe,1,paired,OP,IN,SAME,toe-launch / plain-paired cube,TOE > OP IN [DEX] > SAME TOE [DEL],2,valid,existing,pickup,named foundational atom on the reference toe cube
1-DEX,cube,toe:toe/O.IN.O,toe,toe,1,paired,OP,IN,OP,toe-launch / plain-paired cube,TOE > OP IN [DEX] > OP TOE [DEL],2,valid,existing,mirage,named foundational atom on the reference toe cube; its dex shape is also the miraging operator
1-DEX,cube,toe:toe/O.OUT.S,toe,toe,1,paired,OP,OUT,SAME,toe-launch / plain-paired cube,TOE > OP OUT [DEX] > SAME TOE [DEL],2,valid,existing,legover,named foundational atom on the reference toe cube
1-DEX,cube,toe:toe/O.OUT.O,toe,toe,1,paired,OP,OUT,OP,toe-launch / plain-paired cube,TOE > OP OUT [DEX] > OP TOE [DEL],2,valid,existing,illusion,named foundational atom on the reference toe cube; its dex shape is also the atomic family operator
1-DEX,cube,toe:inside/S.IN.S,toe,inside,1,paired,SAME,IN,SAME,toe-launch / plain-paired cube,TOE > SAME IN [DEX] > SAME INSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:inside/S.IN.O,toe,inside,1,paired,SAME,IN,OP,toe-launch / plain-paired cube,TOE > SAME IN [DEX] > OP INSIDE [DEL],2,valid,existing-another-name,inspinning_reverse_guay,"coordinate realized under an opaque folk name, not its structural description"
1-DEX,cube,toe:inside/S.OUT.S,toe,inside,1,paired,SAME,OUT,SAME,toe-launch / plain-paired cube,TOE > SAME OUT [DEX] > SAME INSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:inside/S.OUT.O,toe,inside,1,paired,SAME,OUT,OP,toe-launch / plain-paired cube,TOE > SAME OUT [DEX] > OP INSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:inside/O.IN.S,toe,inside,1,paired,OP,IN,SAME,toe-launch / plain-paired cube,TOE > OP IN [DEX] > SAME INSIDE [DEL],2,valid,existing-another-name,guay,"coordinate realized under an opaque folk name, not its structural description"
1-DEX,cube,toe:inside/O.IN.O,toe,inside,1,paired,OP,IN,OP,toe-launch / plain-paired cube,TOE > OP IN [DEX] > OP INSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:inside/O.OUT.S,toe,inside,1,paired,OP,OUT,SAME,toe-launch / plain-paired cube,TOE > OP OUT [DEX] > SAME INSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:inside/O.OUT.O,toe,inside,1,paired,OP,OUT,OP,toe-launch / plain-paired cube,TOE > OP OUT [DEX] > OP INSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:outside/S.IN.S,toe,outside,1,paired,SAME,IN,SAME,toe-launch / plain-paired cube,TOE > SAME IN [DEX] > SAME OUTSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:outside/S.IN.O,toe,outside,1,paired,SAME,IN,OP,toe-launch / plain-paired cube,TOE > SAME IN [DEX] > OP OUTSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:outside/S.OUT.S,toe,outside,1,paired,SAME,OUT,SAME,toe-launch / plain-paired cube,TOE > SAME OUT [DEX] > SAME OUTSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:outside/S.OUT.O,toe,outside,1,paired,SAME,OUT,OP,toe-launch / plain-paired cube,TOE > SAME OUT [DEX] > OP OUTSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:outside/O.IN.S,toe,outside,1,paired,OP,IN,SAME,toe-launch / plain-paired cube,TOE > OP IN [DEX] > SAME OUTSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:outside/O.IN.O,toe,outside,1,paired,OP,IN,OP,toe-launch / plain-paired cube,TOE > OP IN [DEX] > OP OUTSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:outside/O.OUT.S,toe,outside,1,paired,OP,OUT,SAME,toe-launch / plain-paired cube,TOE > OP OUT [DEX] > SAME OUTSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:outside/O.OUT.O,toe,outside,1,paired,OP,OUT,OP,toe-launch / plain-paired cube,TOE > OP OUT [DEX] > OP OUTSIDE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:knee/S.IN.S,toe,knee,1,paired,SAME,IN,SAME,toe-launch / plain-paired cube,TOE > SAME IN [DEX] > SAME KNEE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:knee/S.IN.O,toe,knee,1,paired,SAME,IN,OP,toe-launch / plain-paired cube,TOE > SAME IN [DEX] > OP KNEE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:knee/S.OUT.S,toe,knee,1,paired,SAME,OUT,SAME,toe-launch / plain-paired cube,TOE > SAME OUT [DEX] > SAME KNEE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:knee/S.OUT.O,toe,knee,1,paired,SAME,OUT,OP,toe-launch / plain-paired cube,TOE > SAME OUT [DEX] > OP KNEE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:knee/O.IN.S,toe,knee,1,paired,OP,IN,SAME,toe-launch / plain-paired cube,TOE > OP IN [DEX] > SAME KNEE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:knee/O.IN.O,toe,knee,1,paired,OP,IN,OP,toe-launch / plain-paired cube,TOE > OP IN [DEX] > OP KNEE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:knee/O.OUT.S,toe,knee,1,paired,OP,OUT,SAME,toe-launch / plain-paired cube,TOE > OP OUT [DEX] > SAME KNEE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:knee/O.OUT.O,toe,knee,1,paired,OP,OUT,OP,toe-launch / plain-paired cube,TOE > OP OUT [DEX] > OP KNEE [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:shoulder/S.IN.S,toe,shoulder,1,paired,SAME,IN,SAME,toe-launch / plain-paired cube,TOE > SAME IN [DEX] > SAME SHOULDER [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:shoulder/S.IN.O,toe,shoulder,1,paired,SAME,IN,OP,toe-launch / plain-paired cube,TOE > SAME IN [DEX] > OP SHOULDER [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:shoulder/S.OUT.S,toe,shoulder,1,paired,SAME,OUT,SAME,toe-launch / plain-paired cube,TOE > SAME OUT [DEX] > SAME SHOULDER [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:shoulder/S.OUT.O,toe,shoulder,1,paired,SAME,OUT,OP,toe-launch / plain-paired cube,TOE > SAME OUT [DEX] > OP SHOULDER [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:shoulder/O.IN.S,toe,shoulder,1,paired,OP,IN,SAME,toe-launch / plain-paired cube,TOE > OP IN [DEX] > SAME SHOULDER [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:shoulder/O.IN.O,toe,shoulder,1,paired,OP,IN,OP,toe-launch / plain-paired cube,TOE > OP IN [DEX] > OP SHOULDER [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:shoulder/O.OUT.S,toe,shoulder,1,paired,OP,OUT,SAME,toe-launch / plain-paired cube,TOE > OP OUT [DEX] > SAME SHOULDER [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:shoulder/O.OUT.O,toe,shoulder,1,paired,OP,OUT,OP,toe-launch / plain-paired cube,TOE > OP OUT [DEX] > OP SHOULDER [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:head/S.IN.S,toe,head,1,midline,SAME,IN,SAME,toe-launch / plain-midline square,TOE > SAME IN [DEX] > HEAD [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:head/S.IN.O,toe,head,1,midline,SAME,IN,OP,toe-launch / plain-midline square,TOE > SAME IN [DEX] > HEAD [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:head/S.OUT.S,toe,head,1,midline,SAME,OUT,SAME,toe-launch / plain-midline square,TOE > SAME OUT [DEX] > HEAD [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:head/S.OUT.O,toe,head,1,midline,SAME,OUT,OP,toe-launch / plain-midline square,TOE > SAME OUT [DEX] > HEAD [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:head/O.IN.S,toe,head,1,midline,OP,IN,SAME,toe-launch / plain-midline square,TOE > OP IN [DEX] > HEAD [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:head/O.IN.O,toe,head,1,midline,OP,IN,OP,toe-launch / plain-midline square,TOE > OP IN [DEX] > HEAD [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:head/O.OUT.S,toe,head,1,midline,OP,OUT,SAME,toe-launch / plain-midline square,TOE > OP OUT [DEX] > HEAD [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:head/O.OUT.O,toe,head,1,midline,OP,OUT,OP,toe-launch / plain-midline square,TOE > OP OUT [DEX] > HEAD [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:forehead/S.IN.S,toe,forehead,1,midline,SAME,IN,SAME,toe-launch / plain-midline square,TOE > SAME IN [DEX] > FOREHEAD [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:forehead/S.IN.O,toe,forehead,1,midline,SAME,IN,OP,toe-launch / plain-midline square,TOE > SAME IN [DEX] > FOREHEAD [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:forehead/S.OUT.S,toe,forehead,1,midline,SAME,OUT,SAME,toe-launch / plain-midline square,TOE > SAME OUT [DEX] > FOREHEAD [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:forehead/S.OUT.O,toe,forehead,1,midline,SAME,OUT,OP,toe-launch / plain-midline square,TOE > SAME OUT [DEX] > FOREHEAD [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:forehead/O.IN.S,toe,forehead,1,midline,OP,IN,SAME,toe-launch / plain-midline square,TOE > OP IN [DEX] > FOREHEAD [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:forehead/O.IN.O,toe,forehead,1,midline,OP,IN,OP,toe-launch / plain-midline square,TOE > OP IN [DEX] > FOREHEAD [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:forehead/O.OUT.S,toe,forehead,1,midline,OP,OUT,SAME,toe-launch / plain-midline square,TOE > OP OUT [DEX] > FOREHEAD [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:forehead/O.OUT.O,toe,forehead,1,midline,OP,OUT,OP,toe-launch / plain-midline square,TOE > OP OUT [DEX] > FOREHEAD [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:neck/S.IN.S,toe,neck,1,midline,SAME,IN,SAME,toe-launch / plain-midline square,TOE > SAME IN [DEX] > NECK [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:neck/S.IN.O,toe,neck,1,midline,SAME,IN,OP,toe-launch / plain-midline square,TOE > SAME IN [DEX] > NECK [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:neck/S.OUT.S,toe,neck,1,midline,SAME,OUT,SAME,toe-launch / plain-midline square,TOE > SAME OUT [DEX] > NECK [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:neck/S.OUT.O,toe,neck,1,midline,SAME,OUT,OP,toe-launch / plain-midline square,TOE > SAME OUT [DEX] > NECK [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:neck/O.IN.S,toe,neck,1,midline,OP,IN,SAME,toe-launch / plain-midline square,TOE > OP IN [DEX] > NECK [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:neck/O.IN.O,toe,neck,1,midline,OP,IN,OP,toe-launch / plain-midline square,TOE > OP IN [DEX] > NECK [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:neck/O.OUT.S,toe,neck,1,midline,OP,OUT,SAME,toe-launch / plain-midline square,TOE > OP OUT [DEX] > NECK [DEL],2,valid,unnamed,,"structurally valid, unlabeled coordinate"
1-DEX,cube,toe:neck/O.OUT.O,toe,neck,1,midline,OP,OUT,OP,toe-launch / plain-midline square,TOE > OP OUT [DEX] > NECK [DEL],2,artifact,grammar-artifact,,"midline landing has one central target; opposite-side copy is a grammar artifact, not a distinct move"
1-DEX,cube,toe:peak/S.IN.S,toe,peak,1,midline,SAME,IN,SAME,toe-launch / plain-midline square,TOE > SAME IN [DEX] > PEAK [DEL],2,uncertain,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-DEX,cube,toe:peak/S.IN.O,toe,peak,1,midline,SAME,IN,OP,toe-launch / plain-midline square,TOE > SAME IN [DEX] > PEAK [DEL],2,uncertain,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
1-DEX,cube,toe:peak/S.OUT.S,toe,peak,1,midline,SAME,OUT,SAME,toe-launch / plain-midline square,TOE > SAME OUT [DEX] > PEAK [DEL],2,uncertain,grammar-uncertain,,peak surface unresolved (apex vs timing marker)
