slug,current_operational_notation,proposed_operational_notation,source,normalization_notes,confidence,requires_red,governance_flags
dimwalk,,TOE > SAME IN [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],"FM corpus 3-4adds",§13.2-13.8 compound-layer; chain ≡ pixie butterfly; pixie-family pattern (TOE > SAME IN [DEX] >>...),high,false,
ripwalk,,CLIP > OP IN [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],"FM corpus 4adds",§13 compound; chain ≡ stepping butterfly; stepping-family pattern (CLIP > OP IN [DEX] >>...),high,false,
torque,,CLIP >> OP IN [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL],"FM corpus 4adds",§13 compound; chain ≡ miraging osis; torque-derived pattern ([DEX] > (FRONT) SPIN [BOD] >...),high,false,
mobius,,CLIP >> (BACK) SPIN [BOD] >> SAME IN [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL],"FM corpus 5adds",§13 compound; chain ≡ spinning ss torque ≡ spinning ss miraging osis; double-spin pattern,high,false,
drifter,,CLIP >> OP IN [DEX] > SAME CLIP [XBD] [DEL],"FM corpus 3adds",§13 compound; chain ≡ miraging clipper; drifter-family terminal SAME CLIP [XBD] [DEL],high,false,
blender,,CLIP >> OP FRONT WHIRL [DEX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],"FM corpus 3-4adds",§13 compound; chain ≡ whirling osis; whirl-family token OP FRONT WHIRL [DEX],high,false,
vortex,,CLIP >> (BACK) SPIN [BOD] >> SAME IN [DEX] > SAME CLIP [XBD] [DEL],"FM corpus 4adds",§13 compound; chain ≡ gyro drifter; spin-before-dex pattern with drifter terminal,high,false,
eggbeater,,TOE >> OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],"FM corpus 3adds",§13 compound; chain ≡ atomic legover; legover terminal SAME TOE [DEL],high,false,
smudge,,TOE > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],"FM corpus 3adds",§13 compound; chain ≡ pixie illusion; pixie-family without `>>` boundary,high,false,
smoke,,TOE > SAME IN [DEX] >> OP IN [DEX] > SAME CLIP [XBD] [DEL],"FM corpus 4adds",§13 compound; chain ≡ pixie drifter; pixie-family with drifter terminal,high,false,
